country,variant,year,population
51,estimates,1950,1353.51
51,estimates,1951,1381.872
51,estimates,1952,1418.276
51,estimates,1953,1461.424
51,estimates,1954,1510.171
51,estimates,1955,1563.505
51,estimates,1956,1620.593
51,estimates,1957,1680.714
51,estimates,1958,1743.303
51,estimates,1959,1807.917
51,estimates,1960,1874.12
51,estimates,1961,1941.491
51,estimates,1962,2009.526
51,estimates,1963,2077.575
51,estimates,1964,2144.998
51,estimates,1965,2211.316
51,estimates,1966,2276.031
51,estimates,1967,2339.124
51,estimates,1968,2401.14
51,estimates,1969,2462.925
51,estimates,1970,2525.065
51,estimates,1971,2587.706
51,estimates,1972,2650.484
51,estimates,1973,2712.781
51,estimates,1974,2773.747
51,estimates,1975,2832.757
51,estimates,1976,2889.579
51,estimates,1977,2944.379
51,estimates,1978,2997.411
51,estimates,1979,3049.105
51,estimates,1980,3099.751
51,estimates,1981,3148.092
51,estimates,1982,3193.686
51,estimates,1983,3238.594
51,estimates,1984,3285.595
51,estimates,1985,3335.935
51,estimates,1986,3392.256
51,estimates,1987,3451.942
51,estimates,1988,3504.651
51,estimates,1989,3536.469
51,estimates,1990,3538.165
51,estimates,1991,3505.251
51,estimates,1992,3442.81
51,estimates,1993,3363.098
51,estimates,1994,3283.66
51,estimates,1995,3217.342
51,estimates,1996,3168.215
51,estimates,1997,3133.086
51,estimates,1998,3108.684
51,estimates,1999,3089.017
51,estimates,2000,3069.588
51,estimates,2001,3050.655
51,estimates,2002,3033.897
51,estimates,2003,3017.806
51,estimates,2004,3000.612
51,estimates,2005,2981.259
51,estimates,2006,2958.5
51,estimates,2007,2933.056
51,estimates,2008,2908.22
51,estimates,2009,2888.584
51,estimates,2010,2877.311
51,estimates,2011,2875.581
51,estimates,2012,2881.922
51,estimates,2013,2893.509
51,estimates,2014,2906.22
51,constant_fertility,2015,2916.95
51,constant_mortality,2015,2916.95
51,estimates,2015,2916.95
51,high_variant,2015,2916.95
51,instant_replacement,2015,2916.95
51,low_variant,2015,2916.95
51,medium_variant,2015,2916.95
51,momentum,2015,2916.95
51,no_change,2015,2916.95
51,zero_migration,2015,2916.95
51,constant_fertility,2016,2925.135
51,constant_mortality,2016,2922.461
51,high_variant,2016,2927.662
51,instant_replacement,2016,2933.602
51,low_variant,2016,2919.369
51,medium_variant,2016,2924.816
51,momentum,2016,2936.232
51,no_change,2016,2924.065
51,zero_migration,2016,2928.598
51,constant_fertility,2017,2931.491
51,constant_mortality,2017,2926.613
51,high_variant,2017,2938.238
51,instant_replacement,2017,2951.656
51,low_variant,2017,2919.635
51,medium_variant,2017,2930.45
51,momentum,2017,2957.993
51,no_change,2017,2929.15
51,zero_migration,2017,2939.18
51,constant_fertility,2018,2936.251
51,constant_mortality,2018,2929.426
51,high_variant,2018,2948.53
51,instant_replacement,2018,2970.129
51,low_variant,2018,2917.984
51,medium_variant,2018,2934.152
51,momentum,2018,2980.873
51,no_change,2018,2932.386
51,zero_migration,2018,2948.725
51,constant_fertility,2019,2939.561
51,constant_mortality,2019,2930.911
51,high_variant,2019,2958.412
51,instant_replacement,2019,2987.982
51,low_variant,2019,2914.587
51,medium_variant,2019,2936.706
51,momentum,2019,3003.246
51,no_change,2019,2933.96
51,zero_migration,2019,2957.269
51,constant_fertility,2020,2941.592
51,constant_mortality,2020,2931.103
51,high_variant,2020,2967.757
51,instant_replacement,2020,3004.39
51,low_variant,2020,2909.602
51,medium_variant,2020,2938.679
51,momentum,2020,3023.885
51,no_change,2020,2934.005
51,zero_migration,2020,2964.818
