country,variant,year,population
580,estimates,1950,6.999
580,estimates,1951,7.081
580,estimates,1952,7.215
580,estimates,1953,7.409
580,estimates,1954,7.674
580,estimates,1955,8.01
580,estimates,1956,8.407
580,estimates,1957,8.835
580,estimates,1958,9.28
580,estimates,1959,9.689
580,estimates,1960,10.035
580,estimates,1961,10.302
580,estimates,1962,10.499
580,estimates,1963,10.667
580,estimates,1964,10.857
580,estimates,1965,11.105
580,estimates,1966,11.435
580,estimates,1967,11.823
580,estimates,1968,12.257
580,estimates,1969,12.691
580,estimates,1970,13.127
580,estimates,1971,13.569
580,estimates,1972,14.04
580,estimates,1973,14.492
580,estimates,1974,14.859
580,estimates,1975,15.117
580,estimates,1976,15.234
580,estimates,1977,15.251
580,estimates,1978,15.372
580,estimates,1979,15.862
580,estimates,1980,16.92
580,estimates,1981,18.604
580,estimates,1982,20.856
580,estimates,1983,23.503
580,estimates,1984,26.302
580,estimates,1985,29.092
580,estimates,1986,31.802
580,estimates,1987,34.48
580,estimates,1988,37.134
580,estimates,1989,39.808
580,estimates,1990,42.538
580,estimates,1991,45.249
580,estimates,1992,47.919
580,estimates,1993,50.602
580,estimates,1994,53.38
580,estimates,1995,56.278
580,estimates,1996,59.364
580,estimates,1997,62.528
580,estimates,1998,65.474
580,estimates,1999,67.755
580,estimates,2000,69.094
580,estimates,2001,69.388
580,estimates,2002,68.763
580,estimates,2003,67.422
580,estimates,2004,65.663
580,estimates,2005,63.744
580,estimates,2006,61.688
580,estimates,2007,59.513
580,estimates,2008,57.431
580,estimates,2009,55.674
580,estimates,2010,54.424
580,estimates,2011,53.786
580,estimates,2012,53.718
580,estimates,2013,54.036
580,estimates,2014,54.468
580,constant_fertility,2015,54.816
580,constant_mortality,2015,54.816
580,estimates,2015,54.816
580,high_variant,2015,54.816
580,instant_replacement,2015,54.816
580,low_variant,2015,54.816
580,medium_variant,2015,54.816
580,momentum,2015,54.816
580,no_change,2015,54.816
580,zero_migration,2015,54.816
580,constant_fertility,2016,54.898
580,constant_mortality,2016,54.881
580,high_variant,2016,54.936
580,instant_replacement,2016,55.15
580,low_variant,2016,54.851
580,medium_variant,2016,55.023
580,momentum,2016,55.238
580,no_change,2016,54.885
580,zero_migration,2016,55.057
580,constant_fertility,2017,55.005
580,constant_mortality,2017,54.959
580,high_variant,2017,55.088
580,instant_replacement,2017,55.447
580,low_variant,2017,54.88
580,medium_variant,2017,55.144
580,momentum,2017,55.65
580,no_change,2017,54.983
580,zero_migration,2017,55.297
