country,variant,year,population
833,estimates,1950,55.254
833,estimates,1951,55.222
833,estimates,1952,54.852
833,estimates,1953,54.208
833,estimates,1954,53.367
833,estimates,1955,52.408
833,estimates,1956,51.401
833,estimates,1957,50.429
833,estimates,1958,49.566
833,estimates,1959,48.883
833,estimates,1960,48.442
833,estimates,1961,48.281
833,estimates,1962,48.418
833,estimates,1963,48.8
833,estimates,1964,49.391
833,estimates,1965,50.141
833,estimates,1966,51.049
833,estimates,1967,52.118
833,estimates,1968,53.254
833,estimates,1969,54.376
833,estimates,1970,55.425
833,estimates,1971,56.352
833,estimates,1972,57.154
833,estimates,1973,57.9
833,estimates,1974,58.655
833,estimates,1975,59.478
833,estimates,1976,60.428
833,estimates,1977,61.443
833,estimates,1978,62.406
833,estimates,1979,63.151
833,estimates,1980,63.551
833,estimates,1981,63.54
833,estimates,1982,63.191
833,estimates,1983,62.73
833,estimates,1984,62.487
833,estimates,1985,62.696
833,estimates,1986,63.441
833,estimates,1987,64.63
833,estimates,1988,66.047
833,estimates,1989,67.388
833,estimates,1990,68.429
833,estimates,1991,69.096
833,estimates,1992,69.475
833,estimates,1993,69.656
833,estimates,1994,69.818
833,estimates,1995,70.07
833,estimates,1996,70.431
833,estimates,1997,70.869
833,estimates,1998,71.39
833,estimates,1999,71.952
833,estimates,2000,72.554
833,estimates,2001,73.192
833,estimates,2002,73.87
833,estimates,2003,74.587
833,estimates,2004,75.341
833,estimates,2005,76.118
833,estimates,2006,76.914
833,estimates,2007,77.727
833,estimates,2008,78.534
833,estimates,2009,79.325
833,estimates,2010,80.072
833,estimates,2011,80.759
833,estimates,2012,81.406
833,estimates,2013,82.013
833,estimates,2014,82.59
833,constant_fertility,2015,83.167
833,constant_mortality,2015,83.167
833,estimates,2015,83.167
833,high_variant,2015,83.167
833,instant_replacement,2015,83.167
833,low_variant,2015,83.167
833,medium_variant,2015,83.167
833,momentum,2015,83.167
833,no_change,2015,83.167
833,zero_migration,2015,83.167
833,constant_fertility,2016,83.73
833,constant_mortality,2016,83.705
833,high_variant,2016,83.811
833,instant_replacement,2016,83.824
833,low_variant,2016,83.654
833,medium_variant,2016,83.737
833,momentum,2016,83.481
833,no_change,2016,83.703
833,zero_migration,2016,83.257
833,constant_fertility,2017,84.282
833,constant_mortality,2017,84.222
833,high_variant,2017,84.472
833,instant_replacement,2017,84.501
833,low_variant,2017,84.106
833,medium_variant,2017,84.287
833,momentum,2017,83.697
833,no_change,2017,84.22
833,zero_migration,2017,83.336
833,constant_fertility,2018,84.823
833,constant_mortality,2018,84.73
833,high_variant,2018,85.139
833,instant_replacement,2018,85.198
833,low_variant,2018,84.518
833,medium_variant,2018,84.831
833,momentum,2018,83.825
833,no_change,2018,84.727
833,zero_migration,2018,83.414
833,constant_fertility,2019,85.363
833,constant_mortality,2019,85.214
833,high_variant,2019,85.817
833,instant_replacement,2019,85.899
833,low_variant,2019,84.905
833,medium_variant,2019,85.369
833,momentum,2019,83.914
833,no_change,2019,85.207
833,zero_migration,2019,83.483
833,constant_fertility,2020,85.887
833,constant_mortality,2020,85.679
833,high_variant,2020,86.516
833,instant_replacement,2020,86.582
833,low_variant,2020,85.273
833,medium_variant,2020,85.895
833,momentum,2020,84.009
833,no_change,2020,85.674
833,zero_migration,2020,83.555
833,constant_fertility,2021,86.399
833,constant_mortality,2021,86.134
833,high_variant,2021,87.209
833,instant_replacement,2021,87.247
833,low_variant,2021,85.607
833,medium_variant,2021,86.409
833,momentum,2021,84.101
833,no_change,2021,86.123
833,zero_migration,2021,83.601
833,constant_fertility,2022,86.91
833,constant_mortality,2022,86.566
833,high_variant,2022,87.909
833,instant_replacement,2022,87.897
833,low_variant,2022,85.922
833,medium_variant,2022,86.922
833,momentum,2022,84.205
833,no_change,2022,86.554
833,zero_migration,2022,83.646
833,constant_fertility,2023,87.4
833,constant_mortality,2023,86.99
833,high_variant,2023,88.621
833,instant_replacement,2023,88.534
833,low_variant,2023,86.22
833,medium_variant,2023,87.419
833,momentum,2023,84.312
833,no_change,2023,86.973
833,zero_migration,2023,83.692
833,constant_fertility,2024,87.887
833,constant_mortality,2024,87.396
833,high_variant,2024,89.335
833,instant_replacement,2024,89.161
833,low_variant,2024,86.492
833,medium_variant,2024,87.917
833,momentum,2024,84.395
833,no_change,2024,87.37
833,zero_migration,2024,83.722
833,constant_fertility,2025,88.366
833,constant_mortality,2025,87.789
833,high_variant,2025,90.066
833,instant_replacement,2025,89.789
833,low_variant,2025,86.74
833,medium_variant,2025,88.405
833,momentum,2025,84.456
833,no_change,2025,87.754
833,zero_migration,2025,83.748
833,constant_fertility,2026,88.824
833,constant_mortality,2026,88.164
833,high_variant,2026,90.796
833,instant_replacement,2026,90.401
833,low_variant,2026,86.959
833,medium_variant,2026,88.875
833,momentum,2026,84.505
833,no_change,2026,88.119
833,zero_migration,2026,83.761
833,constant_fertility,2027,89.284
833,constant_mortality,2027,88.53
833,high_variant,2027,91.524
833,instant_replacement,2027,91.014
833,low_variant,2027,87.16
833,medium_variant,2027,89.345
833,momentum,2027,84.535
833,no_change,2027,88.472
833,zero_migration,2027,83.76
833,constant_fertility,2028,89.728
833,constant_mortality,2028,88.873
833,high_variant,2028,92.257
833,instant_replacement,2028,91.613
833,low_variant,2028,87.336
833,medium_variant,2028,89.803
833,momentum,2028,84.548
833,no_change,2028,88.801
833,zero_migration,2028,83.765
833,constant_fertility,2029,90.166
833,constant_mortality,2029,89.201
833,high_variant,2029,92.99
833,instant_replacement,2029,92.217
833,low_variant,2029,87.513
833,medium_variant,2029,90.256
833,momentum,2029,84.546
833,no_change,2029,89.116
833,zero_migration,2029,83.752
833,constant_fertility,2030,90.587
833,constant_mortality,2030,89.524
833,high_variant,2030,93.704
833,instant_replacement,2030,92.798
833,low_variant,2030,87.671
833,medium_variant,2030,90.692
833,momentum,2030,84.525
833,no_change,2030,89.424
833,zero_migration,2030,83.719
833,constant_fertility,2031,91.006
