continent,variant,gender,freq,year,under60mortalityper1000livebirth
935,estimates,female,5yearly,1950,597.14281364183
935,estimates,male,5yearly,1950,635.201272995817
935,estimates,female,5yearly,1955,559.781971554314
935,estimates,male,5yearly,1955,603.826655599286
935,estimates,female,5yearly,1960,529.96505215958
935,estimates,male,5yearly,1960,573.664312834247
935,estimates,female,5yearly,1965,432.626100823878
935,estimates,male,5yearly,1965,465.94727675382
935,estimates,female,5yearly,1970,366.78567845862
935,estimates,male,5yearly,1970,403.670560030605
935,estimates,female,5yearly,1975,319.18685184062
935,estimates,male,5yearly,1975,358.028866909355
935,estimates,female,5yearly,1980,283.168406438732
935,estimates,male,5yearly,1980,329.777869683365
935,estimates,female,5yearly,1985,255.742062552584
935,estimates,male,5yearly,1985,299.688593905423
935,estimates,female,5yearly,1990,232.537543521061
935,estimates,male,5yearly,1990,279.015358975252
935,estimates,female,5yearly,1995,211.769109405311
935,estimates,male,5yearly,1995,261.146208732909
935,estimates,female,5yearly,2000,188.026341073531
935,estimates,male,5yearly,2000,233.58151542613
935,estimates,female,5yearly,2005,165.415746476401
935,estimates,male,5yearly,2005,213.49633668008
935,estimates,female,5yearly,2010,144.985109084212
935,estimates,male,5yearly,2010,197.695728648461
935,medium_variant,female,5yearly,2015,132.665290428559
935,medium_variant,male,5yearly,2015,185.083754675959
935,medium_variant,female,5yearly,2020,121.866549420806
935,medium_variant,male,5yearly,2020,173.232384746792
935,medium_variant,female,5yearly,2025,113.036019382652
935,medium_variant,male,5yearly,2025,164.590494339058
935,medium_variant,female,5yearly,2030,105.726974631491
935,medium_variant,male,5yearly,2030,157.973597093079
935,medium_variant,female,5yearly,2035,98.6649211305376
935,medium_variant,male,5yearly,2035,150.813862960799
935,medium_variant,female,5yearly,2040,92.3496599289464
935,medium_variant,male,5yearly,2040,142.88124022421
935,medium_variant,female,5yearly,2045,87.3124956243622
935,medium_variant,male,5yearly,2045,136.462214852709
935,medium_variant,female,5yearly,2050,82.9364468532171
935,medium_variant,male,5yearly,2050,131.152484071555
935,medium_variant,female,5yearly,2055,78.0517078707231
935,medium_variant,male,5yearly,2055,124.354961603246
935,medium_variant,female,5yearly,2060,73.0973840827761
935,medium_variant,male,5yearly,2060,116.409274978561
935,medium_variant,female,5yearly,2065,68.4936770875786
935,medium_variant,male,5yearly,2065,109.243740196164
935,medium_variant,female,5yearly,2070,64.4997884932328
935,medium_variant,male,5yearly,2070,102.334367502286
935,medium_variant,female,5yearly,2075,60.7679127777918
935,medium_variant,male,5yearly,2075,95.7533749214601
935,medium_variant,female,5yearly,2080,57.0740398363366
935,medium_variant,male,5yearly,2080,88.9959538465281
935,medium_variant,female,5yearly,2085,53.4154625093378
935,medium_variant,male,5yearly,2085,82.1087501967022
935,medium_variant,female,5yearly,2090,50.0073621399043
935,medium_variant,male,5yearly,2090,75.6080736902698
935,medium_variant,female,5yearly,2095,46.6444818111068
935,medium_variant,male,5yearly,2095,69.0751278249376
935,estimates,female,5yearly,Regi,ASIA
935,estimates,male,5yearly,Regi,ASIA
935,medium_variant,female,5yearly,Regi,ASIA
935,medium_variant,male,5yearly,Regi,ASIA
