region,variant,freq,year,lifeexpectancyat15
1500,estimates,5yearly,1950,39.9181718448834
1500,estimates,5yearly,1955,41.6950063134339
1500,estimates,5yearly,1960,42.8558675503291
1500,estimates,5yearly,1965,44.1153807649367
1500,estimates,5yearly,1970,45.3869747011104
1500,estimates,5yearly,1975,46.5749418259768
1500,estimates,5yearly,1980,47.4519561593239
1500,estimates,5yearly,1985,48.1636378808199
1500,estimates,5yearly,1990,47.8347270789141
1500,estimates,5yearly,1995,47.5161586765735
1500,estimates,5yearly,2000,48.2684182802058
1500,estimates,5yearly,2005,50.6429160331747
1500,estimates,5yearly,2010,52.8523496837428
1500,medium_variant,5yearly,2015,54.2682381770711
1500,medium_variant,5yearly,2020,55.1761344383124
1500,medium_variant,5yearly,2025,56.088604512312
1500,medium_variant,5yearly,2030,56.9440560995028
1500,medium_variant,5yearly,2035,57.737743955588
1500,medium_variant,5yearly,2040,58.4899011664985
1500,medium_variant,5yearly,2045,59.2178999901564
1500,medium_variant,5yearly,2050,59.8992742137118
1500,medium_variant,5yearly,2055,60.5546241658956
1500,medium_variant,5yearly,2060,61.1966351191224
1500,medium_variant,5yearly,2065,61.8066888797096
1500,medium_variant,5yearly,2070,62.398400263756
1500,medium_variant,5yearly,2075,62.9588691849942
1500,medium_variant,5yearly,2080,63.5227450948618
1500,medium_variant,5yearly,2085,64.072793153097
1500,medium_variant,5yearly,2090,64.6196663537982
1500,medium_variant,5yearly,2095,65.1699819463075
1500,estimates,5yearly,Regi,Low-income countries
1500,medium_variant,5yearly,Regi,Low-income countries
