variant,region,year,totalfertility
estimates,924,1950,2.257
estimates,924,1951,2.27
estimates,924,1952,2.296
estimates,924,1953,2.328
estimates,924,1954,2.365
estimates,924,1955,2.406
estimates,924,1956,2.452
estimates,924,1957,2.501
estimates,924,1958,2.551
estimates,924,1959,2.599
estimates,924,1960,2.642
estimates,924,1961,2.675
estimates,924,1962,2.695
estimates,924,1963,2.698
estimates,924,1964,2.683
estimates,924,1965,2.649
estimates,924,1966,2.595
estimates,924,1967,2.527
estimates,924,1968,2.449
estimates,924,1969,2.364
estimates,924,1970,2.277
estimates,924,1971,2.19
estimates,924,1972,2.106
estimates,924,1973,2.027
estimates,924,1974,1.957
estimates,924,1975,1.898
estimates,924,1976,1.851
estimates,924,1977,1.817
estimates,924,1978,1.793
estimates,924,1979,1.779
estimates,924,1980,1.774
estimates,924,1981,1.777
estimates,924,1982,1.786
estimates,924,1983,1.798
estimates,924,1984,1.812
estimates,924,1985,1.825
estimates,924,1986,1.835
estimates,924,1987,1.841
estimates,924,1988,1.843
estimates,924,1989,1.841
estimates,924,1990,1.834
estimates,924,1991,1.822
estimates,924,1992,1.807
estimates,924,1993,1.789
estimates,924,1994,1.769
estimates,924,1995,1.749
estimates,924,1996,1.728
estimates,924,1997,1.707
estimates,924,1998,1.688
estimates,924,1999,1.671
estimates,924,2000,1.661
estimates,924,2001,1.661
estimates,924,2002,1.671
estimates,924,2003,1.691
estimates,924,2004,1.721
estimates,924,2005,1.755
estimates,924,2006,1.79
estimates,924,2007,1.821
estimates,924,2008,1.844
estimates,924,2009,1.859
estimates,924,2010,1.865
estimates,924,2011,1.864
estimates,924,2012,1.86
estimates,924,2013,1.856
estimates,924,2014,1.853
estimates,924,2015,1.852
medium_variant,924,2015,1.852
medium_variant,924,2016,1.852
medium_variant,924,2017,1.853
medium_variant,924,2018,1.854
medium_variant,924,2019,1.854
medium_variant,924,2020,1.855
medium_variant,924,2021,1.856
medium_variant,924,2022,1.856
medium_variant,924,2023,1.856
medium_variant,924,2024,1.856
medium_variant,924,2025,1.857
medium_variant,924,2026,1.857
medium_variant,924,2027,1.857
medium_variant,924,2028,1.857
medium_variant,924,2029,1.857
medium_variant,924,2030,1.857
medium_variant,924,2031,1.857
medium_variant,924,2032,1.857
medium_variant,924,2033,1.857
medium_variant,924,2034,1.857
medium_variant,924,2035,1.857
medium_variant,924,2036,1.858
medium_variant,924,2037,1.858
medium_variant,924,2038,1.859
medium_variant,924,2039,1.859
medium_variant,924,2040,1.86
medium_variant,924,2041,1.86
medium_variant,924,2042,1.861
medium_variant,924,2043,1.861
medium_variant,924,2044,1.862
medium_variant,924,2045,1.862
medium_variant,924,2046,1.862
medium_variant,924,2047,1.863
medium_variant,924,2048,1.863
medium_variant,924,2049,1.863
medium_variant,924,2050,1.863
medium_variant,924,2051,1.864
medium_variant,924,2052,1.864
medium_variant,924,2053,1.864
medium_variant,924,2054,1.864
medium_variant,924,2055,1.864
medium_variant,924,2056,1.864
medium_variant,924,2057,1.864
medium_variant,924,2058,1.865
medium_variant,924,2059,1.865
medium_variant,924,2060,1.865
medium_variant,924,2061,1.865
medium_variant,924,2062,1.865
medium_variant,924,2063,1.865
medium_variant,924,2064,1.865
medium_variant,924,2065,1.865
medium_variant,924,2066,1.865
medium_variant,924,2067,1.865
medium_variant,924,2068,1.865
medium_variant,924,2069,1.865
medium_variant,924,2070,1.866
medium_variant,924,2071,1.866
medium_variant,924,2072,1.866
medium_variant,924,2073,1.866
medium_variant,924,2074,1.866
medium_variant,924,2075,1.866
medium_variant,924,2076,1.866
medium_variant,924,2077,1.866
medium_variant,924,2078,1.866
medium_variant,924,2079,1.866
medium_variant,924,2080,1.866
medium_variant,924,2081,1.866
medium_variant,924,2082,1.867
medium_variant,924,2083,1.867
medium_variant,924,2084,1.867
medium_variant,924,2085,1.867
medium_variant,924,2086,1.867
medium_variant,924,2087,1.867
medium_variant,924,2088,1.867
medium_variant,924,2089,1.867
medium_variant,924,2090,1.867
medium_variant,924,2091,1.867
medium_variant,924,2092,1.867
medium_variant,924,2093,1.866
medium_variant,924,2094,1.866
medium_variant,924,2095,1.866
medium_variant,924,2096,1.866
medium_variant,924,2097,1.866
medium_variant,924,2098,1.866
medium_variant,924,2099,1.866
