variant,region,year,totalfertility
estimates,902,1950,6.223
estimates,902,1951,6.172
estimates,902,1952,6.081
estimates,902,1953,6.011
estimates,902,1954,5.961
estimates,902,1955,5.932
estimates,902,1956,5.922
estimates,902,1957,5.93
estimates,902,1958,5.954
estimates,902,1959,5.991
estimates,902,1960,6.035
estimates,902,1961,6.082
estimates,902,1962,6.123
estimates,902,1963,6.153
estimates,902,1964,6.167
estimates,902,1965,6.158
estimates,902,1966,6.124
estimates,902,1967,6.067
estimates,902,1968,5.988
estimates,902,1969,5.888
estimates,902,1970,5.768
estimates,902,1971,5.629
estimates,902,1972,5.474
estimates,902,1973,5.309
estimates,902,1974,5.14
estimates,902,1975,4.973
estimates,902,1976,4.816
estimates,902,1977,4.672
estimates,902,1978,4.543
estimates,902,1979,4.432
estimates,902,1980,4.339
estimates,902,1981,4.266
estimates,902,1982,4.205
estimates,902,1983,4.153
estimates,902,1984,4.104
estimates,902,1985,4.052
estimates,902,1986,3.992
estimates,902,1987,3.921
estimates,902,1988,3.838
estimates,902,1989,3.743
estimates,902,1990,3.64
estimates,902,1991,3.532
estimates,902,1992,3.425
estimates,902,1993,3.325
estimates,902,1994,3.235
estimates,902,1995,3.156
estimates,902,1996,3.089
estimates,902,1997,3.033
estimates,902,1998,2.984
estimates,902,1999,2.942
estimates,902,2000,2.906
estimates,902,2001,2.875
estimates,902,2002,2.847
estimates,902,2003,2.823
estimates,902,2004,2.8
estimates,902,2005,2.778
estimates,902,2006,2.758
estimates,902,2007,2.739
estimates,902,2008,2.721
estimates,902,2009,2.704
estimates,902,2010,2.688
estimates,902,2011,2.673
estimates,902,2012,2.659
estimates,902,2013,2.645
estimates,902,2014,2.632
estimates,902,2015,2.619
medium_variant,902,2015,2.619
medium_variant,902,2016,2.606
medium_variant,902,2017,2.594
medium_variant,902,2018,2.582
medium_variant,902,2019,2.57
medium_variant,902,2020,2.559
medium_variant,902,2021,2.547
medium_variant,902,2022,2.536
medium_variant,902,2023,2.526
medium_variant,902,2024,2.515
medium_variant,902,2025,2.504
medium_variant,902,2026,2.493
medium_variant,902,2027,2.482
medium_variant,902,2028,2.471
medium_variant,902,2029,2.46
medium_variant,902,2030,2.449
medium_variant,902,2031,2.438
medium_variant,902,2032,2.427
medium_variant,902,2033,2.416
medium_variant,902,2034,2.405
medium_variant,902,2035,2.394
medium_variant,902,2036,2.384
medium_variant,902,2037,2.374
medium_variant,902,2038,2.364
medium_variant,902,2039,2.355
medium_variant,902,2040,2.346
medium_variant,902,2041,2.338
medium_variant,902,2042,2.33
medium_variant,902,2043,2.322
medium_variant,902,2044,2.315
medium_variant,902,2045,2.307
medium_variant,902,2046,2.3
medium_variant,902,2047,2.293
medium_variant,902,2048,2.285
medium_variant,902,2049,2.278
medium_variant,902,2050,2.27
medium_variant,902,2051,2.262
medium_variant,902,2052,2.255
medium_variant,902,2053,2.247
medium_variant,902,2054,2.239
medium_variant,902,2055,2.231
medium_variant,902,2056,2.223
medium_variant,902,2057,2.215
medium_variant,902,2058,2.207
medium_variant,902,2059,2.2
medium_variant,902,2060,2.192
medium_variant,902,2061,2.185
medium_variant,902,2062,2.178
medium_variant,902,2063,2.171
medium_variant,902,2064,2.164
medium_variant,902,2065,2.157
medium_variant,902,2066,2.15
medium_variant,902,2067,2.144
medium_variant,902,2068,2.137
medium_variant,902,2069,2.131
medium_variant,902,2070,2.125
medium_variant,902,2071,2.119
medium_variant,902,2072,2.113
medium_variant,902,2073,2.107
medium_variant,902,2074,2.101
medium_variant,902,2075,2.095
medium_variant,902,2076,2.089
medium_variant,902,2077,2.084
medium_variant,902,2078,2.078
medium_variant,902,2079,2.072
medium_variant,902,2080,2.067
medium_variant,902,2081,2.061
medium_variant,902,2082,2.056
medium_variant,902,2083,2.051
medium_variant,902,2084,2.045
medium_variant,902,2085,2.04
medium_variant,902,2086,2.035
medium_variant,902,2087,2.029
medium_variant,902,2088,2.024
medium_variant,902,2089,2.019
medium_variant,902,2090,2.014
medium_variant,902,2091,2.008
medium_variant,902,2092,2.003
medium_variant,902,2093,1.998
medium_variant,902,2094,1.993
medium_variant,902,2095,1.988
medium_variant,902,2096,1.984
medium_variant,902,2097,1.979
medium_variant,902,2098,1.974
medium_variant,902,2099,1.97
