variant,region,year,totalfertility
estimates,921,1950,5.982
estimates,921,1951,5.985
estimates,921,1952,5.993
estimates,921,1953,6
estimates,921,1954,6.009
estimates,921,1955,6.017
estimates,921,1956,6.027
estimates,921,1957,6.036
estimates,921,1958,6.045
estimates,921,1959,6.052
estimates,921,1960,6.057
estimates,921,1961,6.058
estimates,921,1962,6.053
estimates,921,1963,6.043
estimates,921,1964,6.025
estimates,921,1965,6
estimates,921,1966,5.969
estimates,921,1967,5.931
estimates,921,1968,5.888
estimates,921,1969,5.841
estimates,921,1970,5.789
estimates,921,1971,5.732
estimates,921,1972,5.669
estimates,921,1973,5.602
estimates,921,1974,5.531
estimates,921,1975,5.459
estimates,921,1976,5.389
estimates,921,1977,5.321
estimates,921,1978,5.257
estimates,921,1979,5.197
estimates,921,1980,5.137
estimates,921,1981,5.077
estimates,921,1982,5.014
estimates,921,1983,4.944
estimates,921,1984,4.868
estimates,921,1985,4.784
estimates,921,1986,4.692
estimates,921,1987,4.594
estimates,921,1988,4.492
estimates,921,1989,4.388
estimates,921,1990,4.282
estimates,921,1991,4.178
estimates,921,1992,4.076
estimates,921,1993,3.976
estimates,921,1994,3.881
estimates,921,1995,3.79
estimates,921,1996,3.701
estimates,921,1997,3.615
estimates,921,1998,3.529
estimates,921,1999,3.445
estimates,921,2000,3.363
estimates,921,2001,3.283
estimates,921,2002,3.207
estimates,921,2003,3.134
estimates,921,2004,3.065
estimates,921,2005,2.998
estimates,921,2006,2.933
estimates,921,2007,2.869
estimates,921,2008,2.805
estimates,921,2009,2.742
estimates,921,2010,2.681
estimates,921,2011,2.625
estimates,921,2012,2.573
estimates,921,2013,2.528
estimates,921,2014,2.49
estimates,921,2015,2.457
medium_variant,921,2015,2.457
medium_variant,921,2016,2.429
medium_variant,921,2017,2.404
medium_variant,921,2018,2.38
medium_variant,921,2019,2.356
medium_variant,921,2020,2.332
medium_variant,921,2021,2.308
medium_variant,921,2022,2.284
medium_variant,921,2023,2.261
medium_variant,921,2024,2.238
medium_variant,921,2025,2.216
medium_variant,921,2026,2.194
medium_variant,921,2027,2.172
medium_variant,921,2028,2.152
medium_variant,921,2029,2.131
medium_variant,921,2030,2.112
medium_variant,921,2031,2.094
medium_variant,921,2032,2.076
medium_variant,921,2033,2.06
medium_variant,921,2034,2.044
medium_variant,921,2035,2.029
medium_variant,921,2036,2.016
medium_variant,921,2037,2.004
medium_variant,921,2038,1.992
medium_variant,921,2039,1.982
medium_variant,921,2040,1.972
medium_variant,921,2041,1.962
medium_variant,921,2042,1.954
medium_variant,921,2043,1.946
medium_variant,921,2044,1.938
medium_variant,921,2045,1.931
medium_variant,921,2046,1.923
medium_variant,921,2047,1.916
medium_variant,921,2048,1.909
medium_variant,921,2049,1.902
medium_variant,921,2050,1.895
medium_variant,921,2051,1.888
medium_variant,921,2052,1.881
medium_variant,921,2053,1.874
medium_variant,921,2054,1.867
medium_variant,921,2055,1.861
medium_variant,921,2056,1.854
medium_variant,921,2057,1.848
medium_variant,921,2058,1.843
medium_variant,921,2059,1.838
medium_variant,921,2060,1.833
medium_variant,921,2061,1.828
medium_variant,921,2062,1.824
medium_variant,921,2063,1.82
medium_variant,921,2064,1.817
medium_variant,921,2065,1.814
medium_variant,921,2066,1.811
medium_variant,921,2067,1.808
medium_variant,921,2068,1.805
medium_variant,921,2069,1.803
medium_variant,921,2070,1.801
medium_variant,921,2071,1.799
medium_variant,921,2072,1.797
medium_variant,921,2073,1.796
medium_variant,921,2074,1.794
medium_variant,921,2075,1.793
medium_variant,921,2076,1.792
medium_variant,921,2077,1.791
medium_variant,921,2078,1.79
medium_variant,921,2079,1.789
medium_variant,921,2080,1.788
medium_variant,921,2081,1.788
medium_variant,921,2082,1.787
medium_variant,921,2083,1.786
medium_variant,921,2084,1.786
medium_variant,921,2085,1.785
medium_variant,921,2086,1.784
medium_variant,921,2087,1.783
medium_variant,921,2088,1.783
medium_variant,921,2089,1.782
medium_variant,921,2090,1.782
medium_variant,921,2091,1.782
medium_variant,921,2092,1.781
medium_variant,921,2093,1.781
medium_variant,921,2094,1.782
medium_variant,921,2095,1.782
medium_variant,921,2096,1.782
medium_variant,921,2097,1.783
medium_variant,921,2098,1.784
medium_variant,921,2099,1.784
