variant,region,year,totalfertility
estimates,912,1950,6.773
estimates,912,1951,6.78
estimates,912,1952,6.793
estimates,912,1953,6.808
estimates,912,1954,6.823
estimates,912,1955,6.839
estimates,912,1956,6.855
estimates,912,1957,6.873
estimates,912,1958,6.89
estimates,912,1959,6.906
estimates,912,1960,6.92
estimates,912,1961,6.93
estimates,912,1962,6.936
estimates,912,1963,6.935
estimates,912,1964,6.927
estimates,912,1965,6.91
estimates,912,1966,6.884
estimates,912,1967,6.848
estimates,912,1968,6.803
estimates,912,1969,6.751
estimates,912,1970,6.694
estimates,912,1971,6.631
estimates,912,1972,6.567
estimates,912,1973,6.501
estimates,912,1974,6.433
estimates,912,1975,6.366
estimates,912,1976,6.297
estimates,912,1977,6.226
estimates,912,1978,6.151
estimates,912,1979,6.071
estimates,912,1980,5.985
estimates,912,1981,5.894
estimates,912,1982,5.797
estimates,912,1983,5.694
estimates,912,1984,5.582
estimates,912,1985,5.46
estimates,912,1986,5.325
estimates,912,1987,5.177
estimates,912,1988,5.017
estimates,912,1989,4.846
estimates,912,1990,4.668
estimates,912,1991,4.485
estimates,912,1992,4.301
estimates,912,1993,4.122
estimates,912,1994,3.951
estimates,912,1995,3.793
estimates,912,1996,3.652
estimates,912,1997,3.527
estimates,912,1998,3.419
estimates,912,1999,3.328
estimates,912,2000,3.255
estimates,912,2001,3.197
estimates,912,2002,3.152
estimates,912,2003,3.118
estimates,912,2004,3.094
estimates,912,2005,3.082
estimates,912,2006,3.084
estimates,912,2007,3.102
estimates,912,2008,3.133
estimates,912,2009,3.172
estimates,912,2010,3.214
estimates,912,2011,3.248
estimates,912,2012,3.27
estimates,912,2013,3.274
estimates,912,2014,3.26
estimates,912,2015,3.229
medium_variant,912,2015,3.229
medium_variant,912,2016,3.185
medium_variant,912,2017,3.135
medium_variant,912,2018,3.086
medium_variant,912,2019,3.041
medium_variant,912,2020,3.001
medium_variant,912,2021,2.966
medium_variant,912,2022,2.935
medium_variant,912,2023,2.905
medium_variant,912,2024,2.876
medium_variant,912,2025,2.849
medium_variant,912,2026,2.823
medium_variant,912,2027,2.797
medium_variant,912,2028,2.773
medium_variant,912,2029,2.75
medium_variant,912,2030,2.727
medium_variant,912,2031,2.705
medium_variant,912,2032,2.684
medium_variant,912,2033,2.663
medium_variant,912,2034,2.642
medium_variant,912,2035,2.621
medium_variant,912,2036,2.6
medium_variant,912,2037,2.58
medium_variant,912,2038,2.559
medium_variant,912,2039,2.539
medium_variant,912,2040,2.518
medium_variant,912,2041,2.499
medium_variant,912,2042,2.479
medium_variant,912,2043,2.461
medium_variant,912,2044,2.443
medium_variant,912,2045,2.425
medium_variant,912,2046,2.409
medium_variant,912,2047,2.394
medium_variant,912,2048,2.379
medium_variant,912,2049,2.365
medium_variant,912,2050,2.352
medium_variant,912,2051,2.339
medium_variant,912,2052,2.327
medium_variant,912,2053,2.316
medium_variant,912,2054,2.305
medium_variant,912,2055,2.294
medium_variant,912,2056,2.284
medium_variant,912,2057,2.273
medium_variant,912,2058,2.263
medium_variant,912,2059,2.253
medium_variant,912,2060,2.243
medium_variant,912,2061,2.233
medium_variant,912,2062,2.223
medium_variant,912,2063,2.213
medium_variant,912,2064,2.202
medium_variant,912,2065,2.192
medium_variant,912,2066,2.181
medium_variant,912,2067,2.17
medium_variant,912,2068,2.159
medium_variant,912,2069,2.149
medium_variant,912,2070,2.139
medium_variant,912,2071,2.129
medium_variant,912,2072,2.12
medium_variant,912,2073,2.11
medium_variant,912,2074,2.102
medium_variant,912,2075,2.093
medium_variant,912,2076,2.086
medium_variant,912,2077,2.078
medium_variant,912,2078,2.071
medium_variant,912,2079,2.064
medium_variant,912,2080,2.058
medium_variant,912,2081,2.052
medium_variant,912,2082,2.046
medium_variant,912,2083,2.04
medium_variant,912,2084,2.035
medium_variant,912,2085,2.03
medium_variant,912,2086,2.024
medium_variant,912,2087,2.019
medium_variant,912,2088,2.013
medium_variant,912,2089,2.008
medium_variant,912,2090,2.002
medium_variant,912,2091,1.996
medium_variant,912,2092,1.991
medium_variant,912,2093,1.985
medium_variant,912,2094,1.98
medium_variant,912,2095,1.975
medium_variant,912,2096,1.97
medium_variant,912,2097,1.965
medium_variant,912,2098,1.96
medium_variant,912,2099,1.955
