continent,year,variant,gender,age5yearinterval,population
905,1950,estimates,female,0_4,9230.182
905,1950,estimates,male,0_4,9652.102
905,1950,estimates,female,5_9,7389.514
905,1950,estimates,male,5_9,7719.121
905,1950,estimates,female,10_14,6241.769
905,1950,estimates,male,10_14,6463.852
905,1950,estimates,female,15_19,6086.374
905,1950,estimates,male,15_19,6214.733
905,1950,estimates,female,20_24,6705.845
905,1950,estimates,male,20_24,6659.531
905,1950,estimates,female,25_29,7031.593
905,1950,estimates,male,25_29,6959.549
905,1950,estimates,female,30_34,6622.274
905,1950,estimates,male,30_34,6559.652
905,1950,estimates,female,35_39,6291.734
905,1950,estimates,male,35_39,6240.942
905,1950,estimates,female,40_44,5767.108
905,1950,estimates,male,40_44,5761.694
905,1950,estimates,female,45_49,5109.176
905,1950,estimates,male,45_49,5107.65
905,1950,estimates,female,50_54,4668.753
905,1950,estimates,male,50_54,4625.92
905,1950,estimates,female,55_59,4130.179
905,1950,estimates,male,55_59,4078.51
905,1950,estimates,female,60_64,3621.24
905,1950,estimates,male,60_64,3567.457
905,1950,estimates,female,65_69,3069.582
905,1950,estimates,male,65_69,2834.993
905,1950,estimates,female,70_74,2015.092
905,1950,estimates,male,70_74,1829.472
905,1950,estimates,female,75_79,1285.496
905,1950,estimates,male,75_79,1115.026
905,1955,estimates,female,0_4,10392.465
905,1955,estimates,male,0_4,10844.398
905,1955,estimates,female,5_9,9259.444
905,1955,estimates,male,5_9,9689.254
905,1955,estimates,female,10_14,7485.602
905,1955,estimates,male,10_14,7849.344
905,1955,estimates,female,15_19,6248.586
905,1955,estimates,male,15_19,6301.051
905,1955,estimates,female,20_24,6130.401
905,1955,estimates,male,20_24,5912.34
905,1955,estimates,female,25_29,6733.922
905,1955,estimates,male,25_29,6721.578
905,1955,estimates,female,30_34,7071.527
905,1955,estimates,male,30_34,7002.849
905,1955,estimates,female,35_39,6627.364
905,1955,estimates,male,35_39,6585.627
905,1955,estimates,female,40_44,6233.618
905,1955,estimates,male,40_44,6189.174
905,1955,estimates,female,45_49,5486.406
905,1955,estimates,male,45_49,5425.663
905,1955,estimates,female,50_54,5312.741
905,1955,estimates,male,50_54,5257.425
905,1955,estimates,female,55_59,4460.24
905,1955,estimates,male,55_59,4255.419
905,1955,estimates,female,60_64,4000.724
905,1955,estimates,male,60_64,3799.823
905,1955,estimates,female,65_69,3350.125
905,1955,estimates,male,65_69,3074.652
905,1955,estimates,female,70_74,2514.939
905,1955,estimates,male,70_74,2120.684
905,1955,estimates,female,75_79,1563.498
905,1955,estimates,male,75_79,1306.418
905,1960,estimates,female,0_4,11248.866
905,1960,estimates,male,0_4,11731.682
905,1960,estimates,female,5_9,10447.429
905,1960,estimates,male,5_9,10891.577
905,1960,estimates,female,10_14,9329.466
905,1960,estimates,male,10_14,9753.858
905,1960,estimates,female,15_19,7455.004
905,1960,estimates,male,15_19,7675.081
905,1960,estimates,female,20_24,6382.429
905,1960,estimates,male,20_24,6318.432
905,1960,estimates,female,25_29,6254.885
905,1960,estimates,male,25_29,6342.747
905,1960,estimates,female,30_34,6838.476
905,1960,estimates,male,30_34,6835.297
905,1960,estimates,female,35_39,7100.593
905,1960,estimates,male,35_39,7031.494
905,1960,estimates,female,40_44,6582.55
905,1960,estimates,male,40_44,6507.854
905,1960,estimates,female,45_49,6189.379
905,1960,estimates,male,45_49,6076.149
905,1960,estimates,female,50_54,5682.64
905,1960,estimates,male,50_54,5448.173
905,1960,estimates,female,55_59,5192.052
905,1960,estimates,male,55_59,4906.152
905,1960,estimates,female,60_64,4298.955
905,1960,estimates,male,60_64,3858.479
905,1960,estimates,female,65_69,3650.703
