continent,year,variant,gender,age5yearinterval,population
909,1950,estimates,female,"Region, subregion, country or area *",OCEANIA
909,1950,estimates,male,"Region, subregion, country or area *",OCEANIA
909,1950,estimates,female,0_4,746.115
909,1950,estimates,male,0_4,784.079
909,1950,estimates,female,5_9,594.243
909,1950,estimates,male,5_9,622.534
909,1950,estimates,female,10_14,500.842
909,1950,estimates,male,10_14,525.381
909,1950,estimates,female,15_19,459.997
909,1950,estimates,male,15_19,489.655
909,1950,estimates,female,20_24,487.513
909,1950,estimates,male,20_24,526.558
909,1950,estimates,female,25_29,495.897
909,1950,estimates,male,25_29,523.341
909,1950,estimates,female,30_34,453.972
909,1950,estimates,male,30_34,469.361
909,1950,estimates,female,35_39,440.065
909,1950,estimates,male,35_39,463.181
909,1950,estimates,female,40_44,380.567
909,1950,estimates,male,40_44,416.812
909,1950,estimates,female,45_49,331.476
909,1950,estimates,male,45_49,360.133
909,1950,estimates,female,50_54,306.356
909,1950,estimates,male,50_54,308.929
909,1950,estimates,female,55_59,277.992
909,1950,estimates,male,55_59,268.209
909,1950,estimates,female,60_64,243.628
909,1950,estimates,male,60_64,238.534
909,1950,estimates,female,65_69,193.413
909,1950,estimates,male,65_69,182.983
909,1950,estimates,female,70_74,140.23
909,1950,estimates,male,70_74,124.397
909,1950,estimates,female,75_79,86.188
909,1950,estimates,male,75_79,74.046
909,1950,estimates,female,80plus,74.873
909,1950,estimates,male,80plus,56.294
909,1955,estimates,female,"Region, subregion, country or area *",OCEANIA
909,1955,estimates,male,"Region, subregion, country or area *",OCEANIA
909,1955,estimates,female,0_4,848.099
909,1955,estimates,male,0_4,887.461
909,1955,estimates,female,5_9,757.391
909,1955,estimates,male,5_9,792.622
909,1955,estimates,female,10_14,608.568
909,1955,estimates,male,10_14,638.66
909,1955,estimates,female,15_19,510.049
909,1955,estimates,male,15_19,540.409
909,1955,estimates,female,20_24,470.866
909,1955,estimates,male,20_24,515.465
909,1955,estimates,female,25_29,508.395
909,1955,estimates,male,25_29,562.894
909,1955,estimates,female,30_34,516.436
909,1955,estimates,male,30_34,553.915
909,1955,estimates,female,35_39,464.719
909,1955,estimates,male,35_39,483.079
909,1955,estimates,female,40_44,446.504
909,1955,estimates,male,40_44,472.158
909,1955,estimates,female,45_49,378.992
909,1955,estimates,male,45_49,414.218
909,1955,estimates,female,50_54,324.717
909,1955,estimates,male,50_54,346.885
909,1955,estimates,female,55_59,293.096
909,1955,estimates,male,55_59,285.742
909,1955,estimates,female,60_64,261.092
909,1955,estimates,male,60_64,238.215
909,1955,estimates,female,65_69,219.638
909,1955,estimates,male,65_69,197.488
909,1955,estimates,female,70_74,163.463
909,1955,estimates,male,70_74,138.168
909,1955,estimates,female,75_79,105.391
909,1955,estimates,male,75_79,82.69
909,1955,estimates,female,80plus,88.268
909,1955,estimates,male,80plus,60.928
909,1960,estimates,female,"Region, subregion, country or area *",OCEANIA
909,1960,estimates,male,"Region, subregion, country or area *",OCEANIA
909,1960,estimates,female,0_4,943.528
909,1960,estimates,male,0_4,991.002
909,1960,estimates,female,5_9,853.245
909,1960,estimates,male,5_9,889.59
909,1960,estimates,female,10_14,774.357
909,1960,estimates,male,10_14,812.006
909,1960,estimates,female,15_19,615.92
909,1960,estimates,male,15_19,649.97
909,1960,estimates,female,20_24,530.197
909,1960,estimates,male,20_24,565.086
909,1960,estimates,female,25_29,496.918
909,1960,estimates,male,25_29,540.448
909,1960,estimates,female,30_34,526.582
909,1960,estimates,male,30_34,579.726
909,1960,estimates,female,35_39,527.65
909,1960,estimates,male,35_39,560.528
909,1960,estimates,female,40_44,467.046
909,1960,estimates,male,40_44,483.689
909,1960,estimates,female,45_49,442.838
909,1960,estimates,male,45_49,466.156
909,1960,estimates,female,50_54,369.892
909,1960,estimates,male,50_54,398.472
909,1960,estimates,female,55_59,311.315
909,1960,estimates,male,55_59,321.973
909,1960,estimates,female,60_64,277.569
909,1960,estimates,male,60_64,256.018
909,1960,estimates,female,65_69,237.907
909,1960,estimates,male,65_69,198.325
909,1960,estimates,female,70_74,188.034
909,1960,estimates,male,70_74,153.199
909,1960,estimates,female,75_79,124.818
909,1960,estimates,male,75_79,93.276
909,1960,estimates,female,80plus,108.633
909,1960,estimates,male,80plus,69.294
909,1965,estimates,female,"Region, subregion, country or area *",OCEANIA
909,1965,estimates,male,"Region, subregion, country or area *",OCEANIA
909,1965,estimates,female,0_4,1014.809
909,1965,estimates,male,0_4,1067.085
909,1965,estimates,female,5_9,953.66
909,1965,estimates,male,5_9,997.699
909,1965,estimates,female,10_14,868.273
909,1965,estimates,male,10_14,908.35
909,1965,estimates,female,15_19,787.017
909,1965,estimates,male,15_19,826.888
909,1965,estimates,female,20_24,635.676
909,1965,estimates,male,20_24,673.763
909,1965,estimates,female,25_29,556.731
909,1965,estimates,male,25_29,590.016
909,1965,estimates,female,30_34,512.99
909,1965,estimates,male,30_34,553.297
909,1965,estimates,female,35_39,537.561
909,1965,estimates,male,35_39,584.612
909,1965,estimates,female,40_44,531.117
909,1965,estimates,male,40_44,558.441
909,1965,estimates,female,45_49,462.91
909,1965,estimates,male,45_49,474.273
909,1965,estimates,female,50_54,432.648
909,1965,estimates,male,50_54,445.477
909,1965,estimates,female,55_59,357.356
909,1965,estimates,male,55_59,372.02
909,1965,estimates,female,60_64,295.431
909,1965,estimates,male,60_64,288.094
909,1965,estimates,female,65_69,255.843
909,1965,estimates,male,65_69,215.701
909,1965,estimates,female,70_74,206.769
909,1965,estimates,male,70_74,150.7
909,1965,estimates,female,75_79,146.12
909,1965,estimates,male,75_79,100.714
909,1965,estimates,female,80plus,132.228
909,1965,estimates,male,80plus,76.962
909,1970,estimates,female,"Region, subregion, country or area *",OCEANIA
909,1970,estimates,male,"Region, subregion, country or area *",OCEANIA
909,1970,estimates,female,0_4,1083.06
909,1970,estimates,male,0_4,1134.91
909,1970,estimates,female,5_9,1047.848
909,1970,estimates,male,5_9,1099.285
909,1970,estimates,female,10_14,1003.611
909,1970,estimates,male,10_14,1050.411
909,1970,estimates,female,15_19,888.802
909,1970,estimates,male,15_19,923.662
909,1970,estimates,female,20_24,836.291
909,1970,estimates,male,20_24,876.364
909,1970,estimates,female,25_29,669.092
909,1970,estimates,male,25_29,711.087
909,1970,estimates,female,30_34,582.837
