continent,variant,freq,year,rateofnaturalincreaseper1000population
904,estimates,5yearly,1950,27.071
904,estimates,5yearly,1955,27.904
904,estimates,5yearly,1960,28.508
904,estimates,5yearly,1965,27.115
904,estimates,5yearly,1970,25.775
904,estimates,5yearly,1975,24.533
904,estimates,5yearly,1980,23.022
904,estimates,5yearly,1985,20.979
904,estimates,5yearly,1990,18.986
904,estimates,5yearly,1995,17.306
904,estimates,5yearly,2000,15.254
904,estimates,5yearly,2005,13.252
904,estimates,5yearly,2010,11.924
904,constant_fertility,5yearly,2015,11.314
904,constant_mortality,5yearly,2015,10.033
904,high_variant,5yearly,2015,12.332
904,instant_replacement,5yearly,2015,10.94
904,low_variant,5yearly,2015,8.479
904,medium_variant,5yearly,2015,10.415
904,momentum,5yearly,2015,10.649
904,no_change,5yearly,2015,10.931
904,zero_migration,5yearly,2015,10.438
904,constant_fertility,5yearly,2020,10.456
904,constant_mortality,5yearly,2020,8.192
904,high_variant,5yearly,2020,11.77
904,instant_replacement,5yearly,2020,10.005
904,low_variant,5yearly,2020,5.962
904,medium_variant,5yearly,2020,8.916
904,momentum,5yearly,2020,9.458
904,no_change,5yearly,2020,9.733
904,zero_migration,5yearly,2020,8.972
904,constant_fertility,5yearly,2025,9.434
904,constant_mortality,5yearly,2025,6.438
904,high_variant,5yearly,2025,10.799
904,instant_replacement,5yearly,2025,8.928
904,low_variant,5yearly,2025,3.955
904,medium_variant,5yearly,2025,7.489
904,momentum,5yearly,2025,8.118
904,no_change,5yearly,2025,8.392
904,zero_migration,5yearly,2025,7.562
904,constant_fertility,5yearly,2030,8.42
904,constant_mortality,5yearly,2030,4.789
904,high_variant,5yearly,2030,9.331
904,instant_replacement,5yearly,2030,7.828
904,low_variant,5yearly,2030,2.729
904,medium_variant,5yearly,2030,6.169
904,momentum,5yearly,2030,6.748
904,no_change,5yearly,2030,7.072
904,zero_migration,5yearly,2030,6.25
904,constant_fertility,5yearly,2035,7.558
904,constant_mortality,5yearly,2035,3.238
904,high_variant,5yearly,2035,8.245
904,instant_replacement,5yearly,2035,6.794
904,low_variant,5yearly,2035,1.394
904,medium_variant,5yearly,2035,4.942
904,momentum,5yearly,2035,5.454
904,no_change,5yearly,2035,5.915
904,zero_migration,5yearly,2035,5.028
904,constant_fertility,5yearly,2040,6.849
904,constant_mortality,5yearly,2040,1.794
904,high_variant,5yearly,2040,7.524
904,instant_replacement,5yearly,2040,5.896
904,low_variant,5yearly,2040,-0.0579999999999998
904,medium_variant,5yearly,2040,3.81
904,momentum,5yearly,2040,4.335
904,no_change,5yearly,2040,4.938
904,zero_migration,5yearly,2040,3.904
904,constant_fertility,5yearly,2045,6.236
904,constant_mortality,5yearly,2045,0.445
904,high_variant,5yearly,2045,7.029
904,instant_replacement,5yearly,2045,5.138
904,low_variant,5yearly,2045,-1.59
904,medium_variant,5yearly,2045,2.751
904,momentum,5yearly,2045,3.399
904,no_change,5yearly,2045,4.092
904,zero_migration,5yearly,2045,2.862
904,constant_fertility,5yearly,2050,5.672
904,constant_mortality,5yearly,2050,-0.823
904,high_variant,5yearly,2050,6.563
904,instant_replacement,5yearly,2050,4.435
904,low_variant,5yearly,2050,-3.123
904,medium_variant,5yearly,2050,1.742
904,momentum,5yearly,2050,2.57
