variant,global,year,dependencyratio2569
estimates,900,1950,124.675
estimates,900,1951,125.818
estimates,900,1952,126.742
estimates,900,1953,127.383
estimates,900,1954,127.748
estimates,900,1955,127.926
estimates,900,1956,129.093
estimates,900,1957,129.882
estimates,900,1958,130.477
estimates,900,1959,131.002
estimates,900,1960,131.502
estimates,900,1961,132.257
estimates,900,1962,133.123
estimates,900,1963,134.029
estimates,900,1964,134.908
estimates,900,1965,135.772
estimates,900,1966,137.499
estimates,900,1967,139.066
estimates,900,1968,140.443
estimates,900,1969,141.588
estimates,900,1970,142.443
estimates,900,1971,143.509
estimates,900,1972,144.157
estimates,900,1973,144.379
estimates,900,1974,144.134
estimates,900,1975,143.426
estimates,900,1976,142.889
estimates,900,1977,141.837
estimates,900,1978,140.447
estimates,900,1979,138.977
estimates,900,1980,137.585
estimates,900,1981,136.549
estimates,900,1982,135.639
estimates,900,1983,134.719
estimates,900,1984,133.598
estimates,900,1985,132.216
estimates,900,1986,131.264
estimates,900,1987,130.044
estimates,900,1988,128.624
estimates,900,1989,127.057
estimates,900,1990,125.356
estimates,900,1991,124.069
estimates,900,1992,122.435
estimates,900,1993,120.606
estimates,900,1994,118.762
estimates,900,1995,116.993
estimates,900,1996,115.285
estimates,900,1997,113.718
estimates,900,1998,112.228
estimates,900,1999,110.743
estimates,900,2000,109.255
estimates,900,2001,108.183
estimates,900,2002,107.121
estimates,900,2003,106.038
estimates,900,2004,104.906
estimates,900,2005,103.706
estimates,900,2006,102.733
estimates,900,2007,101.636
estimates,900,2008,100.425
estimates,900,2009,99.098
estimates,900,2010,97.673
estimates,900,2011,96.37
estimates,900,2012,94.967
estimates,900,2013,93.557
estimates,900,2014,92.233
estimates,900,2015,91.047
medium_variant,900,2015,91.047
medium_variant,900,2016,90.175
medium_variant,900,2017,89.379
medium_variant,900,2018,88.679
medium_variant,900,2019,88.1
medium_variant,900,2020,87.648
medium_variant,900,2021,87.452
medium_variant,900,2022,87.367
medium_variant,900,2023,87.338
medium_variant,900,2024,87.293
medium_variant,900,2025,87.195
medium_variant,900,2026,87.2
medium_variant,900,2027,87.151
medium_variant,900,2028,87.062
medium_variant,900,2029,86.958
medium_variant,900,2030,86.856
medium_variant,900,2031,86.898
medium_variant,900,2032,86.91
medium_variant,900,2033,86.895
medium_variant,900,2034,86.855
medium_variant,900,2035,86.796
medium_variant,900,2036,86.848
medium_variant,900,2037,86.856
medium_variant,900,2038,86.834
medium_variant,900,2039,86.793
medium_variant,900,2040,86.741
medium_variant,900,2041,86.79
medium_variant,900,2042,86.816
medium_variant,900,2043,86.817
medium_variant,900,2044,86.783
medium_variant,900,2045,86.711
medium_variant,900,2046,86.712
medium_variant,900,2047,86.67
medium_variant,900,2048,86.609
medium_variant,900,2049,86.561
medium_variant,900,2050,86.546
medium_variant,900,2051,86.659
medium_variant,900,2052,86.779
medium_variant,900,2053,86.92
medium_variant,900,2054,87.097
medium_variant,900,2055,87.315
medium_variant,900,2056,87.655
medium_variant,900,2057,88.02
medium_variant,900,2058,88.381
medium_variant,900,2059,88.693
medium_variant,900,2060,88.93
medium_variant,900,2061,89.175
medium_variant,900,2062,89.345
medium_variant,900,2063,89.443
medium_variant,900,2064,89.471
medium_variant,900,2065,89.433
medium_variant,900,2066,89.403
medium_variant,900,2067,89.302
medium_variant,900,2068,89.15
medium_variant,900,2069,88.973
medium_variant,900,2070,88.797
medium_variant,900,2071,88.678
medium_variant,900,2072,88.547
medium_variant,900,2073,88.418
medium_variant,900,2074,88.303
medium_variant,900,2075,88.207
medium_variant,900,2076,88.167
medium_variant,900,2077,88.137
medium_variant,900,2078,88.127
medium_variant,900,2079,88.141
medium_variant,900,2080,88.177
medium_variant,900,2081,88.271
medium_variant,900,2082,88.389
medium_variant,900,2083,88.518
medium_variant,900,2084,88.643
medium_variant,900,2085,88.76
medium_variant,900,2086,88.908
medium_variant,900,2087,89.045
medium_variant,900,2088,89.172
medium_variant,900,2089,89.285
medium_variant,900,2090,89.384
medium_variant,900,2091,89.474
medium_variant,900,2092,89.539
medium_variant,900,2093,89.588
medium_variant,900,2094,89.629
medium_variant,900,2095,89.667
medium_variant,900,2096,89.677
medium_variant,900,2097,89.681
medium_variant,900,2098,89.689
medium_variant,900,2099,89.7
medium_variant,900,2100,89.713
high_variant,900,2015,91.0465630240608
low_variant,900,2015,91.0465630240608
constant_fertility,900,2015,91.0465630240608
instant_replacement,900,2015,91.0465630240608
zero_migration,900,2015,91.0465630240608
constant_mortality,900,2015,91.0465630240608
no_change,900,2015,91.0465630240608
high_variant,900,2020,89.3280134792099
low_variant,900,2020,85.9657107095834
constant_fertility,900,2020,88.3846252338913
instant_replacement,900,2020,86.048150938881
zero_migration,900,2020,87.6420416822612
constant_mortality,900,2020,87.4796230510921
no_change,900,2020,88.210433510012
high_variant,900,2025,91.3498940032807
low_variant,900,2025,83.0369139273721
constant_fertility,900,2025,89.3833542513932
instant_replacement,900,2025,84.2733388558975
zero_migration,900,2025,87.1882984610272
constant_mortality,900,2025,86.6897813634968
no_change,900,2025,88.8502556817183
high_variant,900,2030,93.9130976888464
low_variant,900,2030,79.7942067925255
constant_fertility,900,2030,91.1847632409878
instant_replacement,900,2030,82.8249788981598
zero_migration,900,2030,86.8430144213709
constant_mortality,900,2030,85.8457751883933
no_change,900,2030,90.1005971965745
high_variant,900,2035,96.6672109351704
low_variant,900,2035,76.9380949798456
constant_fertility,900,2035,93.999055626308
instant_replacement,900,2035,81.7562899191032
zero_migration,900,2035,86.7826872595267
constant_mortality,900,2035,85.0861062613777
no_change,900,2035,92.1330742683218
high_variant,900,2040,99.6298620969675
low_variant,900,2040,73.9963132346298
constant_fertility,900,2040,97.703014919673
instant_replacement,900,2040,80.6246086247807
zero_migration,900,2040,86.753035110891
constant_mortality,900,2040,84.1242182854173
no_change,900,2040,94.7913395624755
high_variant,900,2045,100.452253370645
low_variant,900,2045,73.1142027414143
constant_fertility,900,2045,101.36766298713
instant_replacement,900,2045,81.5358693219735
zero_migration,900,2045,86.7725181487664
constant_mortality,900,2045,83.1508705813913
no_change,900,2045,97.3261404200956
high_variant,900,2050,100.366852585023
low_variant,900,2050,72.9646805932995
constant_fertility,900,2050,104.938914549373
instant_replacement,900,2050,82.0861270373176
zero_migration,900,2050,86.6341903998093
constant_mortality,900,2050,82.0751230589856
no_change,900,2050,99.7600531983941
high_variant,900,2055,100.962830847591
low_variant,900,2055,74.1914014498664
constant_fertility,900,2055,109.752985131792
instant_replacement,900,2055,83.4449245783508
zero_migration,900,2055,87.4065175550422
constant_mortality,900,2055,81.8808576217432
no_change,900,2055,103.334162914572
high_variant,900,2060,102.761765421023
low_variant,900,2060,76.0850861548986
constant_fertility,900,2060,115.810887706728
instant_replacement,900,2060,85.6538060088494
zero_migration,900,2060,89.0033450466982
constant_mortality,900,2060,82.4104182485536
no_change,900,2060,107.974234679872
high_variant,900,2065,103.260905453945
low_variant,900,2065,77.0617557705882
constant_fertility,900,2065,120.848448082546
instant_replacement,900,2065,86.9636440951737
zero_migration,900,2065,89.463475352783
constant_mortality,900,2065,81.8824984803542
no_change,900,2065,111.625039422431
high_variant,900,2070,102.074522061568
low_variant,900,2070,77.3572831664475
constant_fertility,900,2070,124.659126585049
instant_replacement,900,2070,87.4078409287553
zero_migration,900,2070,88.7843864208848
constant_mortality,900,2070,80.3596183571584
no_change,900,2070,114.201415272234
high_variant,900,2075,100.330578975463
low_variant,900,2075,78.3310729316273
constant_fertility,900,2075,128.378386357167
instant_replacement,900,2075,87.9958208258229
zero_migration,900,2075,88.1593732765745
constant_mortality,900,2075,79.0094614648123
no_change,900,2075,116.835824018583
high_variant,900,2080,98.7272698415785
low_variant,900,2080,80.5569851874412
constant_fertility,900,2080,132.404896818913
instant_replacement,900,2080,89.1333090665693
zero_migration,900,2080,88.0900415151336
constant_mortality,900,2080,78.3320105045653
no_change,900,2080,119.933319064054
high_variant,900,2085,97.5452919328477
low_variant,900,2085,84.094745148756
constant_fertility,900,2085,136.641985674397
instant_replacement,900,2085,90.9664630235853
zero_migration,900,2085,88.6293626817525
constant_mortality,900,2085,78.3033571024083
no_change,900,2085,123.358663302707
high_variant,900,2090,97.8130533683228
low_variant,900,2090,85.7328873352087
constant_fertility,900,2090,141.109091633224
instant_replacement,900,2090,91.6827820037064
zero_migration,900,2090,89.20424602451
constant_mortality,900,2090,78.2182961522715
no_change,900,2090,126.940118913716
high_variant,900,2095,98.3221166192755
low_variant,900,2095,85.8841440828606
constant_fertility,900,2095,145.391111130899
instant_replacement,900,2095,92.3632607588516
zero_migration,900,2095,89.465315377142
constant_mortality,900,2095,77.7102843646424
no_change,900,2095,130.304445598305
high_variant,900,2100,98.6530680348481
low_variant,900,2100,85.2526681798797
constant_fertility,900,2100,149.450338369173
instant_replacement,900,2100,93.1028297564103
zero_migration,900,2100,89.4991354668666
constant_mortality,900,2100,76.9583112945859
no_change,900,2100,133.507502432478
