region,variant,freq,year,crudedeathrateper1000population
910,estimates,5yearly,1950,27.106
910,estimates,5yearly,1955,24.679
910,estimates,5yearly,1960,22.345
910,estimates,5yearly,1965,20.568
910,estimates,5yearly,1970,19.143
910,estimates,5yearly,1975,18.016
910,estimates,5yearly,1980,17.402
910,estimates,5yearly,1985,16.552
910,estimates,5yearly,1990,16.953
910,estimates,5yearly,1995,15.058
910,estimates,5yearly,2000,13.169
910,estimates,5yearly,2005,10.408
910,estimates,5yearly,2010,8.388
910,constant_fertility,5yearly,2015,7.421
910,constant_mortality,5yearly,2015,8.394
910,high_variant,5yearly,2015,7.382
910,instant_replacement,5yearly,2015,6.621
910,low_variant,5yearly,2015,7.244
910,medium_variant,5yearly,2015,7.313
910,momentum,5yearly,2015,7.613
910,no_change,5yearly,2015,8.522
910,zero_migration,5yearly,2015,7.311
910,constant_fertility,5yearly,2020,6.787
910,constant_mortality,5yearly,2020,8.438
910,high_variant,5yearly,2020,6.725
910,instant_replacement,5yearly,2020,6.377
910,low_variant,5yearly,2020,6.597
910,medium_variant,5yearly,2020,6.662
910,momentum,5yearly,2020,8.002
910,no_change,5yearly,2020,8.635
910,zero_migration,5yearly,2020,6.661
910,constant_fertility,5yearly,2025,6.192
910,constant_mortality,5yearly,2025,8.532
910,high_variant,5yearly,2025,6.148
910,instant_replacement,5yearly,2025,6.301
910,low_variant,5yearly,2025,6.116
910,medium_variant,5yearly,2025,6.132
910,momentum,5yearly,2025,8.588
910,no_change,5yearly,2025,8.716
910,zero_migration,5yearly,2025,6.13
910,constant_fertility,5yearly,2030,5.688
910,constant_mortality,5yearly,2030,8.678
910,high_variant,5yearly,2030,5.68
910,instant_replacement,5yearly,2030,6.247
910,low_variant,5yearly,2030,5.805
910,medium_variant,5yearly,2030,5.739
910,momentum,5yearly,2030,9.155
910,no_change,5yearly,2030,8.785
910,zero_migration,5yearly,2030,5.737
910,constant_fertility,5yearly,2035,5.303
910,constant_mortality,5yearly,2035,8.878
910,high_variant,5yearly,2035,5.365
910,instant_replacement,5yearly,2035,6.217
910,low_variant,5yearly,2035,5.625
910,medium_variant,5yearly,2035,5.486
910,momentum,5yearly,2035,9.633
910,no_change,5yearly,2035,8.872
910,zero_migration,5yearly,2035,5.483
910,constant_fertility,5yearly,2040,5.016
910,constant_mortality,5yearly,2040,9.141
910,high_variant,5yearly,2040,5.173
910,instant_replacement,5yearly,2040,6.285
910,low_variant,5yearly,2040,5.56
910,medium_variant,5yearly,2040,5.351
910,momentum,5yearly,2040,10.105
910,no_change,5yearly,2040,8.989
910,zero_migration,5yearly,2040,5.348
910,constant_fertility,5yearly,2045,4.779
910,constant_mortality,5yearly,2045,9.47
910,high_variant,5yearly,2045,5.058
910,instant_replacement,5yearly,2045,6.508
910,low_variant,5yearly,2045,5.595
910,medium_variant,5yearly,2045,5.303
910,momentum,5yearly,2045,10.7
910,no_change,5yearly,2045,9.121
910,zero_migration,5yearly,2045,5.3
910,constant_fertility,5yearly,2050,4.576
910,constant_mortality,5yearly,2050,9.865
910,high_variant,5yearly,2050,5.006
910,instant_replacement,5yearly,2050,6.893
910,low_variant,5yearly,2050,5.736
910,medium_variant,5yearly,2050,5.336
910,momentum,5yearly,2050,11.443
910,no_change,5yearly,2050,9.252
910,zero_migration,5yearly,2050,5.333
910,constant_fertility,5yearly,2055,4.416
910,constant_mortality,5yearly,2055,10.316
910,high_variant,5yearly,2055,5.024
910,instant_replacement,5yearly,2055,7.406
910,low_variant,5yearly,2055,5.99
910,medium_variant,5yearly,2055,5.458
910,momentum,5yearly,2055,12.283
910,no_change,5yearly,2055,9.37
