region,variant,freq,year,crudedeathrateper1000population
1500,estimates,5yearly,1950,28.879
1500,estimates,5yearly,1955,26.212
1500,estimates,5yearly,1960,24.213
1500,estimates,5yearly,1965,22.308
1500,estimates,5yearly,1970,20.529
1500,estimates,5yearly,1975,19.056
1500,estimates,5yearly,1980,17.903
1500,estimates,5yearly,1985,16.659
1500,estimates,5yearly,1990,16.255
1500,estimates,5yearly,1995,14.901
1500,estimates,5yearly,2000,13.106
1500,estimates,5yearly,2005,10.888
1500,estimates,5yearly,2010,9.176
1500,constant_fertility,5yearly,2015,8.24
1500,constant_mortality,5yearly,2015,9.182
1500,high_variant,5yearly,2015,8.19
1500,instant_replacement,5yearly,2015,7.258
1500,low_variant,5yearly,2015,8.04
1500,medium_variant,5yearly,2015,8.115
1500,momentum,5yearly,2015,8.2
1500,no_change,5yearly,2015,9.332
1500,zero_migration,5yearly,2015,8.112
1500,constant_fertility,5yearly,2020,7.533
1500,constant_mortality,5yearly,2020,9.213
1500,high_variant,5yearly,2020,7.445
1500,instant_replacement,5yearly,2020,6.93
1500,low_variant,5yearly,2020,7.299
1500,medium_variant,5yearly,2020,7.373
1500,momentum,5yearly,2020,8.544
1500,no_change,5yearly,2020,9.462
1500,zero_migration,5yearly,2020,7.367
1500,constant_fertility,5yearly,2025,6.884
1500,constant_mortality,5yearly,2025,9.284
1500,high_variant,5yearly,2025,6.801
1500,instant_replacement,5yearly,2025,6.853
1500,low_variant,5yearly,2025,6.753
1500,medium_variant,5yearly,2025,6.778
1500,momentum,5yearly,2025,9.143
1500,no_change,5yearly,2025,9.551
1500,zero_migration,5yearly,2025,6.767
1500,constant_fertility,5yearly,2030,6.322
1500,constant_mortality,5yearly,2030,9.397
1500,high_variant,5yearly,2030,6.272
1500,instant_replacement,5yearly,2030,6.803
1500,low_variant,5yearly,2030,6.385
1500,medium_variant,5yearly,2030,6.326
1500,momentum,5yearly,2030,9.708
1500,no_change,5yearly,2030,9.618
1500,zero_migration,5yearly,2030,6.313
1500,constant_fertility,5yearly,2035,5.866
1500,constant_mortality,5yearly,2035,9.552
1500,high_variant,5yearly,2035,5.891
1500,instant_replacement,5yearly,2035,6.761
1500,low_variant,5yearly,2035,6.146
1500,medium_variant,5yearly,2035,6.01
1500,momentum,5yearly,2035,10.149
1500,no_change,5yearly,2035,9.692
1500,zero_migration,5yearly,2035,5.996
1500,constant_fertility,5yearly,2040,5.5
1500,constant_mortality,5yearly,2040,9.757
1500,high_variant,5yearly,2040,5.633
1500,instant_replacement,5yearly,2040,6.814
1500,low_variant,5yearly,2040,6.021
1500,medium_variant,5yearly,2040,5.812
1500,momentum,5yearly,2040,10.57
1500,no_change,5yearly,2040,9.785
1500,zero_migration,5yearly,2040,5.798
1500,constant_fertility,5yearly,2045,5.194
1500,constant_mortality,5yearly,2045,10.022
1500,high_variant,5yearly,2045,5.467
1500,instant_replacement,5yearly,2045,7.033
1500,low_variant,5yearly,2045,6.01
1500,medium_variant,5yearly,2045,5.714
1500,momentum,5yearly,2045,11.116
1500,no_change,5yearly,2045,9.886
1500,zero_migration,5yearly,2045,5.703
1500,constant_fertility,5yearly,2050,4.925
1500,constant_mortality,5yearly,2050,10.349
1500,high_variant,5yearly,2050,5.37
1500,instant_replacement,5yearly,2050,7.415
1500,low_variant,5yearly,2050,6.108
1500,medium_variant,5yearly,2050,5.705
1500,momentum,5yearly,2050,11.819
1500,no_change,5yearly,2050,9.98
1500,zero_migration,5yearly,2050,5.696
1500,constant_fertility,5yearly,2055,4.692
1500,constant_mortality,5yearly,2055,10.736
1500,high_variant,5yearly,2055,5.341
1500,instant_replacement,5yearly,2055,7.922
1500,low_variant,5yearly,2055,6.313
1500,medium_variant,5yearly,2055,5.778
1500,momentum,5yearly,2055,12.642
1500,no_change,5yearly,2055,10.06
1500,zero_migration,5yearly,2055,5.774
1500,constant_fertility,5yearly,2060,4.486
1500,constant_mortality,5yearly,2060,11.182
1500,high_variant,5yearly,2060,5.37
1500,instant_replacement,5yearly,2060,8.512
1500,low_variant,5yearly,2060,6.61
1500,medium_variant,5yearly,2060,5.922
1500,momentum,5yearly,2060,13.539
1500,no_change,5yearly,2060,10.123
1500,zero_migration,5yearly,2060,5.922
1500,constant_fertility,5yearly,2065,4.295
1500,constant_mortality,5yearly,2065,11.679
1500,high_variant,5yearly,2065,5.444
1500,instant_replacement,5yearly,2065,9.154
1500,low_variant,5yearly,2065,6.986
1500,medium_variant,5yearly,2065,6.123
1500,momentum,5yearly,2065,14.441
1500,no_change,5yearly,2065,10.171
1500,zero_migration,5yearly,2065,6.126
1500,constant_fertility,5yearly,2070,4.116
1500,constant_mortality,5yearly,2070,12.22
1500,high_variant,5yearly,2070,5.557
1500,instant_replacement,5yearly,2070,9.848
1500,low_variant,5yearly,2070,7.436
1500,medium_variant,5yearly,2070,6.374
1500,momentum,5yearly,2070,15.324
1500,no_change,5yearly,2070,10.203
1500,zero_migration,5yearly,2070,6.381
1500,constant_fertility,5yearly,2075,3.944
1500,constant_mortality,5yearly,2075,12.793
1500,high_variant,5yearly,2075,5.698
1500,instant_replacement,5yearly,2075,10.572
1500,low_variant,5yearly,2075,7.952
1500,medium_variant,5yearly,2075,6.665
1500,momentum,5yearly,2075,16.134
1500,no_change,5yearly,2075,10.217
1500,zero_migration,5yearly,2075,6.675
1500,constant_fertility,5yearly,2080,3.774
1500,constant_mortality,5yearly,2080,13.377
1500,high_variant,5yearly,2080,5.855
1500,instant_replacement,5yearly,2080,11.238
1500,low_variant,5yearly,2080,8.517
1500,medium_variant,5yearly,2080,6.983
1500,momentum,5yearly,2080,16.747
1500,no_change,5yearly,2080,10.216
1500,zero_migration,5yearly,2080,6.993
1500,constant_fertility,5yearly,2085,3.607
1500,constant_mortality,5yearly,2085,13.953
1500,high_variant,5yearly,2085,6.024
1500,instant_replacement,5yearly,2085,11.737
1500,low_variant,5yearly,2085,9.106
1500,medium_variant,5yearly,2085,7.314
1500,momentum,5yearly,2085,17.021
1500,no_change,5yearly,2085,10.206
1500,zero_migration,5yearly,2085,7.322
1500,constant_fertility,5yearly,2090,3.445
1500,constant_mortality,5yearly,2090,14.511
1500,high_variant,5yearly,2090,6.198
1500,instant_replacement,5yearly,2090,11.942
1500,low_variant,5yearly,2090,9.689
1500,medium_variant,5yearly,2090,7.642
1500,momentum,5yearly,2090,16.901
1500,no_change,5yearly,2090,10.197
1500,zero_migration,5yearly,2090,7.648
1500,constant_fertility,5yearly,2095,3.294
1500,constant_mortality,5yearly,2095,15.048
1500,high_variant,5yearly,2095,6.377
1500,instant_replacement,5yearly,2095,11.78
1500,low_variant,5yearly,2095,10.237
1500,medium_variant,5yearly,2095,7.96
1500,momentum,5yearly,2095,16.546
1500,no_change,5yearly,2095,10.197
1500,zero_migration,5yearly,2095,7.963
