global,variant,freq,year,under40mortalityper1000livebirth
900,estimates,5yearly,1950,363.736658867148
900,estimates,5yearly,1955,330.805760497501
900,estimates,5yearly,1960,306.872559425066
900,estimates,5yearly,1965,256.135018457282
900,estimates,5yearly,1970,223.027841882421
900,estimates,5yearly,1975,200.112042513737
900,estimates,5yearly,1980,180.1498778126
900,estimates,5yearly,1985,163.372343630363
900,estimates,5yearly,1990,154.80945063917
900,estimates,5yearly,1995,145.665609336566
900,estimates,5yearly,2000,132.674063168954
900,estimates,5yearly,2005,115.997083057093
900,estimates,5yearly,2010,100.976600243759
900,medium_variant,5yearly,2015,91.3269369500209
900,medium_variant,5yearly,2020,83.2726219710515
900,medium_variant,5yearly,2025,76.4474145852224
900,medium_variant,5yearly,2030,70.3615799955372
900,medium_variant,5yearly,2035,64.5279194559556
900,medium_variant,5yearly,2040,59.3183107295789
900,medium_variant,5yearly,2045,54.5914106400355
900,medium_variant,5yearly,2050,50.3826003412764
900,medium_variant,5yearly,2055,46.7450901908856
900,medium_variant,5yearly,2060,43.4599483268541
900,medium_variant,5yearly,2065,40.4184810347485
900,medium_variant,5yearly,2070,37.7129772326049
900,medium_variant,5yearly,2075,35.191115537112
900,medium_variant,5yearly,2080,33.0228431353505
900,medium_variant,5yearly,2085,31.0472062584584
900,medium_variant,5yearly,2090,29.180485749672
900,medium_variant,5yearly,2095,27.4011998003582
