country,variant,freq,year,lifeexpectancyat80
682,estimates,5yearly,1950,4.9113271
682,estimates,5yearly,1955,4.9868537
682,estimates,5yearly,1960,5.0592081
682,estimates,5yearly,1965,5.1569755
682,estimates,5yearly,1970,5.3218753
682,estimates,5yearly,1975,5.4968479
682,estimates,5yearly,1980,5.6385526
682,estimates,5yearly,1985,5.7692393
682,estimates,5yearly,1990,5.917321
682,estimates,5yearly,1995,6.1130585
682,estimates,5yearly,2000,6.3000621
682,estimates,5yearly,2005,6.4260232
682,estimates,5yearly,2010,6.5492466
682,medium_variant,5yearly,2015,6.7899276
682,medium_variant,5yearly,2020,7.0172807
682,medium_variant,5yearly,2025,7.2331669
682,medium_variant,5yearly,2030,7.43803
682,medium_variant,5yearly,2035,7.6272669
682,medium_variant,5yearly,2040,7.8409749
682,medium_variant,5yearly,2045,8.0808163
682,medium_variant,5yearly,2050,8.3570303
682,medium_variant,5yearly,2055,8.6551837
682,medium_variant,5yearly,2060,8.9727719
682,medium_variant,5yearly,2065,9.2941219
682,medium_variant,5yearly,2070,9.6068431
682,medium_variant,5yearly,2075,9.9092721
682,medium_variant,5yearly,2080,10.204432
682,medium_variant,5yearly,2085,10.485119
682,medium_variant,5yearly,2090,10.7701
682,medium_variant,5yearly,2095,11.051016
682,estimates,5yearly,Regi,Saudi Arabia
682,medium_variant,5yearly,Regi,Saudi Arabia
