country,variant,freq,year,lifeexpectancyat80
254,estimates,5yearly,1950,5.1375717
254,estimates,5yearly,1955,5.233338
254,estimates,5yearly,1960,5.3681487
254,estimates,5yearly,1965,5.57423
254,estimates,5yearly,1970,5.6419483
254,estimates,5yearly,1975,5.6879312
254,estimates,5yearly,1980,5.8923228
254,estimates,5yearly,1985,6.0911224
254,estimates,5yearly,1990,6.3596232
254,estimates,5yearly,1995,6.6826321
254,estimates,5yearly,2000,7.2544732
254,estimates,5yearly,2005,7.7619015
254,estimates,5yearly,2010,8.2268503
254,medium_variant,5yearly,2015,8.7061074
254,medium_variant,5yearly,2020,9.1090515
254,medium_variant,5yearly,2025,9.4980356
254,medium_variant,5yearly,2030,9.8675568
254,medium_variant,5yearly,2035,10.233372
254,medium_variant,5yearly,2040,10.573692
254,medium_variant,5yearly,2045,10.907179
254,medium_variant,5yearly,2050,11.259507
254,medium_variant,5yearly,2055,11.612842
254,medium_variant,5yearly,2060,11.967183
254,medium_variant,5yearly,2065,12.322066
254,medium_variant,5yearly,2070,12.663313
254,medium_variant,5yearly,2075,13.01299
254,medium_variant,5yearly,2080,13.369182
254,medium_variant,5yearly,2085,13.729172
254,medium_variant,5yearly,2090,14.106563
254,medium_variant,5yearly,2095,14.487155
254,estimates,5yearly,Regi,French Guiana
254,medium_variant,5yearly,Regi,French Guiana
