country,variant,freq,year,mortality15to50per1000aliveat15
288,estimates,5yearly,1950,294.141841600535
288,estimates,5yearly,1955,271.151678544517
288,estimates,5yearly,1960,252.110762659187
288,estimates,5yearly,1965,238.120537247869
288,estimates,5yearly,1970,226.694886165037
288,estimates,5yearly,1975,213.978549318479
288,estimates,5yearly,1980,202.214515504864
288,estimates,5yearly,1985,184.032930296547
288,estimates,5yearly,1990,164.623173360416
288,estimates,5yearly,1995,185.429225019613
288,estimates,5yearly,2000,187.714134457182
288,estimates,5yearly,2005,159.931322944396
288,estimates,5yearly,2010,151.823520829622
288,medium_variant,5yearly,2015,138.09386013511
288,medium_variant,5yearly,2020,125.008151764461
288,medium_variant,5yearly,2025,113.649937609437
288,medium_variant,5yearly,2030,105.029343831516
288,medium_variant,5yearly,2035,97.6061037075834
288,medium_variant,5yearly,2040,91.0487061989684
288,medium_variant,5yearly,2045,85.1475238797409
288,medium_variant,5yearly,2050,79.8344865519601
288,medium_variant,5yearly,2055,75.0250662168189
288,medium_variant,5yearly,2060,70.5415590515772
288,medium_variant,5yearly,2065,66.8811647118305
288,medium_variant,5yearly,2070,64.3266804101831
288,medium_variant,5yearly,2075,61.7048314043451
288,medium_variant,5yearly,2080,59.0145036823693
288,medium_variant,5yearly,2085,56.4436824448846
288,medium_variant,5yearly,2090,53.7430321961611
288,medium_variant,5yearly,2095,51.0433954195704
