country,variant,freq,year,mortality15to50per1000aliveat15
12,estimates,5yearly,1950,247.609746771929
12,estimates,5yearly,1955,233.903467747824
12,estimates,5yearly,1960,219.000082658661
12,estimates,5yearly,1965,205.275570340896
12,estimates,5yearly,1970,193.259253782626
12,estimates,5yearly,1975,169.51695650284
12,estimates,5yearly,1980,121.714208857535
12,estimates,5yearly,1985,92.9677189860962
12,estimates,5yearly,1990,85.5204905453697
12,estimates,5yearly,1995,76.0464424807684
12,estimates,5yearly,2000,64.8887923107877
12,estimates,5yearly,2005,53.5938699382777
12,estimates,5yearly,2010,48.7539956383043
12,medium_variant,5yearly,2015,45.0939207953867
12,medium_variant,5yearly,2020,41.0102348000575
12,medium_variant,5yearly,2025,37.1571937756121
12,medium_variant,5yearly,2030,33.5301735715022
12,medium_variant,5yearly,2035,30.1303314810912
12,medium_variant,5yearly,2040,26.9826600418593
12,medium_variant,5yearly,2045,24.1288670052643
12,medium_variant,5yearly,2050,21.426706652057
12,medium_variant,5yearly,2055,18.9670897773361
12,medium_variant,5yearly,2060,16.9070557986546
12,medium_variant,5yearly,2065,15.0895538482129
12,medium_variant,5yearly,2070,13.5412378314897
12,medium_variant,5yearly,2075,12.1220584267534
12,medium_variant,5yearly,2080,10.8163175611334
12,medium_variant,5yearly,2085,9.60461513607735
12,medium_variant,5yearly,2090,8.52474118036151
12,medium_variant,5yearly,2095,7.2438760168414
