country,variant,freq,year,mortality15to50per1000aliveat15
834,estimates,5yearly,1950,303.246685170588
834,estimates,5yearly,1955,287.379488218247
834,estimates,5yearly,1960,276.224958059897
834,estimates,5yearly,1965,263.382477674722
834,estimates,5yearly,1970,248.960896794063
834,estimates,5yearly,1975,232.879409929851
834,estimates,5yearly,1980,231.781378884214
834,estimates,5yearly,1985,246.377325711518
834,estimates,5yearly,1990,293.41896942539
834,estimates,5yearly,1995,334.121941056263
834,estimates,5yearly,2000,329.421641955601
834,estimates,5yearly,2005,255.362892473784
834,estimates,5yearly,2010,191.209442350073
834,medium_variant,5yearly,2015,124.755582051714
834,medium_variant,5yearly,2020,112.907228053276
834,medium_variant,5yearly,2025,102.056294492639
834,medium_variant,5yearly,2030,91.4546994749813
834,medium_variant,5yearly,2035,82.9025689382149
834,medium_variant,5yearly,2040,75.7842421393752
834,medium_variant,5yearly,2045,69.1307066372092
834,medium_variant,5yearly,2050,63.0314285109493
834,medium_variant,5yearly,2055,57.7986370065577
834,medium_variant,5yearly,2060,52.9527582173118
834,medium_variant,5yearly,2065,49.1747827534228
834,medium_variant,5yearly,2070,46.1999283232364
834,medium_variant,5yearly,2075,43.5814077869564
834,medium_variant,5yearly,2080,41.120183446205
834,medium_variant,5yearly,2085,38.7990669252561
834,medium_variant,5yearly,2090,36.5851804005776
834,medium_variant,5yearly,2095,34.4768368350865
834,estimates,5yearly,Regi,United Republic of Tanzania
834,medium_variant,5yearly,Regi,United Republic of Tanzania
