global,year,variant,agebroad,feminityratio_femaleper100male
900,1950,estimates,total,100.405361391655
900,1950,estimates,0_1,96.7068473773478
900,1950,estimates,0_4,96.3511563413933
900,1950,estimates,0_14,95.7193222644066
900,1950,estimates,0_17,95.7482662709192
900,1950,estimates,0_19,95.7993908907704
900,1950,estimates,0_24,96.0524004645476
900,1950,estimates,3_4,95.9352910961734
900,1950,estimates,3_5,95.8278628064182
900,1950,estimates,3_6,95.7319266715555
900,1950,estimates,4_5,95.7067671753103
900,1950,estimates,4_6,95.6147593214499
900,1950,estimates,5_10,95.3074295830211
900,1950,estimates,5_11,95.292122704477
900,1950,estimates,5_14,95.3190465669465
900,1950,estimates,6_9,95.267441359917
900,1950,estimates,6_10,95.2458236443601
900,1950,estimates,6_11,95.2380173590685
900,1950,estimates,6_12,95.2428310992184
900,1950,estimates,7_10,95.2005042505132
900,1950,estimates,7_12,95.2121052064695
900,1950,estimates,11_16,95.4883113650412
900,1950,estimates,11_17,95.5769176155511
900,1950,estimates,11_18,95.6608901261624
900,1950,estimates,12_14,95.3840382533332
900,1950,estimates,12_16,95.5487274366673
900,1950,estimates,12_17,95.6433909049988
900,1950,estimates,12_18,95.731202105916
900,1950,estimates,13_17,95.7225767624247
900,1950,estimates,13_18,95.813582161982
900,1950,estimates,13_19,95.8953879380091
900,1950,estimates,15plus,102.947240007156
900,1950,estimates,15_17,95.9211042411334
900,1950,estimates,15_24,96.6829047090907
900,1950,estimates,15_49,99.6543016495211
900,1950,estimates,15_59,100.522633120237
900,1950,estimates,15_64,101.114746296205
900,1950,estimates,16plus,103.179108062494
900,1950,estimates,17plus,103.412544032849
900,1950,estimates,18plus,103.649250706275
900,1950,estimates,18_23,96.7576856897879
900,1950,estimates,20plus,104.147397277514
900,1950,estimates,20_64,102.07197526162
900,1950,estimates,20_69,102.748105851759
900,1950,estimates,21plus,104.411244672596
900,1950,estimates,25plus,105.463301360348
900,1950,estimates,25_49,101.407257952622
900,1950,estimates,25_64,103.086000117678
900,1950,estimates,25_69,103.853893972131
900,1950,estimates,50plus,114.115176033313
900,1950,estimates,60plus,122.311403314571
900,1950,estimates,65plus,127.594345271378
900,1950,estimates,70plus,133.647309550303
900,1950,estimates,75plus,142.576686368335
900,1950,estimates,80plus,157.183869329735
900,1950,estimates,85plus,177.229920817872
900,1950,estimates,90plus,206.398012004275
900,1955,estimates,total,100.228178708932
900,1955,estimates,0_1,95.4972476276458
900,1955,estimates,0_4,95.8460960794347
