variant,continent,year,gender,childdependencyratio2564
estimates,909,1998,female,78.637
estimates,909,1999,female,77.508
estimates,909,2000,female,76.56
estimates,909,2001,female,75.954
estimates,909,2002,female,75.465
estimates,909,2003,female,75.039
estimates,909,2004,female,74.583
estimates,909,2005,female,74.049
estimates,909,2006,female,73.82
estimates,909,2007,female,73.475
estimates,909,2008,female,73.017
estimates,909,2009,female,72.442
estimates,909,2010,female,71.754
estimates,909,2011,female,71.386
estimates,909,2012,female,70.852
estimates,909,2013,female,70.234
estimates,909,2014,female,69.639
estimates,909,2015,female,69.107
medium_variant,909,2015,female,69.107
medium_variant,909,2016,female,68.798
medium_variant,909,2017,female,68.624
medium_variant,909,2018,female,68.527
medium_variant,909,2019,female,68.415
medium_variant,909,2020,female,68.246
medium_variant,909,2021,female,68.249
medium_variant,909,2022,female,68.172
medium_variant,909,2023,female,68.046
medium_variant,909,2024,female,67.923
medium_variant,909,2025,female,67.825
medium_variant,909,2026,female,67.812
medium_variant,909,2027,female,67.821
medium_variant,909,2028,female,67.818
medium_variant,909,2029,female,67.746
medium_variant,909,2030,female,67.579
medium_variant,909,2031,female,67.484
medium_variant,909,2032,female,67.296
medium_variant,909,2033,female,67.028
medium_variant,909,2034,female,66.704
medium_variant,909,2035,female,66.342
medium_variant,909,2036,female,66.064
medium_variant,909,2037,female,65.741
medium_variant,909,2038,female,65.388
medium_variant,909,2039,female,65.017
medium_variant,909,2040,female,64.637
medium_variant,909,2041,female,64.379
medium_variant,909,2042,female,64.112
medium_variant,909,2043,female,63.825
medium_variant,909,2044,female,63.499
medium_variant,909,2045,female,63.126
medium_variant,909,2046,female,62.834
medium_variant,909,2047,female,62.494
medium_variant,909,2048,female,62.133
medium_variant,909,2049,female,61.782
medium_variant,909,2050,female,61.458
medium_variant,909,2051,female,61.246
medium_variant,909,2052,female,61.055
medium_variant,909,2053,female,60.876
medium_variant,909,2054,female,60.693
medium_variant,909,2055,female,60.494
medium_variant,909,2056,female,60.369
medium_variant,909,2057,female,60.231
medium_variant,909,2058,female,60.077
medium_variant,909,2059,female,59.904
medium_variant,909,2060,female,59.711
medium_variant,909,2061,female,59.581
medium_variant,909,2062,female,59.427
medium_variant,909,2063,female,59.248
medium_variant,909,2064,female,59.038
medium_variant,909,2065,female,58.796
medium_variant,909,2066,female,58.601
medium_variant,909,2067,female,58.374
medium_variant,909,2068,female,58.119
medium_variant,909,2069,female,57.839
medium_variant,909,2070,female,57.54
medium_variant,909,2071,female,57.298
medium_variant,909,2072,female,57.035
medium_variant,909,2073,female,56.76
medium_variant,909,2074,female,56.485
medium_variant,909,2075,female,56.215
medium_variant,909,2076,female,56.018
medium_variant,909,2077,female,55.826
medium_variant,909,2078,female,55.635
medium_variant,909,2079,female,55.44
medium_variant,909,2080,female,55.238
medium_variant,909,2081,female,55.095
medium_variant,909,2082,female,54.942
medium_variant,909,2083,female,54.785
medium_variant,909,2084,female,54.627
medium_variant,909,2085,female,54.473
medium_variant,909,2086,female,54.376
medium_variant,909,2087,female,54.279
medium_variant,909,2088,female,54.178
medium_variant,909,2089,female,54.07
medium_variant,909,2090,female,53.95
medium_variant,909,2091,female,53.874
medium_variant,909,2092,female,53.784
medium_variant,909,2093,female,53.682
medium_variant,909,2094,female,53.567
medium_variant,909,2095,female,53.44
medium_variant,909,2096,female,53.352
medium_variant,909,2097,female,53.25
medium_variant,909,2098,female,53.135
medium_variant,909,2099,female,53.007
medium_variant,909,2100,female,52.868
