variant,region,year,gender,dependencyratio2064
estimates,5501,1950,male,104.096
estimates,5501,1951,male,104.82
estimates,5501,1952,male,105.806
estimates,5501,1953,male,106.588
estimates,5501,1954,male,107.011
estimates,5501,1955,male,107.157
estimates,5501,1956,male,108.473
estimates,5501,1957,male,109.186
estimates,5501,1958,male,109.665
estimates,5501,1959,male,110.227
estimates,5501,1960,male,110.978
estimates,5501,1961,male,112.135
estimates,5501,1962,male,113.439
estimates,5501,1963,male,114.774
estimates,5501,1964,male,115.95
estimates,5501,1965,male,116.892
estimates,5501,1966,male,118.475
estimates,5501,1967,male,119.751
estimates,5501,1968,male,120.69
estimates,5501,1969,male,121.26
estimates,5501,1970,male,121.437
estimates,5501,1971,male,121.723
estimates,5501,1972,male,121.578
estimates,5501,1973,male,121.125
estimates,5501,1974,male,120.499
estimates,5501,1975,male,119.798
estimates,5501,1976,male,119.791
estimates,5501,1977,male,119.546
estimates,5501,1978,male,119.113
estimates,5501,1979,male,118.539
estimates,5501,1980,male,117.863
estimates,5501,1981,male,117.708
estimates,5501,1982,male,117.421
estimates,5501,1983,male,117.013
estimates,5501,1984,male,116.465
estimates,5501,1985,male,115.777
estimates,5501,1986,male,115.661
estimates,5501,1987,male,115.272
estimates,5501,1988,male,114.681
estimates,5501,1989,male,113.957
estimates,5501,1990,male,113.127
estimates,5501,1991,male,112.53
estimates,5501,1992,male,111.792
estimates,5501,1993,male,110.922
estimates,5501,1994,male,109.919
estimates,5501,1995,male,108.791
estimates,5501,1996,male,107.875
estimates,5501,1997,male,106.843
estimates,5501,1998,male,105.67
estimates,5501,1999,male,104.326
estimates,5501,2000,male,102.806
estimates,5501,2001,male,101.445
estimates,5501,2002,male,99.9
estimates,5501,2003,male,98.223
estimates,5501,2004,male,96.478
estimates,5501,2005,male,94.708
estimates,5501,2006,male,93.251
estimates,5501,2007,male,91.778
estimates,5501,2008,male,90.31
estimates,5501,2009,male,88.845
estimates,5501,2010,male,87.378
estimates,5501,2011,male,86.051
estimates,5501,2012,male,84.66
estimates,5501,2013,male,83.262
estimates,5501,2014,male,81.928
estimates,5501,2015,male,80.692
medium_variant,5501,2015,male,80.692
medium_variant,5501,2016,male,79.573
medium_variant,5501,2017,male,78.577
medium_variant,5501,2018,male,77.65
medium_variant,5501,2019,male,76.717
medium_variant,5501,2020,male,75.747
medium_variant,5501,2021,male,74.981
medium_variant,5501,2022,male,74.132
medium_variant,5501,2023,male,73.243
medium_variant,5501,2024,male,72.37
medium_variant,5501,2025,male,71.536
