variant,country,year,totalsurvivors_under_one_yearage
Estimates,422,1950,50.708
Estimates,422,1951,51.423
Estimates,422,1952,52.878
Estimates,422,1953,54.38
Estimates,422,1954,55.931
Estimates,422,1955,57.526
Estimates,422,1956,59.154
Estimates,422,1957,60.804
Estimates,422,1958,62.447
Estimates,422,1959,64.036
Estimates,422,1960,65.518
Estimates,422,1961,66.84
Estimates,422,1962,67.951
Estimates,422,1963,68.829
Estimates,422,1964,69.479
Estimates,422,1965,69.943
Estimates,422,1966,70.282
Estimates,422,1967,70.582
Estimates,422,1968,70.91
Estimates,422,1969,71.301
Estimates,422,1970,71.785
Estimates,422,1971,72.375
Estimates,422,1972,73.03
Estimates,422,1973,73.699
Estimates,422,1974,74.346
Estimates,422,1975,74.921
Estimates,422,1976,75.374
Estimates,422,1977,75.667
Estimates,422,1978,75.769
Estimates,422,1979,75.66
Estimates,422,1980,75.31
Estimates,422,1981,74.698
Estimates,422,1982,73.861
Estimates,422,1983,72.852
Estimates,422,1984,71.724
Estimates,422,1985,70.552
Estimates,422,1986,69.414
Estimates,422,1987,68.367
Estimates,422,1988,67.456
Estimates,422,1989,66.707
Estimates,422,1990,66.132
Estimates,422,1991,65.726
Estimates,422,1992,65.428
Estimates,422,1993,65.175
Estimates,422,1994,64.921
Estimates,422,1995,64.609
Estimates,422,1996,64.187
Estimates,422,1997,63.634
Estimates,422,1998,62.935
Estimates,422,1999,62.086
Estimates,422,2000,61.005
Estimates,422,2001,59.594
Estimates,422,2002,57.908
Estimates,422,2003,56.096
Estimates,422,2004,54.363
Estimates,422,2005,53.082
Estimates,422,2006,52.68
Estimates,422,2007,53.398
Estimates,422,2008,55.325
Estimates,422,2009,58.41
Estimates,422,2010,62.486
Estimates,422,2011,67.267
Estimates,422,2012,72.285
Estimates,422,2013,77.094
Estimates,422,2014,81.387
Estimates,422,2015,84.89
Medium_variant,422,2015,84.89
Medium_variant,422,2016,87.441
Medium_variant,422,2017,89.104
Medium_variant,422,2018,89.957
Medium_variant,422,2019,90.014
Medium_variant,422,2020,89.309
Medium_variant,422,2021,87.918
Medium_variant,422,2022,86.003
Medium_variant,422,2023,83.745
Medium_variant,422,2024,81.278
Medium_variant,422,2025,78.724
Medium_variant,422,2026,76.162
Medium_variant,422,2027,73.619
Medium_variant,422,2028,71.134
Medium_variant,422,2029,68.773
Medium_variant,422,2030,66.577
Medium_variant,422,2031,64.559
Medium_variant,422,2032,62.692
Medium_variant,422,2033,60.959
Medium_variant,422,2034,59.372
Medium_variant,422,2035,57.945
Medium_variant,422,2036,56.688
Medium_variant,422,2037,55.601
Medium_variant,422,2038,54.681
Medium_variant,422,2039,53.929
Medium_variant,422,2040,53.351
Medium_variant,422,2041,52.95
Medium_variant,422,2042,52.718
Medium_variant,422,2043,52.634
Medium_variant,422,2044,52.675
Medium_variant,422,2045,52.821
Medium_variant,422,2046,53.054
Medium_variant,422,2047,53.35
Medium_variant,422,2048,53.679
Medium_variant,422,2049,54.007
Medium_variant,422,2050,54.306
Medium_variant,422,2051,54.554
Medium_variant,422,2052,54.744
Medium_variant,422,2053,54.865
Medium_variant,422,2054,54.9
Medium_variant,422,2055,54.832
Medium_variant,422,2056,54.649
Medium_variant,422,2057,54.357
Medium_variant,422,2058,53.967
Medium_variant,422,2059,53.488
Medium_variant,422,2060,52.926
Medium_variant,422,2061,52.288
Medium_variant,422,2062,51.59
Medium_variant,422,2063,50.856
Medium_variant,422,2064,50.108
Medium_variant,422,2065,49.369
Medium_variant,422,2066,48.655
Medium_variant,422,2067,47.976
Medium_variant,422,2068,47.346
Medium_variant,422,2069,46.78
Medium_variant,422,2070,46.29
Medium_variant,422,2071,45.886
Medium_variant,422,2072,45.563
Medium_variant,422,2073,45.312
Medium_variant,422,2074,45.13
Medium_variant,422,2075,45.015
Medium_variant,422,2076,44.963
Medium_variant,422,2077,44.962
Medium_variant,422,2078,44.997
Medium_variant,422,2079,45.054
Medium_variant,422,2080,45.119
Medium_variant,422,2081,45.18
Medium_variant,422,2082,45.229
Medium_variant,422,2083,45.258
Medium_variant,422,2084,45.254
Medium_variant,422,2085,45.211
Medium_variant,422,2086,45.118
Medium_variant,422,2087,44.981
Medium_variant,422,2088,44.802
Medium_variant,422,2089,44.581
Medium_variant,422,2090,44.322
Medium_variant,422,2091,44.027
Medium_variant,422,2092,43.703
Medium_variant,422,2093,43.354
Medium_variant,422,2094,42.982
Medium_variant,422,2095,42.591
Medium_variant,422,2096,42.181
Medium_variant,422,2097,41.752
Medium_variant,422,2098,41.306
Medium_variant,422,2099,40.842
