variant,country,year,totalsurvivors_under_one_yearage
estimates,288,1950,188.133
estimates,288,1951,191.647
estimates,288,1952,198.913
estimates,288,1953,206.633
estimates,288,1954,214.81
estimates,288,1955,223.442
estimates,288,1956,232.515
estimates,288,1957,241.998
estimates,288,1958,251.836
estimates,288,1959,261.94
estimates,288,1960,272.191
estimates,288,1961,282.458
estimates,288,1962,292.591
estimates,288,1963,302.455
estimates,288,1964,311.948
estimates,288,1965,321.005
estimates,288,1966,329.604
estimates,288,1967,337.816
estimates,288,1968,345.708
estimates,288,1969,353.3
estimates,288,1970,360.577
estimates,288,1971,367.5
estimates,288,1972,374.103
estimates,288,1973,380.465
estimates,288,1974,386.697
estimates,288,1975,392.934
estimates,288,1976,399.311
estimates,288,1977,405.945
estimates,288,1978,412.948
estimates,288,1979,420.411
estimates,288,1980,428.449
estimates,288,1981,437.145
estimates,288,1982,446.438
estimates,288,1983,456.219
estimates,288,1984,466.385
estimates,288,1985,476.812
estimates,288,1986,487.363
estimates,288,1987,497.879
estimates,288,1988,508.195
estimates,288,1989,518.164
estimates,288,1990,527.527
estimates,288,1991,536.034
estimates,288,1992,543.72
estimates,288,1993,550.765
estimates,288,1994,557.418
estimates,288,1995,564.118
estimates,288,1996,571.383
estimates,288,1997,579.646
estimates,288,1998,589.209
estimates,288,1999,600.207
estimates,288,2000,612.561
estimates,288,2001,625.997
estimates,288,2002,640.094
estimates,288,2003,654.537
estimates,288,2004,669.254
estimates,288,2005,684.559
estimates,288,2006,700.958
estimates,288,2007,718.666
estimates,288,2008,737.542
estimates,288,2009,757.097
estimates,288,2010,776.42
estimates,288,2011,794.415
estimates,288,2012,810.205
estimates,288,2013,823.218
estimates,288,2014,833.268
estimates,288,2015,840.479
medium_variant,288,2015,840.479
medium_variant,288,2016,845.331
medium_variant,288,2017,848.786
medium_variant,288,2018,851.724
medium_variant,288,2019,854.639
medium_variant,288,2020,857.88
medium_variant,288,2021,861.584
medium_variant,288,2022,865.616
medium_variant,288,2023,869.908
medium_variant,288,2024,874.581
medium_variant,288,2025,879.751
medium_variant,288,2026,885.491
medium_variant,288,2027,891.773
medium_variant,288,2028,898.552
medium_variant,288,2029,905.804
medium_variant,288,2030,913.515
medium_variant,288,2031,921.663
medium_variant,288,2032,930.158
medium_variant,288,2033,938.876
medium_variant,288,2034,947.695
medium_variant,288,2035,956.51
medium_variant,288,2036,965.241
medium_variant,288,2037,973.816
medium_variant,288,2038,982.139
medium_variant,288,2039,990.094
medium_variant,288,2040,997.578
medium_variant,288,2041,1004.515
medium_variant,288,2042,1010.898
medium_variant,288,2043,1016.716
medium_variant,288,2044,1021.942
medium_variant,288,2045,1026.54
medium_variant,288,2046,1030.483
medium_variant,288,2047,1033.824
medium_variant,288,2048,1036.635
medium_variant,288,2049,1038.99
medium_variant,288,2050,1040.959
medium_variant,288,2051,1042.609
medium_variant,288,2052,1044.017
medium_variant,288,2053,1045.27
medium_variant,288,2054,1046.462
medium_variant,288,2055,1047.667
medium_variant,288,2056,1048.941
medium_variant,288,2057,1050.281
medium_variant,288,2058,1051.695
medium_variant,288,2059,1053.204
medium_variant,288,2060,1054.847
medium_variant,288,2061,1056.648
medium_variant,288,2062,1058.576
medium_variant,288,2063,1060.574
medium_variant,288,2064,1062.585
medium_variant,288,2065,1064.545
medium_variant,288,2066,1066.384
medium_variant,288,2067,1068.035
medium_variant,288,2068,1069.425
medium_variant,288,2069,1070.489
medium_variant,288,2070,1071.166
medium_variant,288,2071,1071.419
medium_variant,288,2072,1071.266
medium_variant,288,2073,1070.729
medium_variant,288,2074,1069.822
medium_variant,288,2075,1068.559
medium_variant,288,2076,1066.963
medium_variant,288,2077,1065.075
medium_variant,288,2078,1062.951
medium_variant,288,2079,1060.633
medium_variant,288,2080,1058.159
medium_variant,288,2081,1055.548
medium_variant,288,2082,1052.816
medium_variant,288,2083,1049.98
medium_variant,288,2084,1047.074
medium_variant,288,2085,1044.119
medium_variant,288,2086,1041.124
medium_variant,288,2087,1038.091
medium_variant,288,2088,1035.034
medium_variant,288,2089,1031.977
medium_variant,288,2090,1028.943
medium_variant,288,2091,1025.949
medium_variant,288,2092,1023.011
medium_variant,288,2093,1020.137
medium_variant,288,2094,1017.335
medium_variant,288,2095,1014.609
medium_variant,288,2096,1011.962
medium_variant,288,2097,1009.396
medium_variant,288,2098,1006.909
medium_variant,288,2099,1004.502
