variant,country,year,totalsurvivors_under_one_yearage
Estimates,800,1950,227.624
Estimates,800,1951,229.993
Estimates,800,1952,234.963
Estimates,800,1953,240.385
Estimates,800,1954,246.265
Estimates,800,1955,252.609
Estimates,800,1956,259.435
Estimates,800,1957,266.755
Estimates,800,1958,274.594
Estimates,800,1959,283
Estimates,800,1960,292.015
Estimates,800,1961,301.675
Estimates,800,1962,311.996
Estimates,800,1963,322.953
Estimates,800,1964,334.463
Estimates,800,1965,346.378
Estimates,800,1966,358.516
Estimates,800,1967,370.735
Estimates,800,1968,382.939
Estimates,800,1969,395.091
Estimates,800,1970,407.19
Estimates,800,1971,419.291
Estimates,800,1972,431.554
Estimates,800,1973,444.146
Estimates,800,1974,457.179
Estimates,800,1975,470.738
Estimates,800,1976,484.864
Estimates,800,1977,499.571
Estimates,800,1978,514.899
Estimates,800,1979,530.933
Estimates,800,1980,547.734
Estimates,800,1981,565.345
Estimates,800,1982,583.777
Estimates,800,1983,603.057
Estimates,800,1984,623.234
Estimates,800,1985,644.457
Estimates,800,1986,666.897
Estimates,800,1987,690.567
Estimates,800,1988,715.385
Estimates,800,1989,741.212
Estimates,800,1990,767.735
Estimates,800,1991,794.567
Estimates,800,1992,821.439
Estimates,800,1993,848.215
Estimates,800,1994,874.917
Estimates,800,1995,901.795
Estimates,800,1996,929.269
Estimates,800,1997,957.795
Estimates,800,1998,987.682
Estimates,800,1999,1019
Estimates,800,2000,1051.711
Estimates,800,2001,1085.637
Estimates,800,2002,1120.38
Estimates,800,2003,1155.534
Estimates,800,2004,1190.821
Estimates,800,2005,1225.935
Estimates,800,2006,1260.643
Estimates,800,2007,1294.951
Estimates,800,2008,1328.925
Estimates,800,2009,1362.609
Estimates,800,2010,1396.155
Estimates,800,2011,1429.779
Estimates,800,2012,1463.705
Estimates,800,2013,1498.097
Estimates,800,2014,1533.014
Estimates,800,2015,1568.448
Medium_variant,800,2015,1568.448
Medium_variant,800,2016,1604.306
Medium_variant,800,2017,1640.397
Medium_variant,800,2018,1676.567
Medium_variant,800,2019,1712.747
Medium_variant,800,2020,1748.943
Medium_variant,800,2021,1785.214
Medium_variant,800,2022,1821.608
Medium_variant,800,2023,1858.12
Medium_variant,800,2024,1894.682
Medium_variant,800,2025,1931.215
Medium_variant,800,2026,1967.624
Medium_variant,800,2027,2003.789
Medium_variant,800,2028,2039.576
Medium_variant,800,2029,2074.873
Medium_variant,800,2030,2109.598
Medium_variant,800,2031,2143.714
Medium_variant,800,2032,2177.235
Medium_variant,800,2033,2210.149
Medium_variant,800,2034,2242.409
Medium_variant,800,2035,2273.931
Medium_variant,800,2036,2304.638
Medium_variant,800,2037,2334.521
Medium_variant,800,2038,2363.609
Medium_variant,800,2039,2391.951
Medium_variant,800,2040,2419.628
Medium_variant,800,2041,2446.747
Medium_variant,800,2042,2473.415
Medium_variant,800,2043,2499.723
Medium_variant,800,2044,2525.722
Medium_variant,800,2045,2551.453
Medium_variant,800,2046,2576.914
Medium_variant,800,2047,2602.038
Medium_variant,800,2048,2626.748
Medium_variant,800,2049,2650.997
Medium_variant,800,2050,2674.736
Medium_variant,800,2051,2697.923
Medium_variant,800,2052,2720.517
Medium_variant,800,2053,2742.482
Medium_variant,800,2054,2763.776
Medium_variant,800,2055,2784.397
Medium_variant,800,2056,2804.373
Medium_variant,800,2057,2823.71
Medium_variant,800,2058,2842.38
Medium_variant,800,2059,2860.317
Medium_variant,800,2060,2877.377
Medium_variant,800,2061,2893.391
Medium_variant,800,2062,2908.285
Medium_variant,800,2063,2922.059
Medium_variant,800,2064,2934.77
Medium_variant,800,2065,2946.611
Medium_variant,800,2066,2957.835
Medium_variant,800,2067,2968.651
Medium_variant,800,2068,2979.169
Medium_variant,800,2069,2989.385
Medium_variant,800,2070,2999.133
Medium_variant,800,2071,3008.144
Medium_variant,800,2072,3016.158
Medium_variant,800,2073,3023.024
Medium_variant,800,2074,3028.748
Medium_variant,800,2075,3033.455
Medium_variant,800,2076,3037.359
Medium_variant,800,2077,3040.738
Medium_variant,800,2078,3043.809
Medium_variant,800,2079,3046.662
Medium_variant,800,2080,3049.334
Medium_variant,800,2081,3051.79
Medium_variant,800,2082,3053.875
Medium_variant,800,2083,3055.436
Medium_variant,800,2084,3056.396
Medium_variant,800,2085,3056.659
Medium_variant,800,2086,3056.144
Medium_variant,800,2087,3054.833
Medium_variant,800,2088,3052.729
Medium_variant,800,2089,3049.846
Medium_variant,800,2090,3046.228
Medium_variant,800,2091,3041.941
Medium_variant,800,2092,3037.055
Medium_variant,800,2093,3031.634
Medium_variant,800,2094,3025.732
Medium_variant,800,2095,3019.382
Medium_variant,800,2096,3012.604
Medium_variant,800,2097,3005.406
Medium_variant,800,2098,2997.793
Medium_variant,800,2099,2989.764
