variant,country,year,totalsurvivors_under_one_yearage
Estimates,887,1950,160.484
Estimates,887,1951,161.826
Estimates,887,1952,164.571
Estimates,887,1953,167.432
Estimates,887,1954,170.406
Estimates,887,1955,173.495
Estimates,887,1956,176.719
Estimates,887,1957,180.1
Estimates,887,1958,183.696
Estimates,887,1959,187.614
Estimates,887,1960,191.979
Estimates,887,1961,196.925
Estimates,887,1962,202.57
Estimates,887,1963,208.973
Estimates,887,1964,216.104
Estimates,887,1965,223.765
Estimates,887,1966,231.659
Estimates,887,1967,239.544
Estimates,887,1968,247.288
Estimates,887,1969,254.916
Estimates,887,1970,262.61
Estimates,887,1971,270.685
Estimates,887,1972,279.518
Estimates,887,1973,289.41
Estimates,887,1974,300.491
Estimates,887,1975,312.801
Estimates,887,1976,326.259
Estimates,887,1977,340.631
Estimates,887,1978,355.702
Estimates,887,1979,371.373
Estimates,887,1980,387.599
Estimates,887,1981,404.389
Estimates,887,1982,421.77
Estimates,887,1983,439.72
Estimates,887,1984,458.149
Estimates,887,1985,477.203
Estimates,887,1986,497.111
Estimates,887,1987,517.763
Estimates,887,1988,538.778
Estimates,887,1989,559.581
Estimates,887,1990,579.11
Estimates,887,1991,596.17
Estimates,887,1992,610.089
Estimates,887,1993,620.628
Estimates,887,1994,627.94
Estimates,887,1995,632.612
Estimates,887,1996,635.595
Estimates,887,1997,638.193
Estimates,887,1998,641.546
Estimates,887,1999,646.316
Estimates,887,2000,653.018
Estimates,887,2001,661.825
Estimates,887,2002,672.24
Estimates,887,2003,683.743
Estimates,887,2004,696.072
Estimates,887,2005,708.894
Estimates,887,2006,721.849
Estimates,887,2007,734.605
Estimates,887,2008,746.853
Estimates,887,2009,758.36
Estimates,887,2010,769.03
Estimates,887,2011,778.918
Estimates,887,2012,788.198
Estimates,887,2013,796.951
Estimates,887,2014,805.102
Estimates,887,2015,812.477
Medium_variant,887,2015,812.477
Medium_variant,887,2016,818.866
Medium_variant,887,2017,824.145
Medium_variant,887,2018,828.275
Medium_variant,887,2019,831.294
Medium_variant,887,2020,833.3
Medium_variant,887,2021,834.447
Medium_variant,887,2022,834.97
Medium_variant,887,2023,835.1
Medium_variant,887,2024,834.996
Medium_variant,887,2025,834.791
Medium_variant,887,2026,834.559
Medium_variant,887,2027,834.259
Medium_variant,887,2028,833.855
Medium_variant,887,2029,833.352
Medium_variant,887,2030,832.728
Medium_variant,887,2031,831.936
Medium_variant,887,2032,830.912
Medium_variant,887,2033,829.615
Medium_variant,887,2034,828.028
Medium_variant,887,2035,826.168
Medium_variant,887,2036,824.068
Medium_variant,887,2037,821.768
Medium_variant,887,2038,819.285
Medium_variant,887,2039,816.61
Medium_variant,887,2040,813.723
Medium_variant,887,2041,810.589
Medium_variant,887,2042,807.164
Medium_variant,887,2043,803.41
Medium_variant,887,2044,799.302
Medium_variant,887,2045,794.806
Medium_variant,887,2046,789.896
Medium_variant,887,2047,784.587
Medium_variant,887,2048,778.913
Medium_variant,887,2049,772.907
Medium_variant,887,2050,766.602
Medium_variant,887,2051,760.029
Medium_variant,887,2052,753.241
Medium_variant,887,2053,746.303
Medium_variant,887,2054,739.28
Medium_variant,887,2055,732.228
Medium_variant,887,2056,725.188
Medium_variant,887,2057,718.178
Medium_variant,887,2058,711.22
Medium_variant,887,2059,704.351
Medium_variant,887,2060,697.587
Medium_variant,887,2061,690.923
Medium_variant,887,2062,684.353
Medium_variant,887,2063,677.879
Medium_variant,887,2064,671.526
Medium_variant,887,2065,665.344
Medium_variant,887,2066,659.384
Medium_variant,887,2067,653.67
Medium_variant,887,2068,648.201
Medium_variant,887,2069,642.963
Medium_variant,887,2070,637.91
Medium_variant,887,2071,632.981
Medium_variant,887,2072,628.113
Medium_variant,887,2073,623.257
Medium_variant,887,2074,618.39
Medium_variant,887,2075,613.514
Medium_variant,887,2076,608.647
Medium_variant,887,2077,603.838
Medium_variant,887,2078,599.121
Medium_variant,887,2079,594.507
Medium_variant,887,2080,590.003
Medium_variant,887,2081,585.609
Medium_variant,887,2082,581.31
Medium_variant,887,2083,577.088
Medium_variant,887,2084,572.935
Medium_variant,887,2085,568.83
Medium_variant,887,2086,564.758
Medium_variant,887,2087,560.71
Medium_variant,887,2088,556.688
Medium_variant,887,2089,552.7
Medium_variant,887,2090,548.76
Medium_variant,887,2091,544.888
Medium_variant,887,2092,541.104
Medium_variant,887,2093,537.426
Medium_variant,887,2094,533.869
Medium_variant,887,2095,530.441
Medium_variant,887,2096,527.148
Medium_variant,887,2097,523.993
Medium_variant,887,2098,520.977
Medium_variant,887,2099,518.1
