region,year,variant,gender,freq,agebroad,totaldeaths
5500,1950,estimates,female,5yearly,0_4,241.349
5500,1950,estimates,male,5yearly,0_4,298.458
5500,1950,estimates,female,5yearly,0_14,258.636
5500,1950,estimates,male,5yearly,0_14,320.084
5500,1950,estimates,female,5yearly,0_19,267.026
5500,1950,estimates,male,5yearly,0_19,332.214
5500,1950,estimates,female,5yearly,0_24,277.583
5500,1950,estimates,male,5yearly,0_24,349.18
5500,1950,estimates,female,5yearly,5_14,17.287
5500,1950,estimates,male,5yearly,5_14,21.626
5500,1950,estimates,female,5yearly,15plus,342.844
5500,1950,estimates,male,5yearly,15plus,512.512
5500,1950,estimates,female,5yearly,15_24,18.947
5500,1950,estimates,male,5yearly,15_24,29.096
5500,1950,estimates,female,5yearly,15_49,76.511
5500,1950,estimates,male,5yearly,15_49,125.474
5500,1950,estimates,female,5yearly,15_59,123.349
5500,1950,estimates,male,5yearly,15_59,215.798
5500,1950,estimates,female,5yearly,15_64,154.865
5500,1950,estimates,male,5yearly,15_64,278.388
5500,1950,estimates,female,5yearly,20plus,334.454
5500,1950,estimates,male,5yearly,20plus,500.382
5500,1950,estimates,female,5yearly,20_64,146.475
5500,1950,estimates,male,5yearly,20_64,266.258
5500,1950,estimates,female,5yearly,20_69,187.716
5500,1950,estimates,male,5yearly,20_69,336.812
5500,1950,estimates,female,5yearly,25plus,323.897
5500,1950,estimates,male,5yearly,25plus,483.416
5500,1950,estimates,female,5yearly,25_69,177.159
5500,1950,estimates,male,5yearly,25_69,319.846
5500,1950,estimates,female,5yearly,40plus,296.671
5500,1950,estimates,male,5yearly,40plus,439.921
5500,1950,estimates,female,5yearly,50plus,266.333
5500,1950,estimates,male,5yearly,50plus,387.038
5500,1950,estimates,female,5yearly,60plus,219.495
5500,1950,estimates,male,5yearly,60plus,296.714
5500,1950,estimates,female,5yearly,65plus,187.979
5500,1950,estimates,male,5yearly,65plus,234.124
5500,1950,estimates,female,5yearly,70plus,146.738
5500,1950,estimates,male,5yearly,70plus,163.57
5500,1950,estimates,female,5yearly,80plus,57.387
5500,1950,estimates,male,5yearly,80plus,49.818
5500,1950,estimates,female,5yearly,90plus,10.675
5500,1950,estimates,male,5yearly,90plus,6.55
5500,1955,estimates,female,5yearly,0_4,295.627
5500,1955,estimates,male,5yearly,0_4,364.735
5500,1955,estimates,female,5yearly,0_14,314.315
5500,1955,estimates,male,5yearly,0_14,387.649
5500,1955,estimates,female,5yearly,0_19,321.847
5500,1955,estimates,male,5yearly,0_19,399.139
5500,1955,estimates,female,5yearly,0_24,332.227
5500,1955,estimates,male,5yearly,0_24,416.967
5500,1955,estimates,female,5yearly,5_14,18.688
5500,1955,estimates,male,5yearly,5_14,22.914
5500,1955,estimates,female,5yearly,15plus,372.58
5500,1955,estimates,male,5yearly,15plus,517.827
5500,1955,estimates,female,5yearly,15_24,17.912
5500,1955,estimates,male,5yearly,15_24,29.318
5500,1955,estimates,female,5yearly,15_49,74.286
5500,1955,estimates,male,5yearly,15_49,130.59
5500,1955,estimates,female,5yearly,15_59,127.143
5500,1955,estimates,male,5yearly,15_59,216.872
5500,1955,estimates,female,5yearly,15_64,161.092
5500,1955,estimates,male,5yearly,15_64,272.605
5500,1955,estimates,female,5yearly,20plus,365.048
5500,1955,estimates,male,5yearly,20plus,506.337
5500,1955,estimates,female,5yearly,20_64,153.56
5500,1955,estimates,male,5yearly,20_64,261.115
5500,1955,estimates,female,5yearly,20_69,195.682
5500,1955,estimates,male,5yearly,20_69,326.864
5500,1955,estimates,female,5yearly,25plus,354.668
5500,1955,estimates,male,5yearly,25plus,488.509
5500,1955,estimates,female,5yearly,25_69,185.302
5500,1955,estimates,male,5yearly,25_69,309.036
5500,1955,estimates,female,5yearly,40plus,325.653
5500,1955,estimates,male,5yearly,40plus,434.371
5500,1955,estimates,female,5yearly,50plus,298.294
5500,1955,estimates,male,5yearly,50plus,387.237
5500,1955,estimates,female,5yearly,60plus,245.437
5500,1955,estimates,male,5yearly,60plus,300.955
5500,1955,estimates,female,5yearly,65plus,211.488
5500,1955,estimates,male,5yearly,65plus,245.222
5500,1955,estimates,female,5yearly,70plus,169.366
5500,1955,estimates,male,5yearly,70plus,179.473
5500,1955,estimates,female,5yearly,80plus,68.518
5500,1955,estimates,male,5yearly,80plus,56.973
5500,1955,estimates,female,5yearly,90plus,11.867
5500,1955,estimates,male,5yearly,90plus,7.33
5500,1960,estimates,female,5yearly,0_4,322.418
5500,1960,estimates,male,5yearly,0_4,397.977
5500,1960,estimates,female,5yearly,0_14,345.562
5500,1960,estimates,male,5yearly,0_14,426.804
5500,1960,estimates,female,5yearly,0_19,351.48
5500,1960,estimates,male,5yearly,0_19,436.341
5500,1960,estimates,female,5yearly,0_24,360.367
5500,1960,estimates,male,5yearly,0_24,453.339
5500,1960,estimates,female,5yearly,5_14,23.144
5500,1960,estimates,male,5yearly,5_14,28.827
5500,1960,estimates,female,5yearly,15plus,404.145
5500,1960,estimates,male,5yearly,15plus,526.689
5500,1960,estimates,female,5yearly,15_24,14.805
5500,1960,estimates,male,5yearly,15_24,26.535
5500,1960,estimates,female,5yearly,15_49,71.106
5500,1960,estimates,male,5yearly,15_49,137.622
5500,1960,estimates,female,5yearly,15_59,123.819
5500,1960,estimates,male,5yearly,15_59,219.818
5500,1960,estimates,female,5yearly,15_64,165.502
5500,1960,estimates,male,5yearly,15_64,274.909
5500,1960,estimates,female,5yearly,20plus,398.227
5500,1960,estimates,male,5yearly,20plus,517.152
5500,1960,estimates,female,5yearly,20_64,159.584
5500,1960,estimates,male,5yearly,20_64,265.372
5500,1960,estimates,female,5yearly,20_69,205.012
5500,1960,estimates,male,5yearly,20_69,325.431
5500,1960,estimates,female,5yearly,25plus,389.34
5500,1960,estimates,male,5yearly,25plus,500.154
5500,1960,estimates,female,5yearly,25_69,196.125
5500,1960,estimates,male,5yearly,25_69,308.433
5500,1960,estimates,female,5yearly,40plus,358.09
5500,1960,estimates,male,5yearly,40plus,432.014
5500,1960,estimates,female,5yearly,50plus,333.039
5500,1960,estimates,male,5yearly,50plus,389.067
5500,1960,estimates,female,5yearly,60plus,280.326
5500,1960,estimates,male,5yearly,60plus,306.871
5500,1960,estimates,female,5yearly,65plus,238.643
