continent,year,variant,gender,freq,agebroad,totaldeaths
935,1950,estimates,female,5yearly,0_4,33887.874
935,1950,estimates,male,5yearly,0_4,37167.546
935,1950,estimates,female,5yearly,0_14,38623.843
935,1950,estimates,male,5yearly,0_14,42288.647
935,1950,estimates,female,5yearly,0_19,40516.144
935,1950,estimates,male,5yearly,0_19,44476.336
935,1950,estimates,female,5yearly,0_24,42640.232
935,1950,estimates,male,5yearly,0_24,46892.418
935,1950,estimates,female,5yearly,5_14,4735.969
935,1950,estimates,male,5yearly,5_14,5121.101
935,1950,estimates,female,5yearly,15plus,40635.327
935,1950,estimates,male,5yearly,15plus,44592.143
935,1950,estimates,female,5yearly,15_24,4016.389
935,1950,estimates,male,5yearly,15_24,4603.771
935,1950,estimates,female,5yearly,15_49,16268.505
935,1950,estimates,male,5yearly,15_49,17887.263
935,1950,estimates,female,5yearly,15_59,21895.696
935,1950,estimates,male,5yearly,15_59,25603.037
935,1950,estimates,female,5yearly,15_64,25722.291
935,1950,estimates,male,5yearly,15_64,30271.432
935,1950,estimates,female,5yearly,20plus,38743.026
935,1950,estimates,male,5yearly,20plus,42404.454
935,1950,estimates,female,5yearly,20_64,23829.99
935,1950,estimates,male,5yearly,20_64,28083.743
935,1950,estimates,female,5yearly,20_69,28038.085
935,1950,estimates,male,5yearly,20_69,32765.928
935,1950,estimates,female,5yearly,25plus,36618.938
935,1950,estimates,male,5yearly,25plus,39988.372
935,1950,estimates,female,5yearly,25_69,25913.997
935,1950,estimates,male,5yearly,25_69,30349.846
935,1950,estimates,female,5yearly,40plus,29648.137
935,1950,estimates,male,5yearly,40plus,32934.202
935,1950,estimates,female,5yearly,50plus,24366.822
935,1950,estimates,male,5yearly,50plus,26704.88
935,1950,estimates,female,5yearly,60plus,18739.631
935,1950,estimates,male,5yearly,60plus,18989.106
935,1950,estimates,female,5yearly,65plus,14913.036
935,1950,estimates,male,5yearly,65plus,14320.711
935,1950,estimates,female,5yearly,70plus,10704.941
935,1950,estimates,male,5yearly,70plus,9638.526
935,1950,estimates,female,5yearly,80plus,3331.801
935,1950,estimates,male,5yearly,80plus,2478.567
