continent,year,variant,gender,freq,agebroad,totaldeaths
908,1960,estimates,male,5yearly,20_64,5401.318
908,1960,estimates,female,5yearly,20_69,5005.57
908,1960,estimates,male,5yearly,20_69,7106.09
908,1960,estimates,female,5yearly,25plus,13533.08
908,1960,estimates,male,5yearly,25plus,13260.66
908,1960,estimates,female,5yearly,25_69,4919.224
908,1960,estimates,male,5yearly,25_69,6908.639
908,1960,estimates,female,5yearly,40plus,13078.757
908,1960,estimates,male,5yearly,40plus,12419.398
908,1960,estimates,female,5yearly,50plus,12504.735
908,1960,estimates,male,5yearly,50plus,11623.749
908,1960,estimates,female,5yearly,60plus,11192.814
908,1960,estimates,male,5yearly,60plus,9590.474
908,1960,estimates,female,5yearly,65plus,10109.883
908,1960,estimates,male,5yearly,65plus,8056.793
908,1960,estimates,female,5yearly,70plus,8613.856
908,1960,estimates,male,5yearly,70plus,6352.021
908,1960,estimates,female,5yearly,80plus,4201.897
908,1960,estimates,male,5yearly,80plus,2636.741
908,1960,estimates,female,5yearly,90plus,666.167
908,1960,estimates,male,5yearly,90plus,314.422
908,1965,estimates,female,5yearly,0_4,832.043
908,1965,estimates,male,5yearly,0_4,1096.725
908,1965,estimates,female,5yearly,0_14,931.785
908,1965,estimates,male,5yearly,0_14,1261.67
908,1965,estimates,female,5yearly,0_19,994.185
908,1965,estimates,male,5yearly,0_19,1409.356
908,1965,estimates,female,5yearly,0_24,1066.295
908,1965,estimates,male,5yearly,0_24,1597.2
908,1965,estimates,female,5yearly,5_14,99.742
908,1965,estimates,male,5yearly,5_14,164.945
908,1965,estimates,female,5yearly,15plus,14831.809
908,1965,estimates,male,5yearly,15plus,14980.172
908,1965,estimates,female,5yearly,15_24,134.51
908,1965,estimates,male,5yearly,15_24,335.53
908,1965,estimates,female,5yearly,15_49,1126.065
908,1965,estimates,male,5yearly,15_49,2198.714
908,1965,estimates,female,5yearly,15_59,2395.717
908,1965,estimates,male,5yearly,15_59,4180.961
908,1965,estimates,female,5yearly,15_64,3550.474
908,1965,estimates,male,5yearly,15_64,5931.857
908,1965,estimates,female,5yearly,20plus,14769.409
908,1965,estimates,male,5yearly,20plus,14832.486
908,1965,estimates,female,5yearly,20_64,3488.074
908,1965,estimates,male,5yearly,20_64,5784.171
908,1965,estimates,female,5yearly,20_69,5135.869
908,1965,estimates,male,5yearly,20_69,7846.768
908,1965,estimates,female,5yearly,25plus,14697.299
908,1965,estimates,male,5yearly,25plus,14644.642
908,1965,estimates,female,5yearly,25_69,5063.759
908,1965,estimates,male,5yearly,25_69,7658.924
908,1965,estimates,female,5yearly,40plus,14304.968
908,1965,estimates,male,5yearly,40plus,13748.6
908,1965,estimates,female,5yearly,50plus,13705.744
908,1965,estimates,male,5yearly,50plus,12781.458
908,1965,estimates,female,5yearly,60plus,12436.092
908,1965,estimates,male,5yearly,60plus,10799.211
908,1965,estimates,female,5yearly,65plus,11281.335
908,1965,estimates,male,5yearly,65plus,9048.315
908,1965,estimates,female,5yearly,70plus,9633.54
908,1965,estimates,male,5yearly,70plus,6985.718
908,1965,estimates,female,5yearly,80plus,4880.958
908,1965,estimates,male,5yearly,80plus,2892.952
908,1965,estimates,female,5yearly,90plus,815.761
908,1965,estimates,male,5yearly,90plus,375.466
908,1970,estimates,female,5yearly,0_4,659.333
908,1970,estimates,male,5yearly,0_4,885.849
908,1970,estimates,female,5yearly,0_14,749.734
908,1970,estimates,male,5yearly,0_14,1038.464
908,1970,estimates,female,5yearly,0_19,813.366
908,1970,estimates,male,5yearly,0_19,1202.629
908,1970,estimates,female,5yearly,0_24,890.825
908,1970,estimates,male,5yearly,0_24,1434.287
908,1970,estimates,female,5yearly,5_14,90.401
908,1970,estimates,male,5yearly,5_14,152.615
908,1970,estimates,female,5yearly,15plus,16005.545
908,1970,estimates,male,5yearly,15plus,16217.869
908,1970,estimates,female,5yearly,15_24,141.091
908,1970,estimates,male,5yearly,15_24,395.823
908,1970,estimates,female,5yearly,15_49,1139.899
908,1970,estimates,male,5yearly,15_49,2554.68
908,1970,estimates,female,5yearly,15_59,2311.059
908,1970,estimates,male,5yearly,15_59,4403.446
908,1970,estimates,female,5yearly,15_64,3490.342
908,1970,estimates,male,5yearly,15_64,6174.762
908,1970,estimates,female,5yearly,20plus,15941.913
908,1970,estimates,male,5yearly,20plus,16053.704
908,1970,estimates,female,5yearly,20_64,3426.71
908,1970,estimates,male,5yearly,20_64,6010.597
908,1970,estimates,female,5yearly,20_69,5178.795
908,1970,estimates,male,5yearly,20_69,8303.643
908,1970,estimates,female,5yearly,25plus,15864.454
908,1970,estimates,male,5yearly,25plus,15822.046
908,1970,estimates,female,5yearly,25_69,5101.336
908,1970,estimates,male,5yearly,25_69,8071.985
908,1970,estimates,female,5yearly,40plus,15508.451
908,1970,estimates,male,5yearly,40plus,14910.007
908,1970,estimates,female,5yearly,50plus,14865.646
908,1970,estimates,male,5yearly,50plus,13663.189
908,1970,estimates,female,5yearly,60plus,13694.486
908,1970,estimates,male,5yearly,60plus,11814.423
908,1970,estimates,female,5yearly,65plus,12515.203
908,1970,estimates,male,5yearly,65plus,10043.107
908,1970,estimates,female,5yearly,70plus,10763.118
908,1970,estimates,male,5yearly,70plus,7750.061
908,1970,estimates,female,5yearly,80plus,5597.992
908,1970,estimates,male,5yearly,80plus,3102.599
908,1970,estimates,female,5yearly,90plus,1006.622
908,1970,estimates,male,5yearly,90plus,429.604
908,1975,estimates,female,5yearly,0_4,558.836
908,1975,estimates,male,5yearly,0_4,757.21
908,1975,estimates,female,5yearly,0_14,636.741
908,1975,estimates,male,5yearly,0_14,891.51
908,1975,estimates,female,5yearly,0_19,698.016
908,1975,estimates,male,5yearly,0_19,1058.15
908,1975,estimates,female,5yearly,0_24,776.809
908,1975,estimates,male,5yearly,0_24,1317.545
908,1975,estimates,female,5yearly,5_14,77.905
908,1975,estimates,male,5yearly,5_14,134.3
908,1975,estimates,female,5yearly,15plus,17020.674
908,1975,estimates,male,5yearly,15plus,17510.671
908,1975,estimates,female,5yearly,15_24,140.068
908,1975,estimates,male,5yearly,15_24,426.035
908,1975,estimates,female,5yearly,15_49,1102.147
908,1975,estimates,male,5yearly,15_49,2798.948
908,1975,estimates,female,5yearly,15_59,2368.534
908,1975,estimates,male,5yearly,15_59,5001.978
908,1975,estimates,female,5yearly,15_64,3392.411
908,1975,estimates,male,5yearly,15_64,6545.194
908,1975,estimates,female,5yearly,20plus,16959.399
