continent,variant,freq,year,infantmortalityper1000livebirth
905,estimates,5yearly,1950,30.8590213408767
905,estimates,5yearly,1955,27.669492374869
905,estimates,5yearly,1960,25.2617571139403
905,estimates,5yearly,1965,22.1860179740952
905,estimates,5yearly,1970,17.6959232598653
905,estimates,5yearly,1975,13.8830225919432
905,estimates,5yearly,1980,11.2024181441127
905,estimates,5yearly,1985,10.0375751677132
905,estimates,5yearly,1990,8.46193850524489
905,estimates,5yearly,1995,7.26187326947147
905,estimates,5yearly,2000,6.85819842376174
905,estimates,5yearly,2005,6.65295245328292
905,estimates,5yearly,2010,5.86616492158666
905,medium_variant,5yearly,2015,5.10011416197602
905,medium_variant,5yearly,2020,4.42341774096806
905,medium_variant,5yearly,2025,3.85831897211541
905,medium_variant,5yearly,2030,3.38664422821012
905,medium_variant,5yearly,2035,2.98049690781634
905,medium_variant,5yearly,2040,2.63140287116769
905,medium_variant,5yearly,2045,2.35156590097988
905,medium_variant,5yearly,2050,2.11898044976056
905,medium_variant,5yearly,2055,1.9224792622223
905,medium_variant,5yearly,2060,1.76315516121089
905,medium_variant,5yearly,2065,1.60946357160151
905,medium_variant,5yearly,2070,1.47431795158447
905,medium_variant,5yearly,2075,1.35343667351055
905,medium_variant,5yearly,2080,1.2350310639908
905,medium_variant,5yearly,2085,1.13495029538136
905,medium_variant,5yearly,2090,1.03533793788426
905,medium_variant,5yearly,2095,0.946959723347451
