continent,variant,freq,year,infantmortalityper1000livebirth
908,estimates,5yearly,1950,71.7325391859216
908,estimates,5yearly,1955,50.2281394049354
908,estimates,5yearly,1960,37.0539756609267
908,estimates,5yearly,1965,29.6081837313814
908,estimates,5yearly,1970,24.7150626838346
908,estimates,5yearly,1975,21.7349811975794
908,estimates,5yearly,1980,18.237303735202
908,estimates,5yearly,1985,15.6261891555918
908,estimates,5yearly,1990,12.7106441780693
908,estimates,5yearly,1995,10.3258021683334
908,estimates,5yearly,2000,8.37020902143767
908,estimates,5yearly,2005,6.49273665944379
908,estimates,5yearly,2010,5.34332617434996
908,medium_variant,5yearly,2015,4.36535116797672
908,medium_variant,5yearly,2020,3.75037230381942
908,medium_variant,5yearly,2025,3.24438846968996
908,medium_variant,5yearly,2030,2.86649088293078
908,medium_variant,5yearly,2035,2.59943841556945
908,medium_variant,5yearly,2040,2.41927393124677
908,medium_variant,5yearly,2045,2.2506059256355
908,medium_variant,5yearly,2050,2.07957506011984
908,medium_variant,5yearly,2055,1.92218700308846
908,medium_variant,5yearly,2060,1.78819526585123
908,medium_variant,5yearly,2065,1.68017543111567
908,medium_variant,5yearly,2070,1.5939126962153
908,medium_variant,5yearly,2075,1.51044282785498
908,medium_variant,5yearly,2080,1.42666154735857
908,medium_variant,5yearly,2085,1.3447638340114
908,medium_variant,5yearly,2090,1.27156062636244
908,medium_variant,5yearly,2095,1.21937194069919
