continent,variant,freq,year,infantmortalityper1000livebirth
904,estimates,5yearly,1950,127.522559101117
904,estimates,5yearly,1955,113.920991581767
904,estimates,5yearly,1960,101.645882835991
904,estimates,5yearly,1965,91.4440958528753
904,estimates,5yearly,1970,80.6037396666168
904,estimates,5yearly,1975,70.473003887115
904,estimates,5yearly,1980,59.778133438561
904,estimates,5yearly,1985,48.099754638442
904,estimates,5yearly,1990,38.6991066504368
904,estimates,5yearly,1995,31.8128411381744
904,estimates,5yearly,2000,25.3756516301402
904,estimates,5yearly,2005,21.4454908069518
904,estimates,5yearly,2010,18.6857414546692
904,medium_variant,5yearly,2015,16.0672749038985
904,medium_variant,5yearly,2020,13.9748511311939
904,medium_variant,5yearly,2025,12.2099315696703
904,medium_variant,5yearly,2030,10.760283232861
904,medium_variant,5yearly,2035,9.52478231425114
904,medium_variant,5yearly,2040,8.48606097051391
904,medium_variant,5yearly,2045,7.61178839678358
904,medium_variant,5yearly,2050,6.869790647431
904,medium_variant,5yearly,2055,6.24410900582736
904,medium_variant,5yearly,2060,5.68166444974775
904,medium_variant,5yearly,2065,5.18512647353932
904,medium_variant,5yearly,2070,4.74249159211034
904,medium_variant,5yearly,2075,4.3493490928606
904,medium_variant,5yearly,2080,4.00716041312629
904,medium_variant,5yearly,2085,3.69465594773945
904,medium_variant,5yearly,2090,3.4073072812634
904,medium_variant,5yearly,2095,3.14232551859356
904,estimates,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,medium_variant,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
