region,variant,year,potentialsupport2569_70
913,Estimates,1950,20.7840238526165
913,Estimates,1955,18.7449008843335
913,Estimates,1960,17.3979976485981
913,Estimates,1965,16.5093575361463
913,Estimates,1970,18.3000597166884
913,Estimates,1975,19.9159737434458
913,Estimates,1980,20.6637739497758
913,Estimates,1985,21.3218157264186
913,Estimates,1990,20.9570185139407
913,Estimates,1995,21.2642694384206
913,Estimates,2000,19.0092039232288
913,Estimates,2005,15.784655604314
913,Estimates,2010,13.8656332907017
913,Constant_fertility,2015,15.4887247762155
913,Constant_mortality,2015,15.4887247762155
913,Estimates,2015,15.4887247762155
913,High_variant,2015,15.4887247762155
913,Instant_replacement,2015,15.4887247762155
913,Low_variant,2015,15.4887247762155
913,Medium_variant,2015,15.4887247762155
913,No_change,2015,15.4887247762155
913,Zero_migration,2015,15.4887247762155
913,Constant_fertility,2020,15.6633299266166
913,Constant_mortality,2020,15.9083234704297
913,High_variant,2020,15.6633299266166
913,Instant_replacement,2020,15.6633299266166
913,Low_variant,2020,15.6633299266166
913,Medium_variant,2020,15.6633299266166
913,No_change,2020,15.9083234704297
913,Zero_migration,2020,15.6283411404089
913,Constant_fertility,2025,14.3778166712232
913,Constant_mortality,2025,14.9202376492554
913,High_variant,2025,14.3778166712232
913,Instant_replacement,2025,14.3778166712232
913,Low_variant,2025,14.3778166712232
913,Medium_variant,2025,14.3778166712232
913,No_change,2025,14.9202376492554
913,Zero_migration,2025,14.3230294004404
913,Constant_fertility,2030,12.6756535216624
913,Constant_mortality,2030,13.4467958794171
913,High_variant,2030,12.6756535216624
913,Instant_replacement,2030,12.6756535216624
913,Low_variant,2030,12.6756535216624
913,Medium_variant,2030,12.6756535216624
913,No_change,2030,13.4467958794171
913,Zero_migration,2030,12.609574423011
913,Constant_fertility,2035,11.3530523747278
913,Constant_mortality,2035,12.2789310962749
913,High_variant,2035,11.3530523747278
913,Instant_replacement,2035,11.3530523747278
913,Low_variant,2035,11.3530523747278
913,Medium_variant,2035,11.3530523747278
913,No_change,2035,12.2789310962749
913,Zero_migration,2035,11.2847673543866
913,Constant_fertility,2040,10.6012770376169
913,Constant_mortality,2040,11.6395817831534
913,High_variant,2040,10.6012770376169
913,Instant_replacement,2040,10.6012770376169
913,Low_variant,2040,10.6012770376169
913,Medium_variant,2040,10.6012770376169
913,No_change,2040,11.6395817831534
913,Zero_migration,2040,10.5332001522821
913,Constant_fertility,2045,10.1982201704339
913,Constant_mortality,2045,11.2369095510176
913,High_variant,2045,10.2763662213642
913,Instant_replacement,2045,10.0667587210721
913,Low_variant,2045,9.96820362777178
913,Medium_variant,2045,10.1222857575318
913,No_change,2045,11.3234338385071
913,Zero_migration,2045,10.0526234566427
913,Constant_fertility,2050,9.71987323988975
913,Constant_mortality,2050,10.7070097896592
913,High_variant,2050,9.87512692097333
913,Instant_replacement,2050,9.45622765343657
913,Low_variant,2050,9.14921295055069
913,Medium_variant,2050,9.51216918506761
913,No_change,2050,10.950744439833
913,Zero_migration,2050,9.44392533739862
913,Constant_fertility,2055,8.4806064230664
913,Constant_mortality,2055,9.4103751840987
913,High_variant,2055,8.67889469708589
913,Instant_replacement,2055,8.11585979391492
913,Low_variant,2055,7.60198097819466
913,Medium_variant,2055,8.14043667305457
913,No_change,2055,9.82447219521333
913,Zero_migration,2055,8.07940693555183
913,Constant_fertility,2060,7.27072674156039
913,Constant_mortality,2060,8.23423813335441
913,High_variant,2060,7.45853570778122
913,Instant_replacement,2060,6.83225331195205
913,Low_variant,2060,6.17047398635092
913,Medium_variant,2060,6.81368876016685
913,No_change,2060,8.81811749690165
913,Zero_migration,2060,6.76318945389818
913,Constant_fertility,2065,6.58660209555348
913,Constant_mortality,2065,7.65108447717552
913,High_variant,2065,6.75313498383252
913,Instant_replacement,2065,6.06110129668575
913,Low_variant,2065,5.25328289843004
913,Medium_variant,2065,5.99793319158453
913,No_change,2065,8.44580354656942
913,Zero_migration,2065,5.95992808446053
913,Constant_fertility,2070,6.18868367093381
913,Constant_mortality,2070,7.33632047176954
913,High_variant,2070,6.33402966127218
