variant,region,year,potentialsupport2569_70
estimates,941,1950,20.009
estimates,941,1951,20.061
estimates,941,1952,20.342
estimates,941,1953,20.862
estimates,941,1954,21.643
estimates,941,1955,22.718
estimates,941,1956,22.596
estimates,941,1957,22.699
estimates,941,1958,23.009
estimates,941,1959,23.513
estimates,941,1960,24.214
estimates,941,1961,23.828
estimates,941,1962,23.639
estimates,941,1963,23.634
estimates,941,1964,23.803
estimates,941,1965,24.141
estimates,941,1966,23.611
estimates,941,1967,23.281
estimates,941,1968,23.115
estimates,941,1969,23.081
estimates,941,1970,23.157
estimates,941,1971,22.53
estimates,941,1972,22.074
estimates,941,1973,21.775
estimates,941,1974,21.619
estimates,941,1975,21.587
estimates,941,1976,20.993
estimates,941,1977,20.576
estimates,941,1978,20.317
estimates,941,1979,20.198
estimates,941,1980,20.198
estimates,941,1981,19.793
estimates,941,1982,19.549
estimates,941,1983,19.451
estimates,941,1984,19.488
estimates,941,1985,19.65
estimates,941,1986,19.313
estimates,941,1987,19.107
estimates,941,1988,19.007
estimates,941,1989,18.995
estimates,941,1990,19.056
estimates,941,1991,18.764
estimates,941,1992,18.574
estimates,941,1993,18.47
estimates,941,1994,18.439
estimates,941,1995,18.467
estimates,941,1996,18.178
estimates,941,1997,17.992
estimates,941,1998,17.893
estimates,941,1999,17.866
estimates,941,2000,17.893
estimates,941,2001,17.656
estimates,941,2002,17.501
estimates,941,2003,17.423
estimates,941,2004,17.421
estimates,941,2005,17.483
estimates,941,2006,17.308
estimates,941,2007,17.221
estimates,941,2008,17.2
estimates,941,2009,17.217
estimates,941,2010,17.257
estimates,941,2011,17.12
estimates,941,2012,17.035
estimates,941,2013,16.998
estimates,941,2014,17.008
estimates,941,2015,17.059
medium_variant,941,2015,17.059
medium_variant,941,2016,16.941
medium_variant,941,2017,16.876
medium_variant,941,2018,16.856
medium_variant,941,2019,16.873
medium_variant,941,2020,16.917
medium_variant,941,2021,16.8
medium_variant,941,2022,16.728
medium_variant,941,2023,16.686
medium_variant,941,2024,16.656
medium_variant,941,2025,16.626
medium_variant,941,2026,16.443
medium_variant,941,2027,16.287
medium_variant,941,2028,16.146
medium_variant,941,2029,16.008
medium_variant,941,2030,15.862
medium_variant,941,2031,15.59
medium_variant,941,2032,15.341
medium_variant,941,2033,15.111
medium_variant,941,2034,14.896
medium_variant,941,2035,14.691
medium_variant,941,2036,14.402
medium_variant,941,2037,14.142
medium_variant,941,2038,13.906
medium_variant,941,2039,13.69
medium_variant,941,2040,13.487
medium_variant,941,2041,13.221
medium_variant,941,2042,12.984
medium_variant,941,2043,12.766
medium_variant,941,2044,12.554
medium_variant,941,2045,12.342
medium_variant,941,2046,12.076
medium_variant,941,2047,11.83
medium_variant,941,2048,11.595
medium_variant,941,2049,11.363
medium_variant,941,2050,11.128
medium_variant,941,2051,10.855
medium_variant,941,2052,10.596
medium_variant,941,2053,10.353
medium_variant,941,2054,10.126
medium_variant,941,2055,9.915
medium_variant,941,2056,9.69
medium_variant,941,2057,9.487
medium_variant,941,2058,9.298
medium_variant,941,2059,9.117
medium_variant,941,2060,8.939
medium_variant,941,2061,8.745
medium_variant,941,2062,8.563
medium_variant,941,2063,8.39
medium_variant,941,2064,8.223
medium_variant,941,2065,8.059
medium_variant,941,2066,7.885
medium_variant,941,2067,7.721
medium_variant,941,2068,7.565
medium_variant,941,2069,7.416
medium_variant,941,2070,7.269
medium_variant,941,2071,7.118
medium_variant,941,2072,6.977
medium_variant,941,2073,6.843
medium_variant,941,2074,6.716
medium_variant,941,2075,6.593
medium_variant,941,2076,6.47
medium_variant,941,2077,6.355
medium_variant,941,2078,6.247
medium_variant,941,2079,6.144
medium_variant,941,2080,6.044
medium_variant,941,2081,5.943
medium_variant,941,2082,5.849
medium_variant,941,2083,5.759
medium_variant,941,2084,5.671
medium_variant,941,2085,5.584
medium_variant,941,2086,5.497
medium_variant,941,2087,5.414
medium_variant,941,2088,5.333
medium_variant,941,2089,5.254
medium_variant,941,2090,5.178
medium_variant,941,2091,5.101
