continent,variant,freq,year,crudedeathrateper1000population
935,estimates,5yearly,1950,22.526
935,estimates,5yearly,1955,20.375
935,estimates,5yearly,1960,18.717
935,estimates,5yearly,1965,14.303
935,estimates,5yearly,1970,11.933
935,estimates,5yearly,1975,10.183
935,estimates,5yearly,1980,9.27
935,estimates,5yearly,1985,8.631
935,estimates,5yearly,1990,7.965
935,estimates,5yearly,1995,7.508
935,estimates,5yearly,2000,7.123
935,estimates,5yearly,2005,6.974
935,estimates,5yearly,2010,6.951
935,constant_fertility,5yearly,2015,7.139
935,constant_mortality,5yearly,2015,7.579
935,high_variant,5yearly,2015,7.137
935,instant_replacement,5yearly,2015,7.076
935,low_variant,5yearly,2015,7.105
935,medium_variant,5yearly,2015,7.121
935,momentum,5yearly,2015,7.531
935,no_change,5yearly,2015,7.601
935,zero_migration,5yearly,2015,7.12
935,constant_fertility,5yearly,2020,7.431
935,constant_mortality,5yearly,2020,8.297
935,high_variant,5yearly,2020,7.379
935,instant_replacement,5yearly,2020,7.368
935,low_variant,5yearly,2020,7.468
935,medium_variant,5yearly,2020,7.423
935,momentum,5yearly,2020,8.229
935,no_change,5yearly,2020,8.319
935,zero_migration,5yearly,2020,7.417
935,constant_fertility,5yearly,2025,7.832
935,constant_mortality,5yearly,2025,9.134
935,high_variant,5yearly,2025,7.71
935,instant_replacement,5yearly,2025,7.79
935,low_variant,5yearly,2025,8.025
935,medium_variant,5yearly,2025,7.862
935,momentum,5yearly,2025,9.034
935,no_change,5yearly,2025,9.125
935,zero_migration,5yearly,2025,7.852
935,constant_fertility,5yearly,2030,8.303
935,constant_mortality,5yearly,2030,10.08
935,high_variant,5yearly,2030,8.108
935,instant_replacement,5yearly,2030,8.3
935,low_variant,5yearly,2030,8.73
935,medium_variant,5yearly,2030,8.405
935,momentum,5yearly,2030,9.922
935,no_change,5yearly,2030,10.004
935,zero_migration,5yearly,2030,8.387
935,constant_fertility,5yearly,2035,8.824
935,constant_mortality,5yearly,2035,11.087
935,high_variant,5yearly,2035,8.577
935,instant_replacement,5yearly,2035,8.874
935,low_variant,5yearly,2035,9.542
935,medium_variant,5yearly,2035,9.03
935,momentum,5yearly,2035,10.839
935,no_change,5yearly,2035,10.904
935,zero_migration,5yearly,2035,9.004
935,constant_fertility,5yearly,2040,9.302
935,constant_mortality,5yearly,2040,12.075
935,high_variant,5yearly,2040,9.014
935,instant_replacement,5yearly,2040,9.423
935,low_variant,5yearly,2040,10.377
935,medium_variant,5yearly,2040,9.646
935,momentum,5yearly,2040,11.709
935,no_change,5yearly,2040,11.744
935,zero_migration,5yearly,2040,9.612
935,constant_fertility,5yearly,2045,9.713
935,constant_mortality,5yearly,2045,12.985
935,high_variant,5yearly,2045,9.386
935,instant_replacement,5yearly,2045,9.929
935,low_variant,5yearly,2045,11.239
935,medium_variant,5yearly,2045,10.238
935,momentum,5yearly,2045,12.469
935,no_change,5yearly,2045,12.457
935,zero_migration,5yearly,2045,10.196
935,constant_fertility,5yearly,2050,10.032
935,constant_mortality,5yearly,2050,13.797
935,high_variant,5yearly,2050,9.667
935,instant_replacement,5yearly,2050,10.365
935,low_variant,5yearly,2050,12.115
935,medium_variant,5yearly,2050,10.783
935,momentum,5yearly,2050,13.098
935,no_change,5yearly,2050,13.019
935,zero_migration,5yearly,2050,10.734
935,constant_fertility,5yearly,2055,10.249
935,constant_mortality,5yearly,2055,14.521
935,high_variant,5yearly,2055,9.859
935,instant_replacement,5yearly,2055,10.726
935,low_variant,5yearly,2055,12.999
935,medium_variant,5yearly,2055,11.275
935,momentum,5yearly,2055,13.6
935,no_change,5yearly,2055,13.431
935,zero_migration,5yearly,2055,11.219
935,constant_fertility,5yearly,2060,10.355
935,constant_mortality,5yearly,2060,15.164
935,high_variant,5yearly,2060,9.97
935,instant_replacement,5yearly,2060,11.003
935,low_variant,5yearly,2060,13.873
935,medium_variant,5yearly,2060,11.702
935,momentum,5yearly,2060,13.984
935,no_change,5yearly,2060,13.705
935,zero_migration,5yearly,2060,11.64
935,constant_fertility,5yearly,2065,10.363
935,constant_mortality,5yearly,2065,15.706
935,high_variant,5yearly,2065,10.014
935,instant_replacement,5yearly,2065,11.207
935,low_variant,5yearly,2065,14.742
935,medium_variant,5yearly,2065,12.074
935,momentum,5yearly,2065,14.237
935,no_change,5yearly,2065,13.831
935,zero_migration,5yearly,2065,12.005
935,constant_fertility,5yearly,2070,10.279
935,constant_mortality,5yearly,2070,16.116
935,high_variant,5yearly,2070,9.997
935,instant_replacement,5yearly,2070,11.337
935,low_variant,5yearly,2070,15.605
935,medium_variant,5yearly,2070,12.39
935,momentum,5yearly,2070,14.342
935,no_change,5yearly,2070,13.799
935,zero_migration,5yearly,2070,12.312
935,constant_fertility,5yearly,2075,10.1
935,constant_mortality,5yearly,2075,16.386
935,high_variant,5yearly,2075,9.911
935,instant_replacement,5yearly,2075,11.379
935,low_variant,5yearly,2075,16.44
935,medium_variant,5yearly,2075,12.633
935,momentum,5yearly,2075,14.308
935,no_change,5yearly,2075,13.629
935,zero_migration,5yearly,2075,12.544
935,constant_fertility,5yearly,2080,9.805
935,constant_mortality,5yearly,2080,16.589
935,high_variant,5yearly,2080,9.735
935,instant_replacement,5yearly,2080,11.293
935,low_variant,5yearly,2080,17.163
935,medium_variant,5yearly,2080,12.756
935,momentum,5yearly,2080,14.221
935,no_change,5yearly,2080,13.4
935,zero_migration,5yearly,2080,12.657
935,constant_fertility,5yearly,2085,9.42
935,constant_mortality,5yearly,2085,16.812
935,high_variant,5yearly,2085,9.499
935,instant_replacement,5yearly,2085,11.099
935,low_variant,5yearly,2085,17.742
935,medium_variant,5yearly,2085,12.768
935,momentum,5yearly,2085,14.181
935,no_change,5yearly,2085,13.199
935,zero_migration,5yearly,2085,12.661
935,constant_fertility,5yearly,2090,9.035
935,constant_mortality,5yearly,2090,17.049
935,high_variant,5yearly,2090,9.3
935,instant_replacement,5yearly,2090,10.897
935,low_variant,5yearly,2090,18.254
935,medium_variant,5yearly,2090,12.763
935,momentum,5yearly,2090,14.206
935,no_change,5yearly,2090,13.03
935,zero_migration,5yearly,2090,12.652
935,constant_fertility,5yearly,2095,8.693
935,constant_mortality,5yearly,2095,17.234
935,high_variant,5yearly,2095,9.188
935,instant_replacement,5yearly,2095,10.749
935,low_variant,5yearly,2095,18.724
935,medium_variant,5yearly,2095,12.795
935,momentum,5yearly,2095,14.24
935,no_change,5yearly,2095,12.855
935,zero_migration,5yearly,2095,12.684
935,constant_fertility,5yearly,Regi,ASIA
935,constant_mortality,5yearly,Regi,ASIA
935,estimates,5yearly,Regi,ASIA
935,high_variant,5yearly,Regi,ASIA
935,instant_replacement,5yearly,Regi,ASIA
935,low_variant,5yearly,Regi,ASIA
935,medium_variant,5yearly,Regi,ASIA
935,momentum,5yearly,Regi,ASIA
935,no_change,5yearly,Regi,ASIA
935,zero_migration,5yearly,Regi,ASIA
