continent,variant,freq,year,crudedeathrateper1000population
909,estimates,5yearly,1950,11.824
909,estimates,5yearly,1955,10.88
909,estimates,5yearly,1960,10.367
909,estimates,5yearly,1965,9.862
909,estimates,5yearly,1970,9.171
909,estimates,5yearly,1975,8.439
909,estimates,5yearly,1980,7.92
909,estimates,5yearly,1985,7.767
909,estimates,5yearly,1990,7.379
909,estimates,5yearly,1995,7.219
909,estimates,5yearly,2000,6.926
909,estimates,5yearly,2005,6.714
909,estimates,5yearly,2010,6.691
909,constant_fertility,5yearly,2015,6.758
909,constant_mortality,5yearly,2015,7.156
909,high_variant,5yearly,2015,6.745
909,instant_replacement,5yearly,2015,6.661
909,low_variant,5yearly,2015,6.751
909,medium_variant,5yearly,2015,6.748
909,momentum,5yearly,2015,7.142
909,no_change,5yearly,2015,7.168
909,zero_migration,5yearly,2015,6.826
909,constant_fertility,5yearly,2020,6.806
909,constant_mortality,5yearly,2020,7.599
909,high_variant,5yearly,2020,6.75
909,instant_replacement,5yearly,2020,6.758
909,low_variant,5yearly,2020,6.868
909,medium_variant,5yearly,2020,6.808
909,momentum,5yearly,2020,7.766
909,no_change,5yearly,2020,7.601
909,zero_migration,5yearly,2020,7.015
909,constant_fertility,5yearly,2025,6.974
909,constant_mortality,5yearly,2025,8.115
909,high_variant,5yearly,2025,6.864
909,instant_replacement,5yearly,2025,6.996
909,low_variant,5yearly,2025,7.163
909,medium_variant,5yearly,2025,7.009
909,momentum,5yearly,2025,8.487
909,no_change,5yearly,2025,8.084
909,zero_migration,5yearly,2025,7.35
909,constant_fertility,5yearly,2030,7.24
909,constant_mortality,5yearly,2030,8.715
909,high_variant,5yearly,2030,7.077
909,instant_replacement,5yearly,2030,7.345
909,low_variant,5yearly,2030,7.608
909,medium_variant,5yearly,2030,7.331
909,momentum,5yearly,2030,9.313
909,no_change,5yearly,2030,8.627
909,zero_migration,5yearly,2030,7.824
909,constant_fertility,5yearly,2035,7.55
909,constant_mortality,5yearly,2035,9.316
909,high_variant,5yearly,2035,7.35
