continent,year,variant,agebroad,feminityrato_femaleper100male
908,1950,estimates,total,114.191640957601
908,1950,estimates,0_1,95.9342818738228
908,1950,estimates,0_4,96.2350698646496
908,1950,estimates,0_14,97.2914876823893
908,1950,estimates,0_17,97.7168455149848
908,1950,estimates,0_19,98.1021145846052
908,1950,estimates,0_24,99.6062944766188
908,1950,estimates,3_4,96.6412447621629
908,1950,estimates,3_5,96.7624006538646
908,1950,estimates,3_6,96.8778593408114
908,1950,estimates,4_5,96.8966219742953
908,1950,estimates,4_6,97.0103242716339
908,1950,estimates,5_10,97.4997941090813
908,1950,estimates,5_11,97.5842512951019
908,1950,estimates,5_14,97.8836720356626
908,1950,estimates,6_9,97.5088958841175
908,1950,estimates,6_10,97.5892562799579
908,1950,estimates,6_11,97.6694793534092
908,1950,estimates,6_12,97.7547145205087
908,1950,estimates,7_10,97.668614533935
908,1950,estimates,7_12,97.8284865805354
908,1950,estimates,11_16,98.7528774359633
908,1950,estimates,11_17,98.9993183329064
908,1950,estimates,11_18,99.2737784704027
908,1950,estimates,12_14,98.4789765954657
908,1950,estimates,12_16,98.9053786194716
908,1950,estimates,12_17,99.1717227633247
908,1950,estimates,12_18,99.4648372279029
908,1950,estimates,13_17,99.3896322388233
908,1950,estimates,13_18,99.7030778216452
908,1950,estimates,13_19,100.038667109696
908,1950,estimates,15plus,120.959262649864
908,1950,estimates,15_17,99.9525255599059
908,1950,estimates,15_24,103.204858281564
908,1950,estimates,15_49,114.765692516596
908,1950,estimates,15_59,117.114237486946
908,1950,estimates,15_64,118.240039007483
908,1950,estimates,16plus,121.548241484006
908,1950,estimates,17plus,122.122748316002
908,1950,estimates,18plus,122.691731821643
908,1950,estimates,18_23,103.600074671601
908,1950,estimates,20plus,123.898629818738
908,1950,estimates,20_64,121.103874277
908,1950,estimates,20_69,121.98813451177
908,1950,estimates,21plus,124.550129835819
908,1950,estimates,25plus,127.119450411166
908,1950,estimates,25_49,121.131387262357
908,1950,estimates,25_64,124.241722055882
908,1950,estimates,25_69,125.114982289809
908,1950,estimates,50plus,137.321096725321
908,1950,estimates,60plus,143.453730150785
908,1950,estimates,65plus,146.243956190727
908,1950,estimates,70plus,150.875856917285
908,1950,estimates,75plus,160.3448338163
908,1950,estimates,80plus,176.523871366789
908,1950,estimates,85plus,200.385211906033
908,1950,estimates,90plus,234.83992049594
908,1955,estimates,total,112.830940491824
908,1955,estimates,0_1,95.3775551311233
908,1955,estimates,0_4,95.6622366501196
908,1955,estimates,0_14,96.513149060607
908,1955,estimates,0_17,96.9032859457454
908,1955,estimates,0_19,97.1469920957982
908,1955,estimates,0_24,97.8053665818721
908,1955,estimates,3_4,95.9238931075683
908,1955,estimates,3_5,95.9965700636444
908,1955,estimates,3_6,96.0689601657341
908,1955,estimates,4_5,96.0720610173646
908,1955,estimates,4_6,96.1451713920105
908,1955,estimates,5_10,96.5627068168145
908,1955,estimates,5_11,96.6617001737011
908,1955,estimates,5_14,97.0277274432011
908,1955,estimates,6_9,96.5583299277367
908,1955,estimates,6_10,96.6572215260226
908,1955,estimates,6_11,96.7619558555701
908,1955,estimates,6_12,96.8778593130584
908,1955,estimates,7_10,96.7580017581819
908,1955,estimates,7_12,96.9924157401444
908,1955,estimates,11_16,98.1832799797707
908,1955,estimates,11_17,98.3299353657858
908,1955,estimates,11_18,98.4556035086921
908,1955,estimates,12_14,98.0266109819533
908,1955,estimates,12_16,98.3284935351248
908,1955,estimates,12_17,98.4691052827173
908,1955,estimates,12_18,98.5883625434299
908,1955,estimates,13_17,98.5951623252569
908,1955,estimates,13_18,98.7080437891965
908,1955,estimates,13_19,98.8079564251273
908,1955,estimates,15plus,119.111045029602
908,1955,estimates,15_17,98.8352938893984
908,1955,estimates,15_24,99.8210113575051
908,1955,estimates,15_49,111.56892800508
908,1955,estimates,15_59,114.045034296593
908,1955,estimates,15_64,115.458287693243
908,1955,estimates,16plus,119.625090231276
908,1955,estimates,17plus,120.197778883693
908,1955,estimates,18plus,120.819588935342
908,1955,estimates,18_23,99.9915528352062
908,1955,estimates,20plus,122.11259596935
908,1955,estimates,20_64,118.224935340718
908,1955,estimates,20_69,119.572225993937
908,1955,estimates,21plus,122.762321983196
908,1955,estimates,25plus,125.429503412387
908,1955,estimates,25_49,117.770830910341
908,1955,estimates,25_64,121.344224003275
908,1955,estimates,25_69,122.744057629287
908,1955,estimates,50plus,137.949678130058
908,1955,estimates,60plus,148.805720631056
908,1955,estimates,65plus,152.820114643338
908,1955,estimates,70plus,157.006069492841
908,1955,estimates,75plus,163.658157448612
908,1955,estimates,80plus,177.113222348122
908,1955,estimates,85plus,200.162496276437
908,1955,estimates,90plus,233.501437798939
908,1960,estimates,total,111.595728426885
908,1960,estimates,0_1,95.4120254454346
908,1960,estimates,0_4,95.5975751674207
908,1960,estimates,0_14,95.8909644325868
908,1960,estimates,0_17,96.0748388830076
908,1960,estimates,0_19,96.2753714310474
908,1960,estimates,0_24,96.9417338626595
908,1960,estimates,3_4,95.7690260730939
908,1960,estimates,3_5,95.7966936426507
908,1960,estimates,3_6,95.8185417025074
908,1960,estimates,4_5,95.8283912523009
908,1960,estimates,4_6,95.8471277575003
908,1960,estimates,5_10,95.9209642825711
908,1960,estimates,5_11,95.9365392701547
908,1960,estimates,5_14,96.0493414903956
908,1960,estimates,6_9,95.9207221655611
908,1960,estimates,6_10,95.9350019294451
908,1960,estimates,6_11,95.9509653112436
908,1960,estimates,6_12,95.9753970559628
908,1960,estimates,7_10,95.9478047958591
908,1960,estimates,7_12,95.9909941936248
908,1960,estimates,11_16,96.503672212236
908,1960,estimates,11_17,96.6525797591625
908,1960,estimates,11_18,96.8323492030516
908,1960,estimates,12_14,96.3403261661047
908,1960,estimates,12_16,96.6114744160435
908,1960,estimates,12_17,96.7741229718139
908,1960,estimates,12_18,96.9688942464842
908,1960,estimates,13_17,96.9274907766005
908,1960,estimates,13_18,97.1375621537735
908,1960,estimates,13_19,97.3704675078349
908,1960,estimates,15plus,118.046533232077
908,1960,estimates,15_17,97.2973992937519
908,1960,estimates,15_24,98.8460187716124
908,1960,estimates,15_49,108.945086408838
908,1960,estimates,15_59,111.764305707402
908,1960,estimates,15_64,113.35319157375
908,1960,estimates,16plus,118.520122628126
908,1960,estimates,17plus,118.970345052813
908,1960,estimates,18plus,119.412776037528
908,1960,estimates,18_23,99.3747302222364
908,1960,estimates,20plus,120.390789882835
908,1960,estimates,20_64,115.382211961593
908,1960,estimates,20_69,117.073405847671
908,1960,estimates,21plus,120.952197789033
908,1960,estimates,25plus,123.6737731268
908,1960,estimates,25_49,113.844278107335
908,1960,estimates,25_64,118.241854612494
908,1960,estimates,25_69,120.067357249972
908,1960,estimates,50plus,138.675172670016
908,1960,estimates,60plus,152.435006450612
908,1960,estimates,65plus,159.933340961442
908,1960,estimates,70plus,165.408526790325
908,1960,estimates,75plus,171.228139433655
908,1960,estimates,80plus,181.321313439895
908,1960,estimates,85plus,204.783209373705
908,1960,estimates,90plus,239.816991887891
908,1965,estimates,total,110.333549581135
908,1965,estimates,0_1,95.0837391268997
908,1965,estimates,0_4,95.4058021412228
908,1965,estimates,0_14,95.6955057897528
908,1965,estimates,0_17,95.7157248904017
908,1965,estimates,0_19,95.7598727456288
908,1965,estimates,0_24,96.0517744716366
908,1965,estimates,3_4,95.6934526656113
908,1965,estimates,3_5,95.7410616274985
908,1965,estimates,3_6,95.7765619112191
908,1965,estimates,4_5,95.7952424856585
908,1965,estimates,4_6,95.8244424103878
908,1965,estimates,5_10,95.8755820181109
908,1965,estimates,5_11,95.8678965797513
908,1965,estimates,5_14,95.8415114329164
908,1965,estimates,6_9,95.8911745495743
908,1965,estimates,6_10,95.8835852531405
908,1965,estimates,6_11,95.8732952773775
908,1965,estimates,6_12,95.8618790978999
908,1965,estimates,7_10,95.8837849319561
908,1965,estimates,7_12,95.8583257057039
908,1965,estimates,11_16,95.7891318127932
908,1965,estimates,11_17,95.803027741673
908,1965,estimates,11_18,95.8350806966554
908,1965,estimates,12_14,95.7772938959141
908,1965,estimates,12_16,95.7826448509748
908,1965,estimates,12_17,95.7999887416811
908,1965,estimates,12_18,95.8372459667224
908,1965,estimates,13_17,95.8017915110573
908,1965,estimates,13_18,95.8452416568363
908,1965,estimates,13_19,95.9126548714817
908,1965,estimates,15plus,116.164862757683
908,1965,estimates,15_17,95.8233884009911
908,1965,estimates,15_24,96.7054481901186
908,1965,estimates,15_49,104.70995525287
908,1965,estimates,15_59,108.790485414507
908,1965,estimates,15_64,110.467483884894
908,1965,estimates,16plus,116.692139671242
908,1965,estimates,17plus,117.243542202321
908,1965,estimates,18plus,117.80972484672
908,1965,estimates,18_23,96.9314664397185
908,1965,estimates,20plus,118.921427916457
908,1965,estimates,20_64,112.715133936877
908,1965,estimates,20_69,114.622540560341
908,1965,estimates,21plus,119.452075356672
908,1965,estimates,25plus,121.561640733383
908,1965,estimates,25_49,108.409510444475
908,1965,estimates,25_64,114.8770797894
908,1965,estimates,25_69,116.912249019269
908,1965,estimates,50plus,141.294221913689
908,1965,estimates,60plus,153.499244476313
908,1965,estimates,65plus,164.592326508346
908,1965,estimates,70plus,175.365281091116
908,1965,estimates,75plus,184.502122457003
908,1965,estimates,80plus,194.394390276823
908,1965,estimates,85plus,210.125751120078
908,1965,estimates,90plus,245.347312552566
908,1970,estimates,total,109.528450631282
908,1970,estimates,0_1,95.5650777275742
908,1970,estimates,0_4,95.7106643992714
908,1970,estimates,0_14,95.6123182705184
908,1970,estimates,0_17,95.6668854584151
908,1970,estimates,0_19,95.7172418742482
908,1970,estimates,0_24,95.8563405123682
908,1970,estimates,3_4,95.823729874525
908,1970,estimates,3_5,95.8175300444777
908,1970,estimates,3_6,95.8021690247242
908,1970,estimates,4_5,95.8170609625859
908,1970,estimates,4_6,95.7968673896374
908,1970,estimates,5_10,95.6487779362515
908,1970,estimates,5_11,95.609354615896
908,1970,estimates,5_14,95.5663900459002
908,1970,estimates,6_9,95.65522296476
908,1970,estimates,6_10,95.61825397969
908,1970,estimates,6_11,95.5775876114087
908,1970,estimates,6_12,95.5453317228711
908,1970,estimates,7_10,95.5841640905372
908,1970,estimates,7_12,95.5107854769146
908,1970,estimates,11_16,95.5807887029187
908,1970,estimates,11_17,95.6530127260442
908,1970,estimates,11_18,95.7156551976749
908,1970,estimates,12_14,95.4668751175313
908,1970,estimates,12_16,95.6223103202094
908,1970,estimates,12_17,95.7001678880789
908,1970,estimates,12_18,95.7655435668721
908,1970,estimates,13_17,95.7714569446509
908,1970,estimates,13_18,95.8365992101016
908,1970,estimates,13_19,95.8865953615343
908,1970,estimates,15plus,114.697829213379
908,1970,estimates,15_17,95.9415199447166
908,1970,estimates,15_24,96.2448156237964
908,1970,estimates,15_49,102.051697589883
908,1970,estimates,15_59,106.229118984363
908,1970,estimates,15_64,108.146053890524
908,1970,estimates,16plus,115.18227125437
908,1970,estimates,17plus,115.679786670921
908,1970,estimates,18plus,116.192488070888
908,1970,estimates,18_23,96.3276659058958
908,1970,estimates,20plus,117.279560681552
908,1970,estimates,20_64,110.068811196564
908,1970,estimates,20_69,112.109301768302
908,1970,estimates,21plus,117.857170655762
908,1970,estimates,25plus,120.314119232467
908,1970,estimates,25_49,104.933179008905
908,1970,estimates,25_64,112.39497970137
908,1970,estimates,25_69,114.601063666883
908,1970,estimates,50plus,144.713337007988
908,1970,estimates,60plus,154.676242275428
908,1970,estimates,65plus,166.08466065498
908,1970,estimates,70plus,182.020909581606
908,1970,estimates,75plus,197.968256319245
908,1970,estimates,80plus,214.557479748824
908,1970,estimates,85plus,229.916324307116
908,1970,estimates,90plus,255.532893386383
908,1975,estimates,total,108.976742286327
908,1975,estimates,0_1,95.303109762242
908,1975,estimates,0_4,95.5383279050797
908,1975,estimates,0_14,95.6217884902903
908,1975,estimates,0_17,95.6115345925285
908,1975,estimates,0_19,95.6496383744223
908,1975,estimates,0_24,95.8856152364613
908,1975,estimates,3_4,95.7496065981768
908,1975,estimates,3_5,95.7727612033009
908,1975,estimates,3_6,95.7840402952709
908,1975,estimates,4_5,95.8025098792614
908,1975,estimates,4_6,95.8075032689079
908,1975,estimates,5_10,95.748845064338
908,1975,estimates,5_11,95.7228873945225
908,1975,estimates,5_14,95.6611711414329
908,1975,estimates,6_9,95.7615433964094
908,1975,estimates,6_10,95.7353682191315
908,1975,estimates,6_11,95.7075903949412
908,1975,estimates,6_12,95.681463752313
908,1975,estimates,7_10,95.7155217530423
908,1975,estimates,7_12,95.6598349741095
