variant,region,year,rateofnaturalincreaseper1000population
estimates,1517,1950,20.466
estimates,1517,1951,20.305
estimates,1517,1952,20.023
estimates,1517,1953,19.823
estimates,1517,1954,19.707
estimates,1517,1955,19.673
estimates,1517,1956,19.724
estimates,1517,1957,19.857
estimates,1517,1958,20.072
estimates,1517,1959,20.366
estimates,1517,1960,20.738
estimates,1517,1961,21.176
estimates,1517,1962,21.666
estimates,1517,1963,22.182
estimates,1517,1964,22.691
estimates,1517,1965,23.146
estimates,1517,1966,23.504
estimates,1517,1967,23.738
estimates,1517,1968,23.835
estimates,1517,1969,23.787
estimates,1517,1970,23.594
estimates,1517,1971,23.264
estimates,1517,1972,22.839
estimates,1517,1973,22.363
estimates,1517,1974,21.871
estimates,1517,1975,21.403
estimates,1517,1976,20.993
estimates,1517,1977,20.658
estimates,1517,1978,20.404
estimates,1517,1979,20.239
estimates,1517,1980,20.171
estimates,1517,1981,20.199
estimates,1517,1982,20.293
estimates,1517,1983,20.414
estimates,1517,1984,20.524
estimates,1517,1985,20.569
estimates,1517,1986,20.493
estimates,1517,1987,20.269
estimates,1517,1988,19.89
estimates,1517,1989,19.362
estimates,1517,1990,18.708
estimates,1517,1991,17.969
estimates,1517,1992,17.206
estimates,1517,1993,16.472
estimates,1517,1994,15.801
estimates,1517,1995,15.217
estimates,1517,1996,14.73
estimates,1517,1997,14.322
estimates,1517,1998,13.977
estimates,1517,1999,13.693
estimates,1517,2000,13.463
estimates,1517,2001,13.283
estimates,1517,2002,13.142
estimates,1517,2003,13.026
estimates,1517,2004,12.927
estimates,1517,2005,12.837
estimates,1517,2006,12.752
estimates,1517,2007,12.67
estimates,1517,2008,12.589
estimates,1517,2009,12.499
estimates,1517,2010,12.392
estimates,1517,2011,12.26
estimates,1517,2012,12.101
estimates,1517,2013,11.914
estimates,1517,2014,11.699
estimates,1517,2015,11.457
medium_variant,1517,2015,11.457
medium_variant,1517,2016,11.193
medium_variant,1517,2017,10.913
medium_variant,1517,2018,10.626
medium_variant,1517,2019,10.336
medium_variant,1517,2020,10.048
medium_variant,1517,2021,9.763
medium_variant,1517,2022,9.482
medium_variant,1517,2023,9.205
medium_variant,1517,2024,8.934
medium_variant,1517,2025,8.671
medium_variant,1517,2026,8.416
medium_variant,1517,2027,8.169
medium_variant,1517,2028,7.93
medium_variant,1517,2029,7.697
medium_variant,1517,2030,7.472
medium_variant,1517,2031,7.254
medium_variant,1517,2032,7.043
medium_variant,1517,2033,6.837
medium_variant,1517,2034,6.637
medium_variant,1517,2035,6.442
medium_variant,1517,2036,6.252
medium_variant,1517,2037,6.067
medium_variant,1517,2038,5.886
medium_variant,1517,2039,5.709
medium_variant,1517,2040,5.534
medium_variant,1517,2041,5.361
medium_variant,1517,2042,5.19
medium_variant,1517,2043,5.018
medium_variant,1517,2044,4.846
medium_variant,1517,2045,4.673
medium_variant,1517,2046,4.5
medium_variant,1517,2047,4.325
medium_variant,1517,2048,4.151
medium_variant,1517,2049,3.977
medium_variant,1517,2050,3.804
medium_variant,1517,2051,3.631
medium_variant,1517,2052,3.461
medium_variant,1517,2053,3.292
medium_variant,1517,2054,3.127
medium_variant,1517,2055,2.966
medium_variant,1517,2056,2.811
medium_variant,1517,2057,2.66
medium_variant,1517,2058,2.515
medium_variant,1517,2059,2.377
medium_variant,1517,2060,2.245
medium_variant,1517,2061,2.119
medium_variant,1517,2062,1.999
medium_variant,1517,2063,1.884
medium_variant,1517,2064,1.774
medium_variant,1517,2065,1.668
medium_variant,1517,2066,1.567
medium_variant,1517,2067,1.47
medium_variant,1517,2068,1.376
medium_variant,1517,2069,1.285
medium_variant,1517,2070,1.197
medium_variant,1517,2071,1.111
medium_variant,1517,2072,1.027
medium_variant,1517,2073,0.945
medium_variant,1517,2074,0.865
medium_variant,1517,2075,0.787
medium_variant,1517,2076,0.712
medium_variant,1517,2077,0.639
medium_variant,1517,2078,0.569
medium_variant,1517,2079,0.503
medium_variant,1517,2080,0.439
medium_variant,1517,2081,0.379
medium_variant,1517,2082,0.321
medium_variant,1517,2083,0.266
medium_variant,1517,2084,0.214
medium_variant,1517,2085,0.163
medium_variant,1517,2086,0.113
medium_variant,1517,2087,0.065
medium_variant,1517,2088,0.018
medium_variant,1517,2089,-0.029
medium_variant,1517,2090,-0.077
medium_variant,1517,2091,-0.124
medium_variant,1517,2092,-0.172
medium_variant,1517,2093,-0.221
medium_variant,1517,2094,-0.27
medium_variant,1517,2095,-0.319
medium_variant,1517,2096,-0.369
medium_variant,1517,2097,-0.419
medium_variant,1517,2098,-0.47
medium_variant,1517,2099,-0.521
