variant,region,year,rateofnaturalincreaseper1000population
estimates,923,1950,13.811
estimates,923,1951,14.188
estimates,923,1952,14.845
estimates,923,1953,15.309
estimates,923,1954,15.582
estimates,923,1955,15.662
estimates,923,1956,15.553
estimates,923,1957,15.259
estimates,923,1958,14.791
estimates,923,1959,14.165
estimates,923,1960,13.403
estimates,923,1961,12.534
estimates,923,1962,11.597
estimates,923,1963,10.637
estimates,923,1964,9.703
estimates,923,1965,8.852
estimates,923,1966,8.132
estimates,923,1967,7.556
estimates,923,1968,7.125
estimates,923,1969,6.839
estimates,923,1970,6.679
estimates,923,1971,6.614
estimates,923,1972,6.596
estimates,923,1973,6.58
estimates,923,1974,6.544
estimates,923,1975,6.47
estimates,923,1976,6.353
estimates,923,1977,6.209
estimates,923,1978,6.049
estimates,923,1979,5.875
estimates,923,1980,5.705
estimates,923,1981,5.563
estimates,923,1982,5.45
estimates,923,1983,5.354
estimates,923,1984,5.249
estimates,923,1985,5.076
estimates,923,1986,4.764
estimates,923,1987,4.273
estimates,923,1988,3.587
estimates,923,1989,2.722
estimates,923,1990,1.717
estimates,923,1991,0.63
estimates,923,1992,-0.456
estimates,923,1993,-1.47
estimates,923,1994,-2.366
estimates,923,1995,-3.116
estimates,923,1996,-3.716
estimates,923,1997,-4.192
estimates,923,1998,-4.565
estimates,923,1999,-4.835
estimates,923,2000,-4.996
estimates,923,2001,-5.04
estimates,923,2002,-4.971
estimates,923,2003,-4.799
estimates,923,2004,-4.541
estimates,923,2005,-4.206
estimates,923,2006,-3.804
estimates,923,2007,-3.354
estimates,923,2008,-2.884
estimates,923,2009,-2.427
estimates,923,2010,-2.02
estimates,923,2011,-1.7
estimates,923,2012,-1.482
estimates,923,2013,-1.371
estimates,923,2014,-1.368
estimates,923,2015,-1.464
medium_variant,923,2015,-1.464
medium_variant,923,2016,-1.638
medium_variant,923,2017,-1.854
medium_variant,923,2018,-2.084
medium_variant,923,2019,-2.311
medium_variant,923,2020,-2.527
medium_variant,923,2021,-2.735
medium_variant,923,2022,-2.942
medium_variant,923,2023,-3.156
medium_variant,923,2024,-3.373
medium_variant,923,2025,-3.59
medium_variant,923,2026,-3.802
medium_variant,923,2027,-4.005
medium_variant,923,2028,-4.195
medium_variant,923,2029,-4.367
medium_variant,923,2030,-4.515
medium_variant,923,2031,-4.636
medium_variant,923,2032,-4.73
medium_variant,923,2033,-4.797
medium_variant,923,2034,-4.838
medium_variant,923,2035,-4.852
medium_variant,923,2036,-4.841
medium_variant,923,2037,-4.808
medium_variant,923,2038,-4.758
medium_variant,923,2039,-4.696
medium_variant,923,2040,-4.628
medium_variant,923,2041,-4.558
medium_variant,923,2042,-4.488
medium_variant,923,2043,-4.423
medium_variant,923,2044,-4.367
medium_variant,923,2045,-4.323
medium_variant,923,2046,-4.293
medium_variant,923,2047,-4.276
medium_variant,923,2048,-4.271
medium_variant,923,2049,-4.279
medium_variant,923,2050,-4.299
medium_variant,923,2051,-4.333
medium_variant,923,2052,-4.378
medium_variant,923,2053,-4.432
medium_variant,923,2054,-4.494
medium_variant,923,2055,-4.561
medium_variant,923,2056,-4.632
medium_variant,923,2057,-4.707
medium_variant,923,2058,-4.781
medium_variant,923,2059,-4.852
medium_variant,923,2060,-4.916
medium_variant,923,2061,-4.969
medium_variant,923,2062,-5.011
medium_variant,923,2063,-5.038
medium_variant,923,2064,-5.049
medium_variant,923,2065,-5.04
medium_variant,923,2066,-5.012
medium_variant,923,2067,-4.964
medium_variant,923,2068,-4.897
medium_variant,923,2069,-4.814
medium_variant,923,2070,-4.713
medium_variant,923,2071,-4.595
medium_variant,923,2072,-4.462
medium_variant,923,2073,-4.317
medium_variant,923,2074,-4.163
medium_variant,923,2075,-4.001
medium_variant,923,2076,-3.833
medium_variant,923,2077,-3.662
medium_variant,923,2078,-3.49
medium_variant,923,2079,-3.321
medium_variant,923,2080,-3.158
medium_variant,923,2081,-3.003
medium_variant,923,2082,-2.859
medium_variant,923,2083,-2.726
medium_variant,923,2084,-2.606
medium_variant,923,2085,-2.502
medium_variant,923,2086,-2.415
medium_variant,923,2087,-2.344
medium_variant,923,2088,-2.289
medium_variant,923,2089,-2.248
medium_variant,923,2090,-2.221
medium_variant,923,2091,-2.206
medium_variant,923,2092,-2.202
medium_variant,923,2093,-2.208
medium_variant,923,2094,-2.223
medium_variant,923,2095,-2.246
medium_variant,923,2096,-2.277
medium_variant,923,2097,-2.317
medium_variant,923,2098,-2.364
medium_variant,923,2099,-2.418
