variant,region,year,rateofnaturalincreaseper1000population
estimates,926,1950,5.762
estimates,926,1951,5.75
estimates,926,1952,5.742
estimates,926,1953,5.768
estimates,926,1954,5.827
estimates,926,1955,5.918
estimates,926,1956,6.039
estimates,926,1957,6.183
estimates,926,1958,6.342
estimates,926,1959,6.498
estimates,926,1960,6.63
estimates,926,1961,6.718
estimates,926,1962,6.737
estimates,926,1963,6.668
estimates,926,1964,6.502
estimates,926,1965,6.226
estimates,926,1966,5.833
estimates,926,1967,5.344
estimates,926,1968,4.784
estimates,926,1969,4.179
estimates,926,1970,3.557
estimates,926,1971,2.944
estimates,926,1972,2.365
estimates,926,1973,1.843
estimates,926,1974,1.399
estimates,926,1975,1.051
estimates,926,1976,0.81
estimates,926,1977,0.663
estimates,926,1978,0.596
estimates,926,1979,0.598
estimates,926,1980,0.656
estimates,926,1981,0.758
estimates,926,1982,0.885
estimates,926,1983,1.02
estimates,926,1984,1.145
estimates,926,1985,1.247
estimates,926,1986,1.313
estimates,926,1987,1.345
estimates,926,1988,1.348
estimates,926,1989,1.322
estimates,926,1990,1.276
estimates,926,1991,1.218
estimates,926,1992,1.16
estimates,926,1993,1.112
estimates,926,1994,1.078
estimates,926,1995,1.059
estimates,926,1996,1.052
estimates,926,1997,1.05
estimates,926,1998,1.047
estimates,926,1999,1.042
estimates,926,2000,1.034
estimates,926,2001,1.026
estimates,926,2002,1.019
estimates,926,2003,1.013
estimates,926,2004,1.005
estimates,926,2005,0.993
estimates,926,2006,0.97
estimates,926,2007,0.933
estimates,926,2008,0.882
estimates,926,2009,0.817
estimates,926,2010,0.742
estimates,926,2011,0.66
estimates,926,2012,0.578
estimates,926,2013,0.499
estimates,926,2014,0.428
estimates,926,2015,0.363
medium_variant,926,2015,0.363
medium_variant,926,2016,0.306
medium_variant,926,2017,0.252
medium_variant,926,2018,0.199
medium_variant,926,2019,0.146
medium_variant,926,2020,0.09
medium_variant,926,2021,0.032
medium_variant,926,2022,-0.03
medium_variant,926,2023,-0.096
medium_variant,926,2024,-0.166
medium_variant,926,2025,-0.241
medium_variant,926,2026,-0.32
medium_variant,926,2027,-0.403
medium_variant,926,2028,-0.488
medium_variant,926,2029,-0.577
medium_variant,926,2030,-0.668
medium_variant,926,2031,-0.762
medium_variant,926,2032,-0.859
medium_variant,926,2033,-0.96
medium_variant,926,2034,-1.063
medium_variant,926,2035,-1.17
medium_variant,926,2036,-1.279
medium_variant,926,2037,-1.392
medium_variant,926,2038,-1.506
medium_variant,926,2039,-1.621
medium_variant,926,2040,-1.736
medium_variant,926,2041,-1.85
medium_variant,926,2042,-1.964
medium_variant,926,2043,-2.074
medium_variant,926,2044,-2.18
medium_variant,926,2045,-2.28
medium_variant,926,2046,-2.372
medium_variant,926,2047,-2.456
medium_variant,926,2048,-2.53
medium_variant,926,2049,-2.595
medium_variant,926,2050,-2.648
medium_variant,926,2051,-2.69
medium_variant,926,2052,-2.721
medium_variant,926,2053,-2.742
medium_variant,926,2054,-2.751
medium_variant,926,2055,-2.749
medium_variant,926,2056,-2.734
medium_variant,926,2057,-2.706
medium_variant,926,2058,-2.667
medium_variant,926,2059,-2.616
medium_variant,926,2060,-2.557
medium_variant,926,2061,-2.488
medium_variant,926,2062,-2.413
medium_variant,926,2063,-2.334
medium_variant,926,2064,-2.255
medium_variant,926,2065,-2.177
medium_variant,926,2066,-2.104
medium_variant,926,2067,-2.037
medium_variant,926,2068,-1.977
medium_variant,926,2069,-1.925
medium_variant,926,2070,-1.883
medium_variant,926,2071,-1.851
medium_variant,926,2072,-1.829
medium_variant,926,2073,-1.814
medium_variant,926,2074,-1.805
medium_variant,926,2075,-1.801
medium_variant,926,2076,-1.8
medium_variant,926,2077,-1.802
medium_variant,926,2078,-1.803
medium_variant,926,2079,-1.803
medium_variant,926,2080,-1.798
medium_variant,926,2081,-1.786
medium_variant,926,2082,-1.768
medium_variant,926,2083,-1.743
medium_variant,926,2084,-1.711
medium_variant,926,2085,-1.673
medium_variant,926,2086,-1.63
medium_variant,926,2087,-1.584
medium_variant,926,2088,-1.536
medium_variant,926,2089,-1.489
medium_variant,926,2090,-1.444
medium_variant,926,2091,-1.403
medium_variant,926,2092,-1.365
medium_variant,926,2093,-1.332
medium_variant,926,2094,-1.304
medium_variant,926,2095,-1.28
medium_variant,926,2096,-1.262
medium_variant,926,2097,-1.248
medium_variant,926,2098,-1.24
medium_variant,926,2099,-1.237
