variant,region,year,rateofnaturalincreaseper1000population
estimates,912,1950,25.526
estimates,912,1951,25.801
estimates,912,1952,26.324
estimates,912,1953,26.797
estimates,912,1954,27.218
estimates,912,1955,27.588
estimates,912,1956,27.907
estimates,912,1957,28.176
estimates,912,1958,28.397
estimates,912,1959,28.573
estimates,912,1960,28.705
estimates,912,1961,28.799
estimates,912,1962,28.858
estimates,912,1963,28.887
estimates,912,1964,28.89
estimates,912,1965,28.863
estimates,912,1966,28.8
estimates,912,1967,28.7
estimates,912,1968,28.569
estimates,912,1969,28.419
estimates,912,1970,28.272
estimates,912,1971,28.148
estimates,912,1972,28.065
estimates,912,1973,28.03
estimates,912,1974,28.046
estimates,912,1975,28.113
estimates,912,1976,28.223
estimates,912,1977,28.356
estimates,912,1978,28.487
estimates,912,1979,28.597
estimates,912,1980,28.669
estimates,912,1981,28.692
estimates,912,1982,28.657
estimates,912,1983,28.554
estimates,912,1984,28.37
estimates,912,1985,28.086
estimates,912,1986,27.682
estimates,912,1987,27.162
estimates,912,1988,26.538
estimates,912,1989,25.825
estimates,912,1990,25.038
estimates,912,1991,24.197
estimates,912,1992,23.331
estimates,912,1993,22.474
estimates,912,1994,21.658
estimates,912,1995,20.914
estimates,912,1996,20.269
estimates,912,1997,19.726
estimates,912,1998,19.288
estimates,912,1999,18.961
estimates,912,2000,18.742
estimates,912,2001,18.62
estimates,912,2002,18.577
estimates,912,2003,18.593
estimates,912,2004,18.659
estimates,912,2005,18.788
estimates,912,2006,19.001
estimates,912,2007,19.299
estimates,912,2008,19.665
estimates,912,2009,20.063
estimates,912,2010,20.429
estimates,912,2011,20.694
estimates,912,2012,20.81
estimates,912,2013,20.747
estimates,912,2014,20.502
estimates,912,2015,20.088
medium_variant,912,2015,20.088
medium_variant,912,2016,19.547
medium_variant,912,2017,18.943
medium_variant,912,2018,18.334
medium_variant,912,2019,17.753
medium_variant,912,2020,17.219
medium_variant,912,2021,16.738
medium_variant,912,2022,16.292
medium_variant,912,2023,15.871
medium_variant,912,2024,15.476
medium_variant,912,2025,15.113
medium_variant,912,2026,14.784
medium_variant,912,2027,14.488
medium_variant,912,2028,14.224
medium_variant,912,2029,13.987
medium_variant,912,2030,13.777
medium_variant,912,2031,13.592
medium_variant,912,2032,13.426
medium_variant,912,2033,13.273
medium_variant,912,2034,13.127
medium_variant,912,2035,12.982
medium_variant,912,2036,12.832
medium_variant,912,2037,12.675
medium_variant,912,2038,12.509
medium_variant,912,2039,12.33
medium_variant,912,2040,12.138
medium_variant,912,2041,11.932
medium_variant,912,2042,11.715
medium_variant,912,2043,11.49
medium_variant,912,2044,11.258
medium_variant,912,2045,11.02
medium_variant,912,2046,10.777
medium_variant,912,2047,10.528
medium_variant,912,2048,10.276
medium_variant,912,2049,10.022
medium_variant,912,2050,9.768
medium_variant,912,2051,9.515
medium_variant,912,2052,9.263
medium_variant,912,2053,9.016
medium_variant,912,2054,8.773
medium_variant,912,2055,8.537
medium_variant,912,2056,8.309
medium_variant,912,2057,8.09
medium_variant,912,2058,7.88
medium_variant,912,2059,7.678
medium_variant,912,2060,7.484
medium_variant,912,2061,7.298
medium_variant,912,2062,7.119
medium_variant,912,2063,6.946
medium_variant,912,2064,6.777
medium_variant,912,2065,6.611
medium_variant,912,2066,6.449
medium_variant,912,2067,6.291
medium_variant,912,2068,6.135
medium_variant,912,2069,5.982
medium_variant,912,2070,5.832
medium_variant,912,2071,5.685
medium_variant,912,2072,5.54
medium_variant,912,2073,5.398
medium_variant,912,2074,5.259
medium_variant,912,2075,5.123
medium_variant,912,2076,4.989
medium_variant,912,2077,4.859
medium_variant,912,2078,4.73
medium_variant,912,2079,4.605
medium_variant,912,2080,4.481
medium_variant,912,2081,4.359
medium_variant,912,2082,4.239
medium_variant,912,2083,4.12
medium_variant,912,2084,4.001
medium_variant,912,2085,3.882
medium_variant,912,2086,3.762
medium_variant,912,2087,3.641
medium_variant,912,2088,3.518
medium_variant,912,2089,3.394
medium_variant,912,2090,3.268
medium_variant,912,2091,3.14
medium_variant,912,2092,3.011
medium_variant,912,2093,2.881
medium_variant,912,2094,2.75
medium_variant,912,2095,2.618
medium_variant,912,2096,2.486
medium_variant,912,2097,2.354
medium_variant,912,2098,2.221
medium_variant,912,2099,2.088
