global,year,variant,gender,freq,agebroad,totaldeaths
900,1950,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1950,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1950,estimates,female,5yearly,0_4,48411.143
900,1950,estimates,male,5yearly,0_4,53932.422
900,1950,estimates,female,5yearly,0_14,54924.696
900,1950,estimates,male,5yearly,0_14,60928.499
900,1950,estimates,female,5yearly,0_19,57502.295
900,1950,estimates,male,5yearly,0_19,63929.754
900,1950,estimates,female,5yearly,0_24,60442.938
900,1950,estimates,male,5yearly,0_24,67381.479
900,1950,estimates,female,5yearly,5_14,6513.553
900,1950,estimates,male,5yearly,5_14,6996.077
900,1950,estimates,female,5yearly,15plus,66198.786
900,1950,estimates,male,5yearly,15plus,71375.81
900,1950,estimates,female,5yearly,15_24,5518.242
900,1950,estimates,male,5yearly,15_24,6452.98
900,1950,estimates,female,5yearly,15_49,22440.072
900,1950,estimates,male,5yearly,15_49,25485.518
900,1950,estimates,female,5yearly,15_59,31036.685
900,1950,estimates,male,5yearly,15_59,37230.535
900,1950,estimates,female,5yearly,15_64,36960.448
900,1950,estimates,male,5yearly,15_64,44467.944
900,1950,estimates,female,5yearly,20plus,63621.187
900,1950,estimates,male,5yearly,20plus,68374.555
900,1950,estimates,female,5yearly,20_64,34382.849
900,1950,estimates,male,5yearly,20_64,41466.689
900,1950,estimates,female,5yearly,20_69,41289.73
900,1950,estimates,male,5yearly,20_69,49101.289
900,1950,estimates,female,5yearly,25plus,60680.544
900,1950,estimates,male,5yearly,25plus,64922.83
900,1950,estimates,female,5yearly,25_69,38349.087
900,1950,estimates,male,5yearly,25_69,45649.564
900,1950,estimates,female,5yearly,40plus,51141.894
900,1950,estimates,male,5yearly,40plus,54877.375
900,1950,estimates,female,5yearly,50plus,43758.714
900,1950,estimates,male,5yearly,50plus,45890.292
900,1950,estimates,female,5yearly,60plus,35162.101
900,1950,estimates,male,5yearly,60plus,34145.275
900,1950,estimates,female,5yearly,65plus,29238.338
900,1950,estimates,male,5yearly,65plus,26907.866
900,1950,estimates,female,5yearly,70plus,22331.457
900,1950,estimates,male,5yearly,70plus,19273.266
900,1950,estimates,female,5yearly,80plus,8365.221
900,1950,estimates,male,5yearly,80plus,6040.984
900,1950,estimates,female,5yearly,90plus,1228.202
900,1950,estimates,male,5yearly,90plus,666.027
900,1955,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1955,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1955,estimates,female,5yearly,0_4,47284.296
900,1955,estimates,male,5yearly,0_4,52737.7890000001
900,1955,estimates,female,5yearly,0_14,53815.12
900,1955,estimates,male,5yearly,0_14,59557.6900000001
900,1955,estimates,female,5yearly,0_19,56114.51
900,1955,estimates,male,5yearly,0_19,62287.6990000001
900,1955,estimates,female,5yearly,0_24,58789.95
900,1955,estimates,male,5yearly,0_24,65492.4720000001
900,1955,estimates,female,5yearly,5_14,6530.824
900,1955,estimates,male,5yearly,5_14,6819.901
900,1955,estimates,female,5yearly,15plus,66601.022
900,1955,estimates,male,5yearly,15plus,72536.149
900,1955,estimates,female,5yearly,15_24,4974.83
900,1955,estimates,male,5yearly,15_24,5934.782
900,1955,estimates,female,5yearly,15_49,20926.922
900,1955,estimates,male,5yearly,15_49,24151.833
900,1955,estimates,female,5yearly,15_59,29757.762
900,1955,estimates,male,5yearly,15_59,36588.368
900,1955,estimates,female,5yearly,15_64,35673.942
900,1955,estimates,male,5yearly,15_64,44137.802
900,1955,estimates,female,5yearly,20plus,64301.632
900,1955,estimates,male,5yearly,20plus,69806.14
900,1955,estimates,female,5yearly,20_64,33374.552
900,1955,estimates,male,5yearly,20_64,41407.793
900,1955,estimates,female,5yearly,20_69,40339.103
900,1955,estimates,male,5yearly,20_69,49358.577
900,1955,estimates,female,5yearly,25plus,61626.192
900,1955,estimates,male,5yearly,25plus,66601.367
900,1955,estimates,female,5yearly,25_69,37663.663
900,1955,estimates,male,5yearly,25_69,46153.804
900,1955,estimates,female,5yearly,40plus,52581.209
900,1955,estimates,male,5yearly,40plus,56965.803
900,1955,estimates,female,5yearly,50plus,45674.1
900,1955,estimates,male,5yearly,50plus,48384.316
900,1955,estimates,female,5yearly,60plus,36843.26
900,1955,estimates,male,5yearly,60plus,35947.781
900,1955,estimates,female,5yearly,65plus,30927.08
900,1955,estimates,male,5yearly,65plus,28398.347
900,1955,estimates,female,5yearly,70plus,23962.529
900,1955,estimates,male,5yearly,70plus,20447.563
900,1955,estimates,female,5yearly,80plus,9234.514
900,1955,estimates,male,5yearly,80plus,6495.412
900,1955,estimates,female,5yearly,90plus,1238.881
900,1955,estimates,male,5yearly,90plus,652.624
900,1960,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1960,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1960,estimates,female,5yearly,0_4,48431.014
900,1960,estimates,male,5yearly,0_4,53679.441
900,1960,estimates,female,5yearly,0_14,55429.944
900,1960,estimates,male,5yearly,0_14,61001.544
900,1960,estimates,female,5yearly,0_19,57641.97
900,1960,estimates,male,5yearly,0_19,63631.302
900,1960,estimates,female,5yearly,0_24,60086.369
900,1960,estimates,male,5yearly,0_24,66530.208
900,1960,estimates,female,5yearly,5_14,6998.93
900,1960,estimates,male,5yearly,5_14,7322.103
900,1960,estimates,female,5yearly,15plus,67375.303
900,1960,estimates,male,5yearly,15plus,73376.984
900,1960,estimates,female,5yearly,15_24,4656.425
900,1960,estimates,male,5yearly,15_24,5528.664
900,1960,estimates,female,5yearly,15_49,20069.507
900,1960,estimates,male,5yearly,15_49,23319.505
900,1960,estimates,female,5yearly,15_59,29099.161
900,1960,estimates,male,5yearly,15_59,36166.439
900,1960,estimates,female,5yearly,15_64,35244.152
900,1960,estimates,male,5yearly,15_64,44122.524
900,1960,estimates,female,5yearly,20plus,65163.277
900,1960,estimates,male,5yearly,20plus,70747.226
900,1960,estimates,female,5yearly,20_64,33032.126
900,1960,estimates,male,5yearly,20_64,41492.766
900,1960,estimates,female,5yearly,20_69,40127.767
900,1960,estimates,male,5yearly,20_69,49707.062
900,1960,estimates,female,5yearly,25plus,62718.878
900,1960,estimates,male,5yearly,25plus,67848.32
900,1960,estimates,female,5yearly,25_69,37683.368
900,1960,estimates,male,5yearly,25_69,46808.156
900,1960,estimates,female,5yearly,40plus,54030.318
900,1960,estimates,male,5yearly,40plus,58519.572
900,1960,estimates,female,5yearly,50plus,47305.796
900,1960,estimates,male,5yearly,50plus,50057.479
900,1960,estimates,female,5yearly,60plus,38276.142
900,1960,estimates,male,5yearly,60plus,37210.545
900,1960,estimates,female,5yearly,65plus,32131.151
900,1960,estimates,male,5yearly,65plus,29254.46
900,1960,estimates,female,5yearly,70plus,25035.51
900,1960,estimates,male,5yearly,70plus,21040.164
900,1960,estimates,female,5yearly,80plus,9995.52
900,1960,estimates,male,5yearly,80plus,6848.319
900,1960,estimates,female,5yearly,90plus,1414.191
900,1960,estimates,male,5yearly,90plus,734.304
900,1965,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1965,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1965,estimates,female,5yearly,0_4,43027.793
900,1965,estimates,male,5yearly,0_4,49679.266
900,1965,estimates,female,5yearly,0_14,48635.508
900,1965,estimates,male,5yearly,0_14,55553.052
900,1965,estimates,female,5yearly,0_19,50582.788
900,1965,estimates,male,5yearly,0_19,57829.531
900,1965,estimates,female,5yearly,0_24,52654.493
900,1965,estimates,male,5yearly,0_24,60291.47
900,1965,estimates,female,5yearly,5_14,5607.715
900,1965,estimates,male,5yearly,5_14,5873.786
900,1965,estimates,female,5yearly,15plus,64150.531
900,1965,estimates,male,5yearly,15plus,69101.129
900,1965,estimates,female,5yearly,15_24,4018.985
900,1965,estimates,male,5yearly,15_24,4738.418
900,1965,estimates,female,5yearly,15_49,17064.587
900,1965,estimates,male,5yearly,15_49,20304.407
900,1965,estimates,female,5yearly,15_59,25385.632
900,1965,estimates,male,5yearly,15_59,31455.456
900,1965,estimates,female,5yearly,15_64,31124.59
900,1965,estimates,male,5yearly,15_64,39070.541
900,1965,estimates,female,5yearly,20plus,62203.251
900,1965,estimates,male,5yearly,20plus,66824.65
900,1965,estimates,female,5yearly,20_64,29177.31
900,1965,estimates,male,5yearly,20_64,36794.062
900,1965,estimates,female,5yearly,20_69,35933.172
900,1965,estimates,male,5yearly,20_69,45007.977
900,1965,estimates,female,5yearly,25plus,60131.546
900,1965,estimates,male,5yearly,25plus,64362.711
900,1965,estimates,female,5yearly,25_69,33861.467
900,1965,estimates,male,5yearly,25_69,42546.038
900,1965,estimates,female,5yearly,40plus,52991.447
900,1965,estimates,male,5yearly,40plus,56218.676
900,1965,estimates,female,5yearly,50plus,47085.944
900,1965,estimates,male,5yearly,50plus,48796.722
900,1965,estimates,female,5yearly,60plus,38764.899
900,1965,estimates,male,5yearly,60plus,37645.673
900,1965,estimates,female,5yearly,65plus,33025.941
900,1965,estimates,male,5yearly,65plus,30030.588
900,1965,estimates,female,5yearly,70plus,26270.079
900,1965,estimates,male,5yearly,70plus,21816.673
900,1965,estimates,female,5yearly,80plus,11351.633
900,1965,estimates,male,5yearly,80plus,7530.828
900,1965,estimates,female,5yearly,90plus,1724.299
900,1965,estimates,male,5yearly,90plus,865.259
900,1970,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1970,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1970,estimates,female,5yearly,0_4,39807.446
900,1970,estimates,male,5yearly,0_4,44607.347
900,1970,estimates,female,5yearly,0_14,45201.293
900,1970,estimates,male,5yearly,0_14,50255.966
900,1970,estimates,female,5yearly,0_19,47033.875
900,1970,estimates,male,5yearly,0_19,52408.64
900,1970,estimates,female,5yearly,0_24,49036.088
900,1970,estimates,male,5yearly,0_24,54809.95
900,1970,estimates,female,5yearly,5_14,5393.847
900,1970,estimates,male,5yearly,5_14,5648.619
900,1970,estimates,female,5yearly,15plus,65637.911
900,1970,estimates,male,5yearly,15plus,71489.858
900,1970,estimates,female,5yearly,15_24,3834.795
900,1970,estimates,male,5yearly,15_24,4553.984
900,1970,estimates,female,5yearly,15_49,15140.246
900,1970,estimates,male,5yearly,15_49,19016.661
900,1970,estimates,female,5yearly,15_59,22911.171
900,1970,estimates,male,5yearly,15_59,30056.029
900,1970,estimates,female,5yearly,15_64,28716.251
900,1970,estimates,male,5yearly,15_64,37938.681
900,1970,estimates,female,5yearly,20plus,63805.329
900,1970,estimates,male,5yearly,20plus,69337.184
900,1970,estimates,female,5yearly,20_64,26883.669
900,1970,estimates,male,5yearly,20_64,35786.007
900,1970,estimates,female,5yearly,20_69,34051.877
900,1970,estimates,male,5yearly,20_69,44647.746
900,1970,estimates,female,5yearly,25plus,61803.116
900,1970,estimates,male,5yearly,25plus,66935.874
900,1970,estimates,female,5yearly,25_69,32049.664
900,1970,estimates,male,5yearly,25_69,42246.436
900,1970,estimates,female,5yearly,40plus,55736.542
900,1970,estimates,male,5yearly,40plus,59729.547
900,1970,estimates,female,5yearly,50plus,50497.665
900,1970,estimates,male,5yearly,50plus,52473.197
900,1970,estimates,female,5yearly,60plus,42726.74
900,1970,estimates,male,5yearly,60plus,41433.829
900,1970,estimates,female,5yearly,65plus,36921.66
900,1970,estimates,male,5yearly,65plus,33551.177
900,1970,estimates,female,5yearly,70plus,29753.452
