region,variant,freq,year,netreporductionrate
923,Estimates,5yearly,1950,1.21300888042569
923,Estimates,5yearly,1955,1.25006026146947
923,Estimates,5yearly,1960,1.11622880916617
923,Estimates,5yearly,1965,0.99532128878873
923,Estimates,5yearly,1970,1.00069982819054
923,Estimates,5yearly,1975,0.971095253196624
923,Estimates,5yearly,1980,0.980816007271474
923,Estimates,5yearly,1985,0.980192376194308
923,Estimates,5yearly,1990,0.770258499567996
923,Estimates,5yearly,1995,0.611960910279976
923,Estimates,5yearly,2000,0.596825919359857
923,Estimates,5yearly,2005,0.672522720983221
923,Estimates,5yearly,2010,0.739411860537108
923,Constant_fertility,5yearly,2015,0.740167164277212
923,Constant_mortality,5yearly,2015,0.760289549722931
923,High_variant,5yearly,2015,0.880422569183299
923,Instant_replacement,5yearly,2015,1
923,Low_variant,5yearly,2015,0.641832654653968
923,Medium_variant,5yearly,2015,0.761320524706
923,No_change,5yearly,2015,0.740239598024906
923,Zero_migration,5yearly,2015,0.76116269882921
923,Constant_fertility,5yearly,2020,0.74112541683195
923,Constant_mortality,5yearly,2020,0.77984724455922
923,High_variant,5yearly,2020,0.972956900446642
923,Instant_replacement,5yearly,2020,1
923,Low_variant,5yearly,2020,0.590802982266085
923,Medium_variant,5yearly,2020,0.782153507447185
923,No_change,5yearly,2020,0.740602769072885
923,Zero_migration,5yearly,2020,0.781709716091235
923,Constant_fertility,5yearly,2025,0.742586326998231
923,Constant_mortality,5yearly,2025,0.798746692861157
923,High_variant,5yearly,2025,1.04087777984842
923,Instant_replacement,5yearly,2025,1
923,Low_variant,5yearly,2025,0.562703176111472
923,Medium_variant,5yearly,2025,0.802040216083651
923,No_change,5yearly,2025,0.74131469825516
923,Zero_migration,5yearly,2025,0.801404941144839
923,Constant_fertility,5yearly,2030,0.744430610513282
923,Constant_mortality,5yearly,2030,0.815484061923005
923,High_variant,5yearly,2030,1.05881269600328
923,Instant_replacement,5yearly,2030,1
923,Low_variant,5yearly,2030,0.579960600038464
923,Medium_variant,5yearly,2030,0.819444956426806
923,No_change,5yearly,2030,0.742217196997366
923,Zero_migration,5yearly,2030,0.818633054597775
923,Constant_fertility,5yearly,2035,0.745449758816582
923,Constant_mortality,5yearly,2035,0.828892113481747
923,High_variant,5yearly,2035,1.07323447372563
923,Instant_replacement,5yearly,2035,1
923,Low_variant,5yearly,2035,0.594828565943744
923,Medium_variant,5yearly,2035,0.834171466292293
923,No_change,5yearly,2035,0.74263997756998
923,Zero_migration,5yearly,2035,0.833162612078145
923,Constant_fertility,5yearly,2040,0.746613497349401
923,Constant_mortality,5yearly,2040,0.840812068360353
923,High_variant,5yearly,2040,1.08582403277439
923,Instant_replacement,5yearly,2040,1
923,Low_variant,5yearly,2040,0.607028468703866
923,Medium_variant,5yearly,2040,0.846361214523974
923,No_change,5yearly,2040,0.743171642417982
923,Zero_migration,5yearly,2040,0.845204918781966
923,Constant_fertility,5yearly,2045,0.74807107675876
923,Constant_mortality,5yearly,2045,0.85039874528736
923,High_variant,5yearly,2045,1.09651749475178
923,Instant_replacement,5yearly,2045,1
923,Low_variant,5yearly,2045,0.617703909978863
923,Medium_variant,5yearly,2045,0.856924326557653
923,No_change,5yearly,2045,0.744337431510514
923,Zero_migration,5yearly,2045,0.855714819710997
923,Constant_fertility,5yearly,2050,0.749905469015952
923,Constant_mortality,5yearly,2050,0.858948736629818
923,High_variant,5yearly,2050,1.10581561324787
923,Instant_replacement,5yearly,2050,1
923,Low_variant,5yearly,2050,0.6266259754892
923,Medium_variant,5yearly,2050,0.866058593566035
923,No_change,5yearly,2050,0.745486206369068
923,Zero_migration,5yearly,2050,0.864823891467328
923,Constant_fertility,5yearly,2055,0.751099486467934
923,Constant_mortality,5yearly,2055,0.865465485934142
923,High_variant,5yearly,2055,1.11300527346272
923,Instant_replacement,5yearly,2055,1
923,Low_variant,5yearly,2055,0.634088734506007
923,Medium_variant,5yearly,2055,0.873345306226653
923,No_change,5yearly,2055,0.746520017951472
923,Zero_migration,5yearly,2055,0.872106077380185
923,Constant_fertility,5yearly,2060,0.752662598763622
923,Constant_mortality,5yearly,2060,0.871011409891186
923,High_variant,5yearly,2060,1.11874475097665
923,Instant_replacement,5yearly,2060,1
923,Low_variant,5yearly,2060,0.640055765901401
923,Medium_variant,5yearly,2060,0.879135129186851
923,No_change,5yearly,2060,0.747434052479645
923,Zero_migration,5yearly,2060,0.877864320444172
923,Constant_fertility,5yearly,2065,0.753487958134966
923,Constant_mortality,5yearly,2065,0.876074644203234
923,High_variant,5yearly,2065,1.12457986299381
923,Instant_replacement,5yearly,2065,1
923,Low_variant,5yearly,2065,0.645926654876833
923,Medium_variant,5yearly,2065,0.885045323928016
923,No_change,5yearly,2065,0.748150153132985
923,Zero_migration,5yearly,2065,0.883722001705637
923,Constant_fertility,5yearly,2070,0.755186185575147
923,Constant_mortality,5yearly,2070,0.879815034464129
923,High_variant,5yearly,2070,1.12923046916184
923,Instant_replacement,5yearly,2070,1
923,Low_variant,5yearly,2070,0.65005284958702
923,Medium_variant,5yearly,2070,0.889007206421378
923,No_change,5yearly,2070,0.748995917500445
923,Zero_migration,5yearly,2070,0.887673748476962
923,Constant_fertility,5yearly,2075,0.756204700335019
923,Constant_mortality,5yearly,2075,0.882757499643542
923,High_variant,5yearly,2075,1.13283004017103
923,Instant_replacement,5yearly,2075,1
923,Low_variant,5yearly,2075,0.653692737578466
923,Medium_variant,5yearly,2075,0.892657366367865
923,No_change,5yearly,2075,0.749928260707187
923,Zero_migration,5yearly,2075,0.891322852885023
