continent,variant,freq,year,under5mortalityper1000livebirth
905,estimates,5yearly,1950,36.0761815672666
905,estimates,5yearly,1955,32.0279336356491
905,estimates,5yearly,1960,29.2277707960959
905,estimates,5yearly,1965,25.7756064661935
905,estimates,5yearly,1970,20.8033208370993
905,estimates,5yearly,1975,16.5360828446756
905,estimates,5yearly,1980,13.4235989524706
905,estimates,5yearly,1985,12.0237101895082
905,estimates,5yearly,1990,10.1860126921159
905,estimates,5yearly,1995,8.65286613097664
905,estimates,5yearly,2000,8.08662254478646
905,estimates,5yearly,2005,7.75921178237245
905,estimates,5yearly,2010,6.8540304883441
905,medium_variant,5yearly,2015,5.99159042662101
905,medium_variant,5yearly,2020,5.18890364513766
905,medium_variant,5yearly,2025,4.52932974486906
905,medium_variant,5yearly,2030,3.97305493771052
905,medium_variant,5yearly,2035,3.49404797727423
905,medium_variant,5yearly,2040,3.09170043393989
905,medium_variant,5yearly,2045,2.75710322731689
905,medium_variant,5yearly,2050,2.48632510268197
905,medium_variant,5yearly,2055,2.25778842215026
905,medium_variant,5yearly,2060,2.06389552624799
905,medium_variant,5yearly,2065,1.88585605739921
905,medium_variant,5yearly,2070,1.73118461723506
905,medium_variant,5yearly,2075,1.5862316338059
905,medium_variant,5yearly,2080,1.45270840745771
905,medium_variant,5yearly,2085,1.33079429615657
905,medium_variant,5yearly,2090,1.21450788785758
905,medium_variant,5yearly,2095,1.11022377215929
905,estimates,5yearly,Regi,NORTHERN AMERICA
905,medium_variant,5yearly,Regi,NORTHERN AMERICA
