continent,variant,freq,year,under5mortalityper1000livebirth
909,estimates,5yearly,1950,86.7531266543198
909,estimates,5yearly,1955,76.6551998610419
909,estimates,5yearly,1960,69.6443743964706
909,estimates,5yearly,1965,62.069572228566
909,estimates,5yearly,1970,55.6189712780034
909,estimates,5yearly,1975,51.5033898438448
909,estimates,5yearly,1980,44.835129026036
909,estimates,5yearly,1985,41.2321293060148
909,estimates,5yearly,1990,36.7622059485263
909,estimates,5yearly,1995,35.0386919091411
909,estimates,5yearly,2000,32.5201695775211
909,estimates,5yearly,2005,28.56126525093
909,estimates,5yearly,2010,26.3674692426068
909,medium_variant,5yearly,2015,24.0125781126933
909,medium_variant,5yearly,2020,22.2273431886313
909,medium_variant,5yearly,2025,20.7350779003305
909,medium_variant,5yearly,2030,19.1104557729047
909,medium_variant,5yearly,2035,17.4464467749067
909,medium_variant,5yearly,2040,15.7591089111348
909,medium_variant,5yearly,2045,14.2831754119133
909,medium_variant,5yearly,2050,13.0555989230924
909,medium_variant,5yearly,2055,11.9813951885978
909,medium_variant,5yearly,2060,10.9122385967803
909,medium_variant,5yearly,2065,9.91265641614712
909,medium_variant,5yearly,2070,8.94823027135542
909,medium_variant,5yearly,2075,8.03068020170454
909,medium_variant,5yearly,2080,7.31067992894743
909,medium_variant,5yearly,2085,6.65449831645774
909,medium_variant,5yearly,2090,6.05191565235405
909,medium_variant,5yearly,2095,5.47051119011439
