variant,continent,year,potentialsupport2569_70
estimates,909,1950,10.76
estimates,909,1951,10.582
estimates,909,1952,10.454
estimates,909,1953,10.367
estimates,909,1954,10.311
estimates,909,1955,10.276
estimates,909,1956,10.052
estimates,909,1957,9.865
estimates,909,1958,9.717
estimates,909,1959,9.615
estimates,909,1960,9.56
estimates,909,1961,9.419
estimates,909,1962,9.333
estimates,909,1963,9.293
estimates,909,1964,9.287
estimates,909,1965,9.308
estimates,909,1966,9.287
estimates,909,1967,9.305
estimates,909,1968,9.361
estimates,909,1969,9.455
estimates,909,1970,9.585
estimates,909,1971,9.506
estimates,909,1972,9.463
estimates,909,1973,9.438
estimates,909,1974,9.415
estimates,909,1975,9.39
estimates,909,1976,9.24
estimates,909,1977,9.111
estimates,909,1978,8.999
estimates,909,1979,8.898
estimates,909,1980,8.803
estimates,909,1981,8.65
estimates,909,1982,8.512
estimates,909,1983,8.394
estimates,909,1984,8.303
estimates,909,1985,8.239
estimates,909,1986,8.167
estimates,909,1987,8.124
estimates,909,1988,8.092
estimates,909,1989,8.053
estimates,909,1990,7.995
estimates,909,1991,7.869
estimates,909,1992,7.741
estimates,909,1993,7.618
estimates,909,1994,7.512
estimates,909,1995,7.429
estimates,909,1996,7.34
estimates,909,1997,7.27
estimates,909,1998,7.214
estimates,909,1999,7.171
estimates,909,2000,7.135
estimates,909,2001,7.093
estimates,909,2002,7.062
estimates,909,2003,7.035
estimates,909,2004,7.007
estimates,909,2005,6.978
estimates,909,2006,6.942
estimates,909,2007,6.904
estimates,909,2008,6.864
estimates,909,2009,6.822
estimates,909,2010,6.772
estimates,909,2011,6.705
estimates,909,2012,6.633
estimates,909,2013,6.547
estimates,909,2014,6.437
estimates,909,2015,6.304
medium_variant,909,2015,6.304
medium_variant,909,2016,6.148
medium_variant,909,2017,5.978
medium_variant,909,2018,5.806
medium_variant,909,2019,5.646
medium_variant,909,2020,5.502
medium_variant,909,2021,5.37
medium_variant,909,2022,5.248
medium_variant,909,2023,5.131
medium_variant,909,2024,5.015
medium_variant,909,2025,4.896
medium_variant,909,2026,4.783
medium_variant,909,2027,4.671
medium_variant,909,2028,4.559
medium_variant,909,2029,4.451
medium_variant,909,2030,4.349
medium_variant,909,2031,4.262
medium_variant,909,2032,4.179
medium_variant,909,2033,4.101
medium_variant,909,2034,4.031
medium_variant,909,2035,3.968
medium_variant,909,2036,3.925
medium_variant,909,2037,3.888
medium_variant,909,2038,3.853
medium_variant,909,2039,3.815
medium_variant,909,2040,3.774
medium_variant,909,2041,3.742
medium_variant,909,2042,3.704
medium_variant,909,2043,3.665
medium_variant,909,2044,3.633
medium_variant,909,2045,3.608
medium_variant,909,2046,3.598
medium_variant,909,2047,3.593
medium_variant,909,2048,3.588
medium_variant,909,2049,3.575
medium_variant,909,2050,3.554
medium_variant,909,2051,3.535
medium_variant,909,2052,3.507
medium_variant,909,2053,3.471
medium_variant,909,2054,3.433
medium_variant,909,2055,3.395
medium_variant,909,2056,3.366
medium_variant,909,2057,3.333
medium_variant,909,2058,3.3
medium_variant,909,2059,3.266
medium_variant,909,2060,3.232
medium_variant,909,2061,3.205
