region,variant,freq,year,birthper1000population
957,estimates,5yearly,1950,47.639
957,estimates,5yearly,1955,46.625
957,estimates,5yearly,1960,44.481
957,estimates,5yearly,1965,40.41
957,estimates,5yearly,1970,36.147
957,estimates,5yearly,1975,34.315
957,estimates,5yearly,1980,33.478
957,estimates,5yearly,1985,32.276
957,estimates,5yearly,1990,29.687
957,estimates,5yearly,1995,26.649
957,estimates,5yearly,2000,24.531
957,estimates,5yearly,2005,23.045
957,estimates,5yearly,2010,21.143
957,constant_fertility,5yearly,2015,20.841
957,constant_mortality,5yearly,2015,19.719
957,high_variant,5yearly,2015,21.354
957,instant_replacement,5yearly,2015,14.837
957,low_variant,5yearly,2015,18.039
957,medium_variant,5yearly,2015,19.702
957,momentum,5yearly,2015,15.116
957,no_change,5yearly,2015,20.86
957,zero_migration,5yearly,2015,20.168
957,constant_fertility,5yearly,2020,20.867
957,constant_mortality,5yearly,2020,18.909
957,high_variant,5yearly,2020,21.308
957,instant_replacement,5yearly,2020,15.137
957,low_variant,5yearly,2020,16.311
957,medium_variant,5yearly,2020,18.847
957,momentum,5yearly,2020,15.933
957,no_change,5yearly,2020,20.936
957,zero_migration,5yearly,2020,20.059
957,constant_fertility,5yearly,2025,20.916
957,constant_mortality,5yearly,2025,18.404
957,high_variant,5yearly,2025,21.12
957,instant_replacement,5yearly,2025,15.437
957,low_variant,5yearly,2025,15.24
957,medium_variant,5yearly,2025,18.269
957,momentum,5yearly,2025,16.594
957,no_change,5yearly,2025,21.069
957,zero_migration,5yearly,2025,19.85
957,constant_fertility,5yearly,2030,20.825
957,constant_mortality,5yearly,2030,17.94
957,high_variant,5yearly,2030,20.297
957,instant_replacement,5yearly,2030,15.601
957,low_variant,5yearly,2030,14.89
957,medium_variant,5yearly,2030,17.713
957,momentum,5yearly,2030,16.794
957,no_change,5yearly,2030,21.084
957,zero_migration,5yearly,2030,19.173
957,constant_fertility,5yearly,2035,20.494
957,constant_mortality,5yearly,2035,17.27
957,high_variant,5yearly,2035,19.407
957,instant_replacement,5yearly,2035,15.201
957,low_variant,5yearly,2035,14.237
957,medium_variant,5yearly,2035,16.94
957,momentum,5yearly,2035,16.282
957,no_change,5yearly,2035,20.874
957,zero_migration,5yearly,2035,18.059
957,constant_fertility,5yearly,2040,20.113
957,constant_mortality,5yearly,2040,16.394
957,high_variant,5yearly,2040,18.608
957,instant_replacement,5yearly,2040,13.964
957,low_variant,5yearly,2040,13.156
957,medium_variant,5yearly,2040,15.964
957,momentum,5yearly,2040,15.087
957,no_change,5yearly,2040,20.616
957,zero_migration,5yearly,2040,16.907
957,constant_fertility,5yearly,2045,19.93
957,constant_mortality,5yearly,2045,15.519
957,high_variant,5yearly,2045,18.1
957,instant_replacement,5yearly,2045,12.44
957,low_variant,5yearly,2045,11.84
957,medium_variant,5yearly,2045,14.996
957,momentum,5yearly,2045,13.873
957,no_change,5yearly,2045,20.559
957,zero_migration,5yearly,2045,16.08
957,constant_fertility,5yearly,2050,20.053
957,constant_mortality,5yearly,2050,14.875
957,high_variant,5yearly,2050,17.85
957,instant_replacement,5yearly,2050,11.509
957,low_variant,5yearly,2050,10.682
957,medium_variant,5yearly,2050,14.259
957,momentum,5yearly,2050,13.361
957,no_change,5yearly,2050,20.811
957,zero_migration,5yearly,2050,15.644
957,constant_fertility,5yearly,2055,20.376
957,constant_mortality,5yearly,2055,14.535
957,high_variant,5yearly,2055,17.658
957,instant_replacement,5yearly,2055,11.455
957,low_variant,5yearly,2055,9.965
957,medium_variant,5yearly,2055,13.818
957,momentum,5yearly,2055,13.571
957,no_change,5yearly,2055,21.263
957,zero_migration,5yearly,2055,15.37
957,constant_fertility,5yearly,2060,20.666
957,constant_mortality,5yearly,2060,14.297
957,high_variant,5yearly,2060,17.281
957,instant_replacement,5yearly,2060,11.818
957,low_variant,5yearly,2060,9.573
