region,variant,freq,year,birthper1000population
902,estimates,5yearly,1950,43.602
902,estimates,5yearly,1955,41.593
902,estimates,5yearly,1960,42.043
902,estimates,5yearly,1965,40.558
902,estimates,5yearly,1970,36.957
902,estimates,5yearly,1975,33.085
902,estimates,5yearly,1980,32.015
902,estimates,5yearly,1985,31.286
902,estimates,5yearly,1990,27.431
902,estimates,5yearly,1995,24.631
902,estimates,5yearly,2000,23.204
902,estimates,5yearly,2005,22.291
902,estimates,5yearly,2010,21.346
902,constant_fertility,5yearly,2015,21.154
902,constant_mortality,5yearly,2015,20.115
902,high_variant,5yearly,2015,21.938
902,instant_replacement,5yearly,2015,17.316
902,low_variant,5yearly,2015,18.246
902,medium_variant,5yearly,2015,20.102
902,momentum,5yearly,2015,17.526
902,no_change,5yearly,2015,21.168
902,zero_migration,5yearly,2015,20.121
902,constant_fertility,5yearly,2020,20.779
902,constant_mortality,5yearly,2020,18.928
902,high_variant,5yearly,2020,21.513
902,instant_replacement,5yearly,2020,16.662
902,low_variant,5yearly,2020,16.161
902,medium_variant,5yearly,2020,18.88
902,momentum,5yearly,2020,17.068
902,no_change,5yearly,2020,20.832
902,zero_migration,5yearly,2020,18.921
902,constant_fertility,5yearly,2025,20.567
902,constant_mortality,5yearly,2025,17.998
902,high_variant,5yearly,2025,20.86
902,instant_replacement,5yearly,2025,16.151
902,low_variant,5yearly,2025,14.751
902,medium_variant,5yearly,2025,17.9
902,momentum,5yearly,2025,16.732
902,no_change,5yearly,2025,20.68
902,zero_migration,5yearly,2025,17.946
902,constant_fertility,5yearly,2030,20.582
902,constant_mortality,5yearly,2030,17.305
902,high_variant,5yearly,2030,19.821
902,instant_replacement,5yearly,2030,15.671
902,low_variant,5yearly,2030,14.241
902,medium_variant,5yearly,2030,17.15
902,momentum,5yearly,2030,16.403
902,no_change,5yearly,2030,20.761
902,zero_migration,5yearly,2030,17.191
902,constant_fertility,5yearly,2035,20.846
902,constant_mortality,5yearly,2035,16.762
902,high_variant,5yearly,2035,19.247
902,instant_replacement,5yearly,2035,15.056
902,low_variant,5yearly,2035,13.671
902,medium_variant,5yearly,2035,16.562
902,momentum,5yearly,2035,15.913
902,no_change,5yearly,2035,21.077
902,zero_migration,5yearly,2035,16.593
902,constant_fertility,5yearly,2040,21.31
902,constant_mortality,5yearly,2040,16.286
902,high_variant,5yearly,2040,19.053
902,instant_replacement,5yearly,2040,14.42
902,low_variant,5yearly,2040,12.947
902,medium_variant,5yearly,2040,16.052
902,momentum,5yearly,2040,15.394
902,no_change,5yearly,2040,21.572
902,zero_migration,5yearly,2040,16.078
902,constant_fertility,5yearly,2045,21.872
902,constant_mortality,5yearly,2045,15.804
902,high_variant,5yearly,2045,18.948
902,instant_replacement,5yearly,2045,13.931
902,low_variant,5yearly,2045,12.131
902,medium_variant,5yearly,2045,15.54
902,momentum,5yearly,2045,15.043
902,no_change,5yearly,2045,22.154
902,zero_migration,5yearly,2045,15.565
902,constant_fertility,5yearly,2050,22.505
902,constant_mortality,5yearly,2050,15.312
902,high_variant,5yearly,2050,18.702
902,instant_replacement,5yearly,2050,13.554
902,low_variant,5yearly,2050,11.368
902,medium_variant,5yearly,2050,15.016
902,momentum,5yearly,2050,14.823
902,no_change,5yearly,2050,22.807
902,zero_migration,5yearly,2050,15.043
902,constant_fertility,5yearly,2055,23.221
902,constant_mortality,5yearly,2055,14.862
902,high_variant,5yearly,2055,18.286
902,instant_replacement,5yearly,2055,13.273
902,low_variant,5yearly,2055,10.778
902,medium_variant,5yearly,2055,14.527
902,momentum,5yearly,2055,14.704
902,no_change,5yearly,2055,23.542
902,zero_migration,5yearly,2055,14.554
902,constant_fertility,5yearly,2060,24.025
902,constant_mortality,5yearly,2060,14.51
902,high_variant,5yearly,2060,17.854
902,instant_replacement,5yearly,2060,13.073
902,low_variant,5yearly,2060,10.371
902,medium_variant,5yearly,2060,14.127
902,momentum,5yearly,2060,14.656
902,no_change,5yearly,2060,24.361
902,zero_migration,5yearly,2060,14.151
902,constant_fertility,5yearly,2065,24.9
902,constant_mortality,5yearly,2065,14.225
902,high_variant,5yearly,2065,17.515
902,instant_replacement,5yearly,2065,12.89
902,low_variant,5yearly,2065,10.037
902,medium_variant,5yearly,2065,13.791
902,momentum,5yearly,2065,14.61
902,no_change,5yearly,2065,25.239
902,zero_migration,5yearly,2065,13.809
902,constant_fertility,5yearly,2070,25.812
902,constant_mortality,5yearly,2070,13.971
902,high_variant,5yearly,2070,17.283
902,instant_replacement,5yearly,2070,12.734
902,low_variant,5yearly,2070,9.692
902,medium_variant,5yearly,2070,13.483
902,momentum,5yearly,2070,14.579
902,no_change,5yearly,2070,26.142
902,zero_migration,5yearly,2070,13.498
902,constant_fertility,5yearly,2075,26.731
902,constant_mortality,5yearly,2075,13.716
902,high_variant,5yearly,2075,17.085
902,instant_replacement,5yearly,2075,12.61
902,low_variant,5yearly,2075,9.321
902,medium_variant,5yearly,2075,13.176
902,momentum,5yearly,2075,14.577
902,no_change,5yearly,2075,27.04
902,zero_migration,5yearly,2075,13.189
902,constant_fertility,5yearly,2080,27.637
902,constant_mortality,5yearly,2080,13.455
902,high_variant,5yearly,2080,16.843
902,instant_replacement,5yearly,2080,12.513
902,low_variant,5yearly,2080,8.957
902,medium_variant,5yearly,2080,12.863
902,momentum,5yearly,2080,14.598
902,no_change,5yearly,2080,27.923
902,zero_migration,5yearly,2080,12.875
902,constant_fertility,5yearly,2085,28.519
902,constant_mortality,5yearly,2085,13.2
902,high_variant,5yearly,2085,16.535
902,instant_replacement,5yearly,2085,12.421
902,low_variant,5yearly,2085,8.634
902,medium_variant,5yearly,2085,12.553
902,momentum,5yearly,2085,14.619
902,no_change,5yearly,2085,28.787
902,zero_migration,5yearly,2085,12.563
902,constant_fertility,5yearly,2090,29.37
902,constant_mortality,5yearly,2090,12.975
902,high_variant,5yearly,2090,16.203
902,instant_replacement,5yearly,2090,12.322
902,low_variant,5yearly,2090,8.363
902,medium_variant,5yearly,2090,12.26
902,momentum,5yearly,2090,14.624
902,no_change,5yearly,2090,29.633
902,zero_migration,5yearly,2090,12.268
902,constant_fertility,5yearly,2095,30.185
902,constant_mortality,5yearly,2095,12.786
902,high_variant,5yearly,2095,15.901
902,instant_replacement,5yearly,2095,12.224
902,low_variant,5yearly,2095,8.128
902,medium_variant,5yearly,2095,11.992
902,momentum,5yearly,2095,14.622
902,no_change,5yearly,2095,30.453
902,zero_migration,5yearly,2095,11.999
902,constant_fertility,5yearly,Regi,Less developed regions
902,constant_mortality,5yearly,Regi,Less developed regions
902,estimates,5yearly,Regi,Less developed regions
902,high_variant,5yearly,Regi,Less developed regions
902,instant_replacement,5yearly,Regi,Less developed regions
902,low_variant,5yearly,Regi,Less developed regions
902,medium_variant,5yearly,Regi,Less developed regions
902,momentum,5yearly,Regi,Less developed regions
902,no_change,5yearly,Regi,Less developed regions
902,zero_migration,5yearly,Regi,Less developed regions
