country,variant,gender,freq,year,under60mortalityper1000livebirth
478,estimates,female,5yearly,1950,639.32652
478,estimates,male,5yearly,1950,658.91385
478,estimates,female,5yearly,1955,590.81822
478,estimates,male,5yearly,1955,615.79065
478,estimates,female,5yearly,1960,534.659
478,estimates,male,5yearly,1960,569.3895
478,estimates,female,5yearly,1965,488.85695
478,estimates,male,5yearly,1965,532.88634
478,estimates,female,5yearly,1970,449.54483
478,estimates,male,5yearly,1970,501.40201
478,estimates,female,5yearly,1975,409.06088
478,estimates,male,5yearly,1975,467.14157
478,estimates,female,5yearly,1980,366.68659
478,estimates,male,5yearly,1980,419.20654
478,estimates,female,5yearly,1985,339.01975
478,estimates,male,5yearly,1985,388.10097
478,estimates,female,5yearly,1990,320.99374
478,estimates,male,5yearly,1990,372.42317
478,estimates,female,5yearly,1995,305.26682
478,estimates,male,5yearly,1995,361.16426
478,estimates,female,5yearly,2000,297.03229
478,estimates,male,5yearly,2000,355.14446
478,estimates,female,5yearly,2005,282.99095
478,estimates,male,5yearly,2005,338.04802
478,estimates,female,5yearly,2010,265.96368
478,estimates,male,5yearly,2010,317.15325
478,medium_variant,female,5yearly,2015,252.37119
478,medium_variant,male,5yearly,2015,306.22646
478,medium_variant,female,5yearly,2020,240.12867
478,medium_variant,male,5yearly,2020,296.99864
478,medium_variant,female,5yearly,2025,228.90676
478,medium_variant,male,5yearly,2025,288.57042
478,medium_variant,female,5yearly,2030,218.2791
478,medium_variant,male,5yearly,2030,280.66377
478,medium_variant,female,5yearly,2035,208.47242
478,medium_variant,male,5yearly,2035,273.6486
478,medium_variant,female,5yearly,2040,199.06913
478,medium_variant,male,5yearly,2040,267.01815
478,medium_variant,female,5yearly,2045,190.01709
478,medium_variant,male,5yearly,2045,261.10876
478,medium_variant,female,5yearly,2050,181.27757
478,medium_variant,male,5yearly,2050,255.43731
478,medium_variant,female,5yearly,2055,173.25315
478,medium_variant,male,5yearly,2055,249.91812
478,medium_variant,female,5yearly,2060,165.5841
478,medium_variant,male,5yearly,2060,245.0424
478,medium_variant,female,5yearly,2065,158.23602
478,medium_variant,male,5yearly,2065,239.74699
478,medium_variant,female,5yearly,2070,150.77634
478,medium_variant,male,5yearly,2070,234.29138
478,medium_variant,female,5yearly,2075,143.65332
478,medium_variant,male,5yearly,2075,229.62992
478,medium_variant,female,5yearly,2080,136.81058
478,medium_variant,male,5yearly,2080,224.29868
478,medium_variant,female,5yearly,2085,130.14372
478,medium_variant,male,5yearly,2085,219.21375
478,medium_variant,female,5yearly,2090,123.8311
478,medium_variant,male,5yearly,2090,213.48066
478,medium_variant,female,5yearly,2095,118.7069
478,medium_variant,male,5yearly,2095,207.64402
