country,variant,gender,freq,year,under60mortalityper1000livebirth
710,estimates,female,5yearly,1950,481.92227
710,estimates,male,5yearly,1950,564.31639
710,estimates,female,5yearly,1955,443.80281
710,estimates,male,5yearly,1955,522.04965
710,estimates,female,5yearly,1960,418.30765
710,estimates,male,5yearly,1960,494.92907
710,estimates,female,5yearly,1965,391.33944
710,estimates,male,5yearly,1965,466.26063
710,estimates,female,5yearly,1970,359.79462
710,estimates,male,5yearly,1970,470.00488
710,estimates,female,5yearly,1975,348.48734
710,estimates,male,5yearly,1975,475.54769
710,estimates,female,5yearly,1980,337.77849
710,estimates,male,5yearly,1980,465.86406
710,estimates,female,5yearly,1985,288.88886
710,estimates,male,5yearly,1985,420.96617
710,estimates,female,5yearly,1990,268.5764
710,estimates,male,5yearly,1990,399.61964
710,estimates,female,5yearly,1995,340.59551
710,estimates,male,5yearly,1995,469.69162
710,estimates,female,5yearly,2000,476.49346
710,estimates,male,5yearly,2000,588.06806
710,estimates,female,5yearly,2005,509.70757
710,estimates,male,5yearly,2005,614.45377
710,estimates,female,5yearly,2010,368.47576
710,estimates,male,5yearly,2010,501.24672
710,medium_variant,female,5yearly,2015,288.53405
710,medium_variant,male,5yearly,2015,411.00046
710,medium_variant,female,5yearly,2020,277.60569
710,medium_variant,male,5yearly,2020,389.7166
710,medium_variant,female,5yearly,2025,265.54666
710,medium_variant,male,5yearly,2025,365.0881
710,medium_variant,female,5yearly,2030,251.07782
710,medium_variant,male,5yearly,2030,336.33894
710,medium_variant,female,5yearly,2035,232.06057
710,medium_variant,male,5yearly,2035,305.73525
710,medium_variant,female,5yearly,2040,211.16399
710,medium_variant,male,5yearly,2040,278.70214
710,medium_variant,female,5yearly,2045,191.59477
710,medium_variant,male,5yearly,2045,254.54368
710,medium_variant,female,5yearly,2050,173.50149
710,medium_variant,male,5yearly,2050,231.5524
710,medium_variant,female,5yearly,2055,157.36082
710,medium_variant,male,5yearly,2055,210.46887
710,medium_variant,female,5yearly,2060,142.73505
710,medium_variant,male,5yearly,2060,190.58576
710,medium_variant,female,5yearly,2065,130.86361
710,medium_variant,male,5yearly,2065,172.04771
710,medium_variant,female,5yearly,2070,120.45755
710,medium_variant,male,5yearly,2070,157.66268
710,medium_variant,female,5yearly,2075,111.00115
710,medium_variant,male,5yearly,2075,145.41756
710,medium_variant,female,5yearly,2080,102.27212
710,medium_variant,male,5yearly,2080,134.11485
710,medium_variant,female,5yearly,2085,94.22002
710,medium_variant,male,5yearly,2085,123.56358
710,medium_variant,female,5yearly,2090,86.71512
710,medium_variant,male,5yearly,2090,113.7365
710,medium_variant,female,5yearly,2095,79.7448399999999
710,medium_variant,male,5yearly,2095,104.60984
710,estimates,female,5yearly,Regi,South Africa
710,estimates,male,5yearly,Regi,South Africa
710,medium_variant,female,5yearly,Regi,South Africa
710,medium_variant,male,5yearly,Regi,South Africa
