country,variant,gender,freq,year,under60mortalityper1000livebirth
384,estimates,female,5yearly,1950,701.92476
384,estimates,male,5yearly,1950,736.32711
384,estimates,female,5yearly,1955,667.61031
384,estimates,male,5yearly,1955,702.54497
384,estimates,female,5yearly,1960,624.13706
384,estimates,male,5yearly,1960,664.6596
384,estimates,female,5yearly,1965,587.88223
384,estimates,male,5yearly,1965,633.27505
384,estimates,female,5yearly,1970,520.48491
384,estimates,male,5yearly,1970,582.24217
384,estimates,female,5yearly,1975,470.74085
384,estimates,male,5yearly,1975,534.43454
384,estimates,female,5yearly,1980,435.04704
384,estimates,male,5yearly,1980,502.45909
384,estimates,female,5yearly,1985,417.63926
384,estimates,male,5yearly,1985,485.89682
384,estimates,female,5yearly,1990,445.41683
384,estimates,male,5yearly,1990,511.9355
384,estimates,female,5yearly,1995,545.89752
384,estimates,male,5yearly,1995,563.29875
384,estimates,female,5yearly,2000,560.22861
384,estimates,male,5yearly,2000,595.99977
384,estimates,female,5yearly,2005,521.56105
384,estimates,male,5yearly,2005,551.41775
384,estimates,female,5yearly,2010,481.91525
384,estimates,male,5yearly,2010,526.00371
384,medium_variant,female,5yearly,2015,438.98987
384,medium_variant,male,5yearly,2015,488.52466
384,medium_variant,female,5yearly,2020,399.73171
384,medium_variant,male,5yearly,2020,450.39528
384,medium_variant,female,5yearly,2025,364.63213
384,medium_variant,male,5yearly,2025,417.67936
384,medium_variant,female,5yearly,2030,334.78853
384,medium_variant,male,5yearly,2030,390.07292
384,medium_variant,female,5yearly,2035,309.55476
384,medium_variant,male,5yearly,2035,366.92385
384,medium_variant,female,5yearly,2040,287.42484
384,medium_variant,male,5yearly,2040,347.91662
384,medium_variant,female,5yearly,2045,267.16773
384,medium_variant,male,5yearly,2045,331.15939
384,medium_variant,female,5yearly,2050,248.64284
384,medium_variant,male,5yearly,2050,315.90332
384,medium_variant,female,5yearly,2055,231.37629
384,medium_variant,male,5yearly,2055,301.46605
384,medium_variant,female,5yearly,2060,215.84837
384,medium_variant,male,5yearly,2060,288.37729
384,medium_variant,female,5yearly,2065,201.03012
384,medium_variant,male,5yearly,2065,277.61043
384,medium_variant,female,5yearly,2070,187.56028
384,medium_variant,male,5yearly,2070,267.04808
384,medium_variant,female,5yearly,2075,174.62569
384,medium_variant,male,5yearly,2075,256.81563
384,medium_variant,female,5yearly,2080,162.09749
384,medium_variant,male,5yearly,2080,247.03107
384,medium_variant,female,5yearly,2085,151.42519
384,medium_variant,male,5yearly,2085,237.28907
384,medium_variant,female,5yearly,2090,141.01018
384,medium_variant,male,5yearly,2090,227.94464
384,medium_variant,female,5yearly,2095,131.1779
384,medium_variant,male,5yearly,2095,218.26454
384,estimates,female,5yearly,Regi,Côte d'Ivoire
384,estimates,male,5yearly,Regi,Côte d'Ivoire
384,medium_variant,female,5yearly,Regi,Côte d'Ivoire
384,medium_variant,male,5yearly,Regi,Côte d'Ivoire
