global,year,variant,freq,age1yearinterval,lifeexpectancy
900,1975,estimates,5yearly,20,50.4381071677593
900,1975,estimates,5yearly,25,46.0316447680483
900,1975,estimates,5yearly,30,41.6267811670212
900,1975,estimates,5yearly,35,37.2430226219368
900,1975,estimates,5yearly,40,32.9143639571715
900,1975,estimates,5yearly,45,28.6700711510406
900,1975,estimates,5yearly,50,24.5734271592985
900,1975,estimates,5yearly,55,20.6699644952766
900,1975,estimates,5yearly,60,17.0424723166054
900,1975,estimates,5yearly,65,13.7456330836857
900,1975,estimates,5yearly,70,10.8158660895268
900,1975,estimates,5yearly,75,8.32895794181774
900,1975,estimates,5yearly,80,6.30686837501431
900,1975,estimates,5yearly,85,4.72945606025587
900,1975,estimates,5yearly,90,3.54958511676745
900,1975,estimates,5yearly,95,2.70176350631917
900,1975,estimates,5yearly,100plus,2.11396093467077
900,1980,estimates,5yearly,0,62.0648676083027
900,1980,estimates,5yearly,1,66.1065391436252
900,1980,estimates,5yearly,5,64.5379322774749
900,1980,estimates,5yearly,10,60.2859741144534
900,1980,estimates,5yearly,15,55.6613063576171
900,1980,estimates,5yearly,20,51.1317960058253
900,1980,estimates,5yearly,25,46.7046784068773
900,1980,estimates,5yearly,30,42.2783280878074
900,1980,estimates,5yearly,35,37.8427762951651
900,1980,estimates,5yearly,40,33.4565585153035
900,1980,estimates,5yearly,45,29.1676743165628
900,1980,estimates,5yearly,50,25.0249248798313
900,1980,estimates,5yearly,55,21.0887111984741
900,1980,estimates,5yearly,60,17.4101525760995
900,1980,estimates,5yearly,65,14.0685885955764
900,1980,estimates,5yearly,70,11.0960343823573
900,1980,estimates,5yearly,75,8.55846350242092
900,1980,estimates,5yearly,80,6.48711842510777
900,1980,estimates,5yearly,85,4.86493561874901
900,1980,estimates,5yearly,90,3.6470990057623
900,1980,estimates,5yearly,95,2.76919724847879
900,1980,estimates,5yearly,100plus,2.15900991308194
900,1985,estimates,5yearly,0,63.6754904389721
900,1985,estimates,5yearly,1,67.231200513385
900,1985,estimates,5yearly,5,65.3655186898297
900,1985,estimates,5yearly,10,61.0838117186759
900,1985,estimates,5yearly,15,56.4476690822128
900,1985,estimates,5yearly,20,51.8877207433786
900,1985,estimates,5yearly,25,47.4143653690079
900,1985,estimates,5yearly,30,42.9525467607216
900,1985,estimates,5yearly,35,38.4877740997853
900,1985,estimates,5yearly,40,34.0556570854185
900,1985,estimates,5yearly,45,29.7154811328665
900,1985,estimates,5yearly,50,25.5228952033557
900,1985,estimates,5yearly,55,21.5258745536301
900,1985,estimates,5yearly,60,17.8013866578452
900,1985,estimates,5yearly,65,14.4039264846023
900,1985,estimates,5yearly,70,11.387155967346
900,1985,estimates,5yearly,75,8.80492445139985
900,1985,estimates,5yearly,80,6.68781414363137
900,1985,estimates,5yearly,85,5.02177850873914
900,1985,estimates,5yearly,90,3.7647425889732
900,1985,estimates,5yearly,95,2.85411819307858
900,1985,estimates,5yearly,100plus,2.21829514095929
900,1990,estimates,5yearly,0,64.5906966351112
900,1990,estimates,5yearly,1,67.9221468179131
900,1990,estimates,5yearly,5,65.9471210122251
900,1990,estimates,5yearly,10,61.5196920113451
900,1990,estimates,5yearly,15,56.8681947146571
900,1990,estimates,5yearly,20,52.2946908637394
900,1990,estimates,5yearly,25,47.7967969862803
900,1990,estimates,5yearly,30,43.3123908099679
900,1990,estimates,5yearly,35,38.8497336089615
900,1990,estimates,5yearly,40,34.4297850851037
900,1990,estimates,5yearly,45,30.0842671416121
900,1990,estimates,5yearly,50,25.8757821884736
