agebroad,population,country,variant,year
0_1,2.919,533,estimates,1950
0_4,6.752,533,estimates,1950
0_14,16.375,533,estimates,1950
0_17,18.746,533,estimates,1950
0_19,20.198,533,estimates,1950
0_24,23.331,533,estimates,1950
3_4,2.488,533,estimates,1950
3_5,3.641,533,estimates,1950
3_6,4.741,533,estimates,1950
4_5,2.365,533,estimates,1950
4_6,3.465,533,estimates,1950
5_14,9.623,533,estimates,1950
5_10,6.203,533,estimates,1950
5_11,7.096,533,estimates,1950
6_9,4.122,533,estimates,1950
6_10,5.05,533,estimates,1950
6_11,5.943,533,estimates,1950
6_12,6.807,533,estimates,1950
7_10,3.95,533,estimates,1950
7_12,5.707,533,estimates,1950
11_16,5.018,533,estimates,1950
11_17,5.791,533,estimates,1950
11_18,6.535,533,estimates,1950
12_14,2.527,533,estimates,1950
12_16,4.125,533,estimates,1950
12_17,4.898,533,estimates,1950
12_18,5.642,533,estimates,1950
13_17,4.034,533,estimates,1950
13_18,4.778,533,estimates,1950
13_19,5.486,533,estimates,1950
15_17,2.371,533,estimates,1950
18_23,3.992,533,estimates,1950
15_24,6.956,533,estimates,1950
15_49,18.97,533,estimates,1950
15_59,20.567,533,estimates,1950
15_64,21.007,533,estimates,1950
20_64,17.184,533,estimates,1950
20_69,17.467,533,estimates,1950
25_49,12.014,533,estimates,1950
25_64,14.051,533,estimates,1950
25_69,14.334,533,estimates,1950
15plus,21.693,533,estimates,1950
16plus,20.887,533,estimates,1950
17plus,20.095,533,estimates,1950
18plus,19.322,533,estimates,1950
20plus,17.87,533,estimates,1950
21plus,17.194,533,estimates,1950
25plus,14.737,533,estimates,1950
50plus,2.723,533,estimates,1950
60plus,1.126,533,estimates,1950
65plus,0.686,533,estimates,1950
70plus,0.403,533,estimates,1950
75plus,0.254,533,estimates,1950
80plus,0.119,533,estimates,1950
85plus,0.04,533,estimates,1950
90plus,0.009,533,estimates,1950
total,38.068,533,estimates,1950
0_1,2.98,533,estimates,1951
0_4,6.863,533,estimates,1951
0_14,16.545,533,estimates,1951
0_17,18.895,533,estimates,1951
0_19,20.368,533,estimates,1951
0_24,23.519,533,estimates,1951
3_4,2.52,533,estimates,1951
3_5,3.687,533,estimates,1951
3_6,4.799,533,estimates,1951
4_5,2.394,533,estimates,1951
4_6,3.506,533,estimates,1951
5_14,9.682,533,estimates,1951
5_10,6.263,533,estimates,1951
5_11,7.162,533,estimates,1951
6_9,4.162,533,estimates,1951
6_10,5.096,533,estimates,1951
6_11,5.995,533,estimates,1951
6_12,6.861,533,estimates,1951
7_10,3.984,533,estimates,1951
7_12,5.749,533,estimates,1951
11_16,4.999,533,estimates,1951
11_17,5.769,533,estimates,1951
11_18,6.52,533,estimates,1951
12_14,2.52,533,estimates,1951
12_16,4.1,533,estimates,1951
12_17,4.87,533,estimates,1951
12_18,5.621,533,estimates,1951
13_17,4.004,533,estimates,1951
13_18,4.755,533,estimates,1951
13_19,5.477,533,estimates,1951
15_17,2.35,533,estimates,1951
18_23,4.041,533,estimates,1951
15_24,6.974,533,estimates,1951
15_49,18.91,533,estimates,1951
15_59,20.577,533,estimates,1951
15_64,21.029,533,estimates,1951
20_64,17.206,533,estimates,1951
20_69,17.499,533,estimates,1951
25_49,11.936,533,estimates,1951
25_64,14.055,533,estimates,1951
25_69,14.348,533,estimates,1951
15plus,21.722,533,estimates,1951
16plus,20.924,533,estimates,1951
17plus,20.142,533,estimates,1951
18plus,19.372,533,estimates,1951
20plus,17.899,533,estimates,1951
21plus,17.211,533,estimates,1951
25plus,14.748,533,estimates,1951
50plus,2.812,533,estimates,1951
60plus,1.145,533,estimates,1951
65plus,0.693,533,estimates,1951
70plus,0.4,533,estimates,1951
75plus,0.246,533,estimates,1951
80plus,0.121,533,estimates,1951
85plus,0.042,533,estimates,1951
90plus,0.009,533,estimates,1951
total,38.267,533,estimates,1951
0_1,3.102,533,estimates,1952
0_4,7.084,533,estimates,1952
0_14,16.953,533,estimates,1952
0_17,19.307,533,estimates,1952
0_19,20.803,533,estimates,1952
0_24,24.034,533,estimates,1952
3_4,2.583,533,estimates,1952
3_5,3.778,533,estimates,1952
3_6,4.916,533,estimates,1952
4_5,2.453,533,estimates,1952
4_6,3.591,533,estimates,1952
5_14,9.869,533,estimates,1952
5_10,6.401,533,estimates,1952
5_11,7.317,533,estimates,1952
