agebroad,population,country,variant,year
0_1,11.386,52,estimates,1950
0_4,26,52,estimates,1950
0_14,70.001,52,estimates,1950
0_17,82.341,52,estimates,1950
0_19,90,52,estimates,1950
0_24,107,52,estimates,1950
3_4,9.494,52,estimates,1950
3_5,14,52,estimates,1950
3_6,18.416,52,estimates,1950
4_5,9.152,52,estimates,1950
4_6,13.568,52,estimates,1950
5_14,44.001,52,estimates,1950
5_10,26.389,52,estimates,1950
5_11,30.834,52,estimates,1950
6_9,17.494,52,estimates,1950
6_10,21.883,52,estimates,1950
6_11,26.328,52,estimates,1950
6_12,30.789,52,estimates,1950
7_10,17.467,52,estimates,1950
7_12,26.373,52,estimates,1950
11_16,25.938,52,estimates,1950
11_17,29.952,52,estimates,1950
11_18,33.846,52,estimates,1950
12_14,13.167,52,estimates,1950
12_16,21.493,52,estimates,1950
12_17,25.507,52,estimates,1950
12_18,29.401,52,estimates,1950
13_17,21.046,52,estimates,1950
13_18,24.94,52,estimates,1950
13_19,28.705,52,estimates,1950
15_17,12.34,52,estimates,1950
18_23,21.48,52,estimates,1950
15_24,36.999,52,estimates,1950
15_49,107.997,52,estimates,1950
15_59,122.995,52,estimates,1950
15_64,128.994,52,estimates,1950
20_64,108.995,52,estimates,1950
20_69,112.995,52,estimates,1950
25_49,70.998,52,estimates,1950
25_64,91.995,52,estimates,1950
25_69,95.995,52,estimates,1950
15plus,140.991,52,estimates,1950
16plus,136.783,52,estimates,1950
17plus,132.665,52,estimates,1950
18plus,128.651,52,estimates,1950
20plus,120.992,52,estimates,1950
21plus,117.355,52,estimates,1950
25plus,103.992,52,estimates,1950
50plus,32.994,52,estimates,1950
60plus,17.996,52,estimates,1950
65plus,11.997,52,estimates,1950
70plus,7.997,52,estimates,1950
75plus,4.646,52,estimates,1950
80plus,1.945,52,estimates,1950
85plus,0.651,52,estimates,1950
90plus,0.147,52,estimates,1950
total,210.992,52,estimates,1950
0_1,11.768,52,estimates,1951
0_4,27.47,52,estimates,1951
0_14,71.781,52,estimates,1951
0_17,84.19,52,estimates,1951
0_19,91.97,52,estimates,1951
0_24,109.361,52,estimates,1951
3_4,10.161,52,estimates,1951
3_5,14.901,52,estimates,1951
3_6,19.481,52,estimates,1951
4_5,9.688,52,estimates,1951
4_6,14.268,52,estimates,1951
5_14,44.311,52,estimates,1951
5_10,26.846,52,estimates,1951
5_11,31.2,52,estimates,1951
6_9,17.765,52,estimates,1951
6_10,22.106,52,estimates,1951
6_11,26.46,52,estimates,1951
6_12,30.85,52,estimates,1951
7_10,17.526,52,estimates,1951
7_12,26.27,52,estimates,1951
11_16,25.827,52,estimates,1951
11_17,29.874,52,estimates,1951
11_18,33.821,52,estimates,1951
12_14,13.111,52,estimates,1951
12_16,21.473,52,estimates,1951
12_17,25.52,52,estimates,1951
12_18,29.467,52,estimates,1951
13_17,21.13,52,estimates,1951
13_18,25.077,52,estimates,1951
13_19,28.91,52,estimates,1951
15_17,12.409,52,estimates,1951
18_23,21.92,52,estimates,1951
15_24,37.58,52,estimates,1951
15_49,109.142,52,estimates,1951
15_59,125.171,52,estimates,1951
15_64,131.159,52,estimates,1951
20_64,110.97,52,estimates,1951
20_69,115.351,52,estimates,1951
25_49,71.562,52,estimates,1951
25_64,93.579,52,estimates,1951
25_69,97.96,52,estimates,1951
15plus,143.922,52,estimates,1951
16plus,139.695,52,estimates,1951
17plus,135.56,52,estimates,1951
18plus,131.513,52,estimates,1951
20plus,123.733,52,estimates,1951
21plus,120.022,52,estimates,1951
25plus,106.342,52,estimates,1951
50plus,34.78,52,estimates,1951
60plus,18.751,52,estimates,1951
65plus,12.763,52,estimates,1951
70plus,8.382,52,estimates,1951
75plus,4.945,52,estimates,1951
80plus,2.113,52,estimates,1951
85plus,0.704,52,estimates,1951
90plus,0.172,52,estimates,1951
total,215.703,52,estimates,1951
0_1,11.707,52,estimates,1952
0_4,28.524,52,estimates,1952
0_14,73.422,52,estimates,1952
0_17,85.84,52,estimates,1952
0_19,93.662,52,estimates,1952
0_24,111.339,52,estimates,1952
3_4,10.877,52,estimates,1952
3_5,15.908,52,estimates,1952
3_6,20.725,52,estimates,1952
4_5,10.319,52,estimates,1952
4_6,15.136,52,estimates,1952
5_14,44.898,52,estimates,1952
5_10,27.67,52,estimates,1952
