agebroad,population,country,variant,year
"Region, subregion, country or area *",French Polynesia,258,estimates,1950
0_1,3.637,258,estimates,1950
0_4,8.978,258,estimates,1950
0_14,25.142,258,estimates,1950
0_17,29.356,258,estimates,1950
0_19,31.946,258,estimates,1950
0_24,37.606,258,estimates,1950
3_4,3.543,258,estimates,1950
3_5,5.284,258,estimates,1950
3_6,7.002,258,estimates,1950
4_5,3.503,258,estimates,1950
4_6,5.221,258,estimates,1950
5_14,16.164,258,estimates,1950
5_10,10.063,258,estimates,1950
5_11,11.638,258,estimates,1950
6_9,6.715,258,estimates,1950
6_10,8.322,258,estimates,1950
6_11,9.897,258,estimates,1950
6_12,11.439,258,estimates,1950
7_10,6.604,258,estimates,1950
7_12,9.721,258,estimates,1950
11_16,8.948,258,estimates,1950
11_17,10.315,258,estimates,1950
11_18,11.635,258,estimates,1950
12_14,4.526,258,estimates,1950
12_16,7.373,258,estimates,1950
12_17,8.74,258,estimates,1950
12_18,10.06,258,estimates,1950
13_17,7.198,258,estimates,1950
13_18,8.518,258,estimates,1950
13_19,9.788,258,estimates,1950
15_17,4.214,258,estimates,1950
18_23,7.189,258,estimates,1950
15_24,12.464,258,estimates,1950
15_49,29.81,258,estimates,1950
15_59,32.88,258,estimates,1950
15_64,33.917,258,estimates,1950
20_64,27.113,258,estimates,1950
20_69,27.787,258,estimates,1950
25_49,17.346,258,estimates,1950
25_64,21.453,258,estimates,1950
25_69,22.127,258,estimates,1950
15plus,35.124,258,estimates,1950
16plus,33.683,258,estimates,1950
17plus,32.277,258,estimates,1950
18plus,30.91,258,estimates,1950
20plus,28.32,258,estimates,1950
21plus,27.1,258,estimates,1950
25plus,22.66,258,estimates,1950
50plus,5.314,258,estimates,1950
60plus,2.244,258,estimates,1950
65plus,1.207,258,estimates,1950
70plus,0.533,258,estimates,1950
75plus,0.211,258,estimates,1950
80plus,0.074,258,estimates,1950
85plus,0.027,258,estimates,1950
90plus,0.008,258,estimates,1950
total,60.266,258,estimates,1950
"Region, subregion, country or area *",French Polynesia,258,estimates,1951
0_1,4.264,258,estimates,1951
0_4,9.605,258,estimates,1951
0_14,25.964,258,estimates,1951
0_17,30.243,258,estimates,1951
0_19,32.903,258,estimates,1951
0_24,38.708,258,estimates,1951
3_4,3.537,258,estimates,1951
3_5,5.277,258,estimates,1951
3_6,7.002,258,estimates,1951
4_5,3.498,258,estimates,1951
4_6,5.223,258,estimates,1951
5_14,16.359,258,estimates,1951
5_10,10.176,258,estimates,1951
5_11,11.774,258,estimates,1951
6_9,6.803,258,estimates,1951
6_10,8.436,258,estimates,1951
6_11,10.034,258,estimates,1951
6_12,11.597,258,estimates,1951
7_10,6.711,258,estimates,1951
7_12,9.872,258,estimates,1951
11_16,9.07,258,estimates,1951
11_17,10.462,258,estimates,1951
11_18,11.815,258,estimates,1951
12_14,4.585,258,estimates,1951
12_16,7.472,258,estimates,1951
12_17,8.864,258,estimates,1951
12_18,10.217,258,estimates,1951
13_17,7.301,258,estimates,1951
13_18,8.654,258,estimates,1951
13_19,9.961,258,estimates,1951
15_17,4.279,258,estimates,1951
18_23,7.388,258,estimates,1951
15_24,12.744,258,estimates,1951
15_49,30.586,258,estimates,1951
15_59,33.752,258,estimates,1951
15_64,34.828,258,estimates,1951
20_64,27.889,258,estimates,1951
20_69,28.6,258,estimates,1951
25_49,17.842,258,estimates,1951
25_64,22.084,258,estimates,1951
25_69,22.795,258,estimates,1951
15plus,36.121,258,estimates,1951
16plus,34.66,258,estimates,1951
17plus,33.234,258,estimates,1951
18plus,31.842,258,estimates,1951
20plus,29.182,258,estimates,1951
21plus,27.926,258,estimates,1951
25plus,23.377,258,estimates,1951
50plus,5.535,258,estimates,1951
60plus,2.369,258,estimates,1951
65plus,1.293,258,estimates,1951
70plus,0.582,258,estimates,1951
75plus,0.228,258,estimates,1951
80plus,0.079,258,estimates,1951
85plus,0.028,258,estimates,1951
90plus,0.009,258,estimates,1951
total,62.085,258,estimates,1951
"Region, subregion, country or area *",French Polynesia,258,estimates,1952
0_1,5.306,258,estimates,1952
0_4,10.663,258,estimates,1952
0_14,27.053,258,estimates,1952
0_17,31.354,258,estimates,1952
0_19,34.048,258,estimates,1952
0_24,39.967,258,estimates,1952
3_4,3.527,258,estimates,1952
3_5,5.248,258,estimates,1952
3_6,6.952,258,estimates,1952
4_5,3.467,258,estimates,1952
4_6,5.171,258,estimates,1952
5_14,16.39,258,estimates,1952
5_10,10.16,258,estimates,1952
5_11,11.775,258,estimates,1952
