agebroad,population,country,variant,year
"Region, subregion, country or area *",Dominican Republic,214,estimates,1950
0_1,197.685,214,estimates,1950
0_4,439.444,214,estimates,1950
0_14,1072.87,214,estimates,1950
0_17,1234.942,214,estimates,1950
0_19,1333.613,214,estimates,1950
0_24,1546.595,214,estimates,1950
3_4,155.242,214,estimates,1950
3_5,226.269,214,estimates,1950
3_6,294.189,214,estimates,1950
4_5,146.091,214,estimates,1950
4_6,214.011,214,estimates,1950
5_14,633.426,214,estimates,1950
5_10,393.155,214,estimates,1950
5_11,454.962,214,estimates,1950
6_9,260.126,214,estimates,1950
6_10,322.128,214,estimates,1950
6_11,383.935,214,estimates,1950
6_12,445.121,214,estimates,1950
7_10,254.208,214,estimates,1950
7_12,377.201,214,estimates,1950
11_16,350.1,214,estimates,1950
11_17,402.343,214,estimates,1950
11_18,452.668,214,estimates,1950
12_14,178.464,214,estimates,1950
12_16,288.293,214,estimates,1950
12_17,340.536,214,estimates,1950
12_18,390.861,214,estimates,1950
13_17,279.35,214,estimates,1950
13_18,329.675,214,estimates,1950
13_19,378.021,214,estimates,1950
15_17,162.072,214,estimates,1950
18_23,272.568,214,estimates,1950
15_24,473.725,214,estimates,1950
15_49,1072.164,214,estimates,1950
15_59,1187.232,214,estimates,1950
15_64,1226.88,214,estimates,1950
20_64,966.137,214,estimates,1950
20_69,994.821,214,estimates,1950
25_49,598.439,214,estimates,1950
25_64,753.155,214,estimates,1950
25_69,781.839,214,estimates,1950
15plus,1291.784,214,estimates,1950
16plus,1236.01,214,estimates,1950
17plus,1181.955,214,estimates,1950
18plus,1129.712,214,estimates,1950
20plus,1031.041,214,estimates,1950
21plus,984.679,214,estimates,1950
25plus,818.059,214,estimates,1950
50plus,219.62,214,estimates,1950
60plus,104.552,214,estimates,1950
65plus,64.904,214,estimates,1950
70plus,36.22,214,estimates,1950
75plus,17.542,214,estimates,1950
80plus,7.168,214,estimates,1950
85plus,2.306,214,estimates,1950
90plus,0.554,214,estimates,1950
total,2364.654,214,estimates,1950
"Region, subregion, country or area *",Dominican Republic,214,estimates,1951
0_1,209.758,214,estimates,1951
0_4,466.133,214,estimates,1951
0_14,1110.235,214,estimates,1951
0_17,1275.432,214,estimates,1951
0_19,1376.667,214,estimates,1951
0_24,1596.565,214,estimates,1951
3_4,164.185,214,estimates,1951
3_5,238.475,214,estimates,1951
3_6,308.875,214,estimates,1951
4_5,153.42,214,estimates,1951
4_6,223.82,214,estimates,1951
5_14,644.102,214,estimates,1951
5_10,402.439,214,estimates,1951
5_11,463.8,214,estimates,1951
6_9,266.032,214,estimates,1951
6_10,328.149,214,estimates,1951
6_11,389.51,214,estimates,1951
6_12,450.574,214,estimates,1951
7_10,257.749,214,estimates,1951
7_12,380.174,214,estimates,1951
11_16,353.528,214,estimates,1951
11_17,406.86,214,estimates,1951
11_18,458.412,214,estimates,1951
12_14,180.302,214,estimates,1951
12_16,292.167,214,estimates,1951
12_17,345.499,214,estimates,1951
12_18,397.051,214,estimates,1951
13_17,284.435,214,estimates,1951
13_18,335.987,214,estimates,1951
13_19,385.67,214,estimates,1951
15_17,165.197,214,estimates,1951
18_23,280.787,214,estimates,1951
15_24,486.33,214,estimates,1951
15_49,1103.611,214,estimates,1951
15_59,1221.194,214,estimates,1951
15_64,1261.615,214,estimates,1951
20_64,995.183,214,estimates,1951
20_69,1024.429,214,estimates,1951
25_49,617.281,214,estimates,1951
25_64,775.285,214,estimates,1951
25_69,804.531,214,estimates,1951
15plus,1328.17,214,estimates,1951
16plus,1271.337,214,estimates,1951
17plus,1216.305,214,estimates,1951
18plus,1162.973,214,estimates,1951
20plus,1061.738,214,estimates,1951
21plus,1013.976,214,estimates,1951
25plus,841.84,214,estimates,1951
50plus,224.559,214,estimates,1951
60plus,106.976,214,estimates,1951
65plus,66.555,214,estimates,1951
70plus,37.309,214,estimates,1951
75plus,18.218,214,estimates,1951
80plus,7.563,214,estimates,1951
85plus,2.514,214,estimates,1951
90plus,0.622,214,estimates,1951
total,2438.405,214,estimates,1951
"Region, subregion, country or area *",Dominican Republic,214,estimates,1952
0_1,219.148,214,estimates,1952
0_4,491.257,214,estimates,1952
0_14,1149.774,214,estimates,1952
0_17,1318.481,214,estimates,1952
0_19,1422.137,214,estimates,1952
0_24,1649.157,214,estimates,1952
3_4,174.064,214,estimates,1952
3_5,252.286,214,estimates,1952
3_6,325.933,214,estimates,1952
4_5,161.967,214,estimates,1952
4_6,235.614,214,estimates,1952
5_14,658.517,214,estimates,1952
5_10,415.952,214,estimates,1952
5_11,477.591,214,estimates,1952
6_9,274.899,214,estimates,1952
6_10,337.73,214,estimates,1952
6_11,399.369,214,estimates,1952
6_12,460.197,214,estimates,1952
7_10,264.083,214,estimates,1952
7_12,386.55,214,estimates,1952
11_16,356.885,214,estimates,1952
11_17,411.272,214,estimates,1952
11_18,463.975,214,estimates,1952
12_14,180.926,214,estimates,1952
12_16,295.246,214,estimates,1952
12_17,349.633,214,estimates,1952
12_18,402.336,214,estimates,1952
13_17,288.805,214,estimates,1952
13_18,341.508,214,estimates,1952
13_19,392.461,214,estimates,1952
15_17,168.707,214,estimates,1952
18_23,288.957,214,estimates,1952
15_24,499.383,214,estimates,1952
15_49,1137.405,214,estimates,1952
15_59,1257.942,214,estimates,1952
15_64,1299.288,214,estimates,1952
20_64,1026.925,214,estimates,1952
20_69,1056.837,214,estimates,1952
25_49,638.022,214,estimates,1952
25_64,799.905,214,estimates,1952
25_69,829.817,214,estimates,1952
15plus,1367.485,214,estimates,1952
16plus,1309.33,214,estimates,1952
17plus,1253.165,214,estimates,1952
18plus,1198.778,214,estimates,1952
20plus,1095.122,214,estimates,1952
21plus,1045.994,214,estimates,1952
25plus,868.102,214,estimates,1952
50plus,230.08,214,estimates,1952
60plus,109.543,214,estimates,1952
65plus,68.197,214,estimates,1952
70plus,38.285,214,estimates,1952
75plus,18.746,214,estimates,1952
80plus,7.819,214,estimates,1952
85plus,2.666,214,estimates,1952
90plus,0.681,214,estimates,1952
total,2517.259,214,estimates,1952
"Region, subregion, country or area *",Dominican Republic,214,estimates,1953
0_1,229.52,214,estimates,1953
0_4,514.716,214,estimates,1953
0_14,1191.836,214,estimates,1953
0_17,1363.995,214,estimates,1953
0_19,1469.966,214,estimates,1953
0_24,1704.08,214,estimates,1953
3_4,184.151,214,estimates,1953
3_5,266.706,214,estimates,1953
3_6,344.132,214,estimates,1953
4_5,171.133,214,estimates,1953
4_6,248.559,214,estimates,1953
5_14,677.12,214,estimates,1953
5_10,433.168,214,estimates,1953
5_11,495.607,214,estimates,1953
6_9,286.497,214,estimates,1953
6_10,350.613,214,estimates,1953
6_11,413.052,214,estimates,1953
6_12,474.302,214,estimates,1953
7_10,273.187,214,estimates,1953
7_12,396.876,214,estimates,1953
11_16,360.534,214,estimates,1953
11_17,416.111,214,estimates,1953
11_18,469.931,214,estimates,1953
12_14,181.513,214,estimates,1953
12_16,298.095,214,estimates,1953
12_17,353.672,214,estimates,1953
12_18,407.492,214,estimates,1953
13_17,292.422,214,estimates,1953
13_18,346.242,214,estimates,1953
13_19,398.393,214,estimates,1953
15_17,172.159,214,estimates,1953
18_23,296.89,214,estimates,1953
