agebroad,population,country,variant,year
"Region, subregion, country or area *",Burkina Faso,854,estimates,1950
0_1,298.844,854,estimates,1950
0_4,691.627,854,estimates,1950
0_14,1744.969,854,estimates,1950
0_17,2014.775,854,estimates,1950
0_19,2184.768,854,estimates,1950
0_24,2577.102,854,estimates,1950
3_4,255.403,854,estimates,1950
3_5,375.063,854,estimates,1950
3_6,490.313,854,estimates,1950
4_5,244.422,854,estimates,1950
4_6,359.672,854,estimates,1950
5_14,1053.342,854,estimates,1950
5_10,662.769,854,estimates,1950
5_11,763.691,854,estimates,1950
6_9,440.193,854,estimates,1950
6_10,543.109,854,estimates,1950
6_11,644.031,854,estimates,1950
6_12,742.924,854,estimates,1950
7_10,427.859,854,estimates,1950
7_12,627.674,854,estimates,1950
11_16,572.457,854,estimates,1950
11_17,660.379,854,estimates,1950
11_18,746.339,854,estimates,1950
12_14,289.651,854,estimates,1950
12_16,471.535,854,estimates,1950
12_17,559.457,854,estimates,1950
12_18,645.417,854,estimates,1950
13_17,460.564,854,estimates,1950
13_18,546.524,854,estimates,1950
13_19,630.557,854,estimates,1950
15_17,269.806,854,estimates,1950
18_23,487.57,854,estimates,1950
15_24,832.133,854,estimates,1950
15_49,2130.797,854,estimates,1950
15_59,2376.886,854,estimates,1950
15_64,2453.702,854,estimates,1950
20_64,2013.903,854,estimates,1950
20_69,2064.496,854,estimates,1950
25_49,1298.664,854,estimates,1950
25_64,1621.569,854,estimates,1950
25_69,1672.162,854,estimates,1950
15plus,2539.492,854,estimates,1950
16plus,2447.526,854,estimates,1950
17plus,2357.608,854,estimates,1950
18plus,2269.686,854,estimates,1950
20plus,2099.693,854,estimates,1950
21plus,2017.54,854,estimates,1950
25plus,1707.359,854,estimates,1950
50plus,408.695,854,estimates,1950
60plus,162.606,854,estimates,1950
65plus,85.79,854,estimates,1950
70plus,35.197,854,estimates,1950
75plus,9.1,854,estimates,1950
80plus,5.777,854,estimates,1950
85plus,0.837,854,estimates,1950
90plus,0.061,854,estimates,1950
total,4284.461,854,estimates,1950
"Region, subregion, country or area *",Burkina Faso,854,estimates,1951
0_1,303.234,854,estimates,1951
0_4,702.284,854,estimates,1951
0_14,1769.865,854,estimates,1951
0_17,2040.76,854,estimates,1951
0_19,2210.601,854,estimates,1951
0_24,2601.641,854,estimates,1951
3_4,259.486,854,estimates,1951
3_5,381.108,854,estimates,1951
3_6,498.317,854,estimates,1951
4_5,248.391,854,estimates,1951
4_6,365.6,854,estimates,1951
5_14,1067.581,854,estimates,1951
5_10,673.622,854,estimates,1951
5_11,775.344,854,estimates,1951
