agebroad,population,country,variant,year
0_1,6.498,531,estimates,1950
0_4,15.009,531,estimates,1950
0_14,36.511,531,estimates,1950
0_17,42.076,531,estimates,1950
0_19,45.685,531,estimates,1950
0_24,54.245,531,estimates,1950
3_4,5.522,531,estimates,1950
3_5,8.079,531,estimates,1950
3_6,10.516,531,estimates,1950
4_5,5.246,531,estimates,1950
4_6,7.683,531,estimates,1950
5_14,21.502,531,estimates,1950
5_10,13.766,531,estimates,1950
5_11,15.764,531,estimates,1950
6_9,9.141,531,estimates,1950
6_10,11.209,531,estimates,1950
6_11,13.207,531,estimates,1950
6_12,15.151,531,estimates,1950
7_10,8.772,531,estimates,1950
7_12,12.714,531,estimates,1950
11_16,11.46,531,estimates,1950
11_17,13.301,531,estimates,1950
11_18,15.119,531,estimates,1950
12_14,5.738,531,estimates,1950
12_16,9.462,531,estimates,1950
12_17,11.303,531,estimates,1950
12_18,13.121,531,estimates,1950
13_17,9.359,531,estimates,1950
13_18,11.177,531,estimates,1950
13_19,12.968,531,estimates,1950
15_17,5.565,531,estimates,1950
18_23,10.526,531,estimates,1950
15_24,17.734,531,estimates,1950
15_49,49.221,531,estimates,1950
15_59,55.577,531,estimates,1950
15_64,57.796,531,estimates,1950
20_64,48.622,531,estimates,1950
20_69,50.618,531,estimates,1950
25_49,31.487,531,estimates,1950
25_64,40.062,531,estimates,1950
25_69,42.058,531,estimates,1950
15plus,63.668,531,estimates,1950
16plus,61.8,531,estimates,1950
17plus,59.944,531,estimates,1950
18plus,58.103,531,estimates,1950
20plus,54.494,531,estimates,1950
21plus,52.727,531,estimates,1950
25plus,45.934,531,estimates,1950
50plus,14.447,531,estimates,1950
60plus,8.091,531,estimates,1950
65plus,5.872,531,estimates,1950
70plus,3.876,531,estimates,1950
75plus,1.982,531,estimates,1950
80plus,0.774,531,estimates,1950
85plus,0.306,531,estimates,1950
90plus,0.09,531,estimates,1950
total,100.179,531,estimates,1950
0_1,7.081,531,estimates,1951
0_4,16.147,531,estimates,1951
0_14,38.84,531,estimates,1951
0_17,44.533,531,estimates,1951
0_19,48.236,531,estimates,1951
0_24,57.032,531,estimates,1951
3_4,5.884,531,estimates,1951
3_5,8.61,531,estimates,1951
3_6,11.206,531,estimates,1951
4_5,5.592,531,estimates,1951
4_6,8.188,531,estimates,1951
5_14,22.693,531,estimates,1951
5_10,14.632,531,estimates,1951
5_11,16.739,531,estimates,1951
6_9,9.72,531,estimates,1951
6_10,11.906,531,estimates,1951
6_11,14.013,531,estimates,1951
6_12,16.048,531,estimates,1951
7_10,9.31,531,estimates,1951
7_12,13.452,531,estimates,1951
11_16,11.873,531,estimates,1951
11_17,13.754,531,estimates,1951
11_18,15.618,531,estimates,1951
12_14,5.954,531,estimates,1951
12_16,9.766,531,estimates,1951
12_17,11.647,531,estimates,1951
12_18,13.511,531,estimates,1951
13_17,9.612,531,estimates,1951
13_18,11.476,531,estimates,1951
13_19,13.315,531,estimates,1951
15_17,5.693,531,estimates,1951
18_23,10.799,531,estimates,1951
15_24,18.192,531,estimates,1951
15_49,50.786,531,estimates,1951
15_59,57.435,531,estimates,1951
15_64,59.754,531,estimates,1951
20_64,50.358,531,estimates,1951
20_69,52.322,531,estimates,1951
25_49,32.594,531,estimates,1951
25_64,41.562,531,estimates,1951
25_69,43.526,531,estimates,1951
15plus,65.727,531,estimates,1951
16plus,63.811,531,estimates,1951
17plus,61.915,531,estimates,1951
18plus,60.034,531,estimates,1951
20plus,56.331,531,estimates,1951
21plus,54.521,531,estimates,1951
25plus,47.535,531,estimates,1951
50plus,14.941,531,estimates,1951
60plus,8.292,531,estimates,1951
65plus,5.973,531,estimates,1951
70plus,4.009,531,estimates,1951
75plus,2.14,531,estimates,1951
80plus,0.852,531,estimates,1951
85plus,0.321,531,estimates,1951
90plus,0.101,531,estimates,1951
total,104.567,531,estimates,1951
0_1,7.569,531,estimates,1952
0_4,17.123,531,estimates,1952
0_14,40.946,531,estimates,1952
0_17,46.745,531,estimates,1952
0_19,50.508,531,estimates,1952
0_24,59.468,531,estimates,1952
3_4,6.205,531,estimates,1952
3_5,9.082,531,estimates,1952
3_6,11.823,531,estimates,1952
4_5,5.901,531,estimates,1952
4_6,8.642,531,estimates,1952
5_14,23.823,531,estimates,1952
5_10,15.429,531,estimates,1952
5_11,17.639,531,estimates,1952
6_9,10.254,531,estimates,1952
6_10,12.552,531,estimates,1952
6_11,14.762,531,estimates,1952
6_12,16.892,531,estimates,1952
7_10,9.811,531,estimates,1952
7_12,14.151,531,estimates,1952
11_16,12.284,531,estimates,1952
11_17,14.193,531,estimates,1952
11_18,16.084,531,estimates,1952
12_14,6.184,531,estimates,1952
12_16,10.074,531,estimates,1952
12_17,11.983,531,estimates,1952
12_18,13.874,531,estimates,1952
13_17,9.853,531,estimates,1952
13_18,11.744,531,estimates,1952
13_19,13.616,531,estimates,1952
15_17,5.799,531,estimates,1952
18_23,10.983,531,estimates,1952
15_24,18.522,531,estimates,1952
15_49,51.98,531,estimates,1952
15_59,58.887,531,estimates,1952
15_64,61.322,531,estimates,1952
20_64,51.76,531,estimates,1952
20_69,53.698,531,estimates,1952
25_49,33.458,531,estimates,1952
25_64,42.8,531,estimates,1952
25_69,44.738,531,estimates,1952
15plus,67.338,531,estimates,1952
16plus,65.38,531,estimates,1952
17plus,63.448,531,estimates,1952
18plus,61.539,531,estimates,1952
20plus,57.776,531,estimates,1952
21plus,55.93,531,estimates,1952
25plus,48.816,531,estimates,1952
50plus,15.358,531,estimates,1952
60plus,8.451,531,estimates,1952
65plus,6.016,531,estimates,1952
70plus,4.078,531,estimates,1952
75plus,2.273,531,estimates,1952
80plus,0.926,531,estimates,1952
85plus,0.324,531,estimates,1952
90plus,0.11,531,estimates,1952
total,108.284,531,estimates,1952
0_1,7.783,531,estimates,1953
0_4,17.815,531,estimates,1953
0_14,42.757,531,estimates,1953
0_17,48.673,531,estimates,1953
0_19,52.481,531,estimates,1953
0_24,61.567,531,estimates,1953
3_4,6.494,531,estimates,1953
3_5,9.511,531,estimates,1953
3_6,12.387,531,estimates,1953
4_5,6.184,531,estimates,1953
4_6,9.06,531,estimates,1953
5_14,24.942,531,estimates,1953
5_10,16.188,531,estimates,1953
5_11,18.502,531,estimates,1953
6_9,10.761,531,estimates,1953
6_10,13.171,531,estimates,1953
6_11,15.485,531,estimates,1953
6_12,17.71,531,estimates,1953
7_10,10.295,531,estimates,1953
7_12,14.834,531,estimates,1953
11_16,12.731,531,estimates,1953
11_17,14.67,531,estimates,1953
11_18,16.584,531,estimates,1953
12_14,6.44,531,estimates,1953
12_16,10.417,531,estimates,1953
12_17,12.356,531,estimates,1953
