continent,variant,freq,year,mortality15to60per1000aliveat15
909,estimates,5yearly,1950,249.963039089002
909,estimates,5yearly,1955,230.494254770901
909,estimates,5yearly,1960,223.386987302161
909,estimates,5yearly,1965,214.617528727912
909,estimates,5yearly,1970,198.176193800636
909,estimates,5yearly,1975,176.841168092844
909,estimates,5yearly,1980,155.883344087287
909,estimates,5yearly,1985,145.0503355452
909,estimates,5yearly,1990,129.68205549096
909,estimates,5yearly,1995,119.12203327631
909,estimates,5yearly,2000,106.893030459635
909,estimates,5yearly,2005,99.1081674868753
909,estimates,5yearly,2010,94.968296674886
909,medium_variant,5yearly,2015,87.5144510803964
909,medium_variant,5yearly,2020,83.5778872034174
909,medium_variant,5yearly,2025,80.6824822626085
909,medium_variant,5yearly,2030,78.250054971407
909,medium_variant,5yearly,2035,75.6125161332721
909,medium_variant,5yearly,2040,72.3917167905637
909,medium_variant,5yearly,2045,70.6082667713501
909,medium_variant,5yearly,2050,69.2504361408155
909,medium_variant,5yearly,2055,67.0320808190223
909,medium_variant,5yearly,2060,63.7447342734366
909,medium_variant,5yearly,2065,60.8123782395412
909,medium_variant,5yearly,2070,58.2604018396455
909,medium_variant,5yearly,2075,55.8125901639956
909,medium_variant,5yearly,2080,53.2437982777463
909,medium_variant,5yearly,2085,50.6191559455789
909,medium_variant,5yearly,2090,47.8320219516638
909,medium_variant,5yearly,2095,44.938280891167
