continent,variant,freq,year,mortality15to60per1000aliveat15
935,estimates,5yearly,1950,463.921536812008
935,estimates,5yearly,1955,434.269610760844
935,estimates,5yearly,1960,405.684008828779
935,estimates,5yearly,1965,316.50114164349
935,estimates,5yearly,1970,262.610108201798
935,estimates,5yearly,1975,227.06391370865
935,estimates,5yearly,1980,208.94177900337
935,estimates,5yearly,1985,191.573748618428
935,estimates,5yearly,1990,178.449959110882
935,estimates,5yearly,1995,168.217658167428
935,estimates,5yearly,2000,153.524101652479
935,estimates,5yearly,2005,142.924133595285
935,estimates,5yearly,2010,133.533330343327
935,medium_variant,5yearly,2015,125.910778213141
935,medium_variant,5yearly,2020,118.523404256317
935,medium_variant,5yearly,2025,113.28631723532
935,medium_variant,5yearly,2030,109.314245403071
935,medium_variant,5yearly,2035,104.766269113351
935,medium_variant,5yearly,2040,99.8672632201203
935,medium_variant,5yearly,2045,96.0581208525921
935,medium_variant,5yearly,2050,92.8190394407581
935,medium_variant,5yearly,2055,88.2180383878503
935,medium_variant,5yearly,2060,83.0656176396438
935,medium_variant,5yearly,2065,78.1048321351315
935,medium_variant,5yearly,2070,73.5470357052154
935,medium_variant,5yearly,2075,69.207594856972
935,medium_variant,5yearly,2080,64.6804236161107
935,medium_variant,5yearly,2085,60.0372488529843
935,medium_variant,5yearly,2090,55.5109412108394
935,medium_variant,5yearly,2095,51.1270884169717
935,estimates,5yearly,Regi,ASIA
935,medium_variant,5yearly,Regi,ASIA
