continent,variant,freq,year,mortality15to60per1000aliveat15
905,estimates,5yearly,1950,196.037897168204
905,estimates,5yearly,1955,182.196856664799
905,estimates,5yearly,1960,178.450421436216
905,estimates,5yearly,1965,180.658264498309
905,estimates,5yearly,1970,172.795326020537
905,estimates,5yearly,1975,153.288574173822
905,estimates,5yearly,1980,138.366052511952
905,estimates,5yearly,1985,132.227996305552
905,estimates,5yearly,1990,126.757524856899
905,estimates,5yearly,1995,114.924030156429
905,estimates,5yearly,2000,109.877672568719
905,estimates,5yearly,2005,105.600137238313
905,estimates,5yearly,2010,101.473286664762
905,medium_variant,5yearly,2015,95.5499533144686
905,medium_variant,5yearly,2020,89.7096441437317
905,medium_variant,5yearly,2025,84.0228327726659
905,medium_variant,5yearly,2030,78.3481539296127
905,medium_variant,5yearly,2035,72.8270538585771
905,medium_variant,5yearly,2040,67.6721563752688
905,medium_variant,5yearly,2045,62.8055509309549
905,medium_variant,5yearly,2050,58.4647554059698
905,medium_variant,5yearly,2055,54.4980662497209
905,medium_variant,5yearly,2060,50.9839380124493
905,medium_variant,5yearly,2065,47.4192005662544
905,medium_variant,5yearly,2070,44.1868135544771
905,medium_variant,5yearly,2075,41.0072272841904
905,medium_variant,5yearly,2080,38.0078039806768
905,medium_variant,5yearly,2085,35.0562162935152
905,medium_variant,5yearly,2090,32.1683904772361
905,medium_variant,5yearly,2095,29.4892214774625
905,estimates,5yearly,Regi,NORTHERN AMERICA
905,medium_variant,5yearly,Regi,NORTHERN AMERICA
