continent,variant,freq,year,mortality15to60per1000aliveat15
908,estimates,5yearly,1950,195.909621201805
908,estimates,5yearly,1955,172.738992413813
908,estimates,5yearly,1960,159.517338106737
908,estimates,5yearly,1965,158.58173119954
908,estimates,5yearly,1970,160.0859511787
908,estimates,5yearly,1975,164.592976840967
908,estimates,5yearly,1980,165.526659466957
908,estimates,5yearly,1985,150.16073974738
908,estimates,5yearly,1990,164.556389520785
908,estimates,5yearly,1995,163.677932516664
908,estimates,5yearly,2000,163.156208126285
908,estimates,5yearly,2005,150.413480020276
908,estimates,5yearly,2010,123.737024783101
908,medium_variant,5yearly,2015,113.278320624537
908,medium_variant,5yearly,2020,103.935059718025
908,medium_variant,5yearly,2025,96.6824076076858
908,medium_variant,5yearly,2030,90.8367490666147
908,medium_variant,5yearly,2035,84.0632810258757
908,medium_variant,5yearly,2040,77.4049014728414
908,medium_variant,5yearly,2045,70.1114023667007
908,medium_variant,5yearly,2050,63.2078928501096
908,medium_variant,5yearly,2055,58.2556269959205
908,medium_variant,5yearly,2060,54.254918618609
908,medium_variant,5yearly,2065,49.9543977513349
908,medium_variant,5yearly,2070,45.4169549698969
908,medium_variant,5yearly,2075,40.8077000971294
908,medium_variant,5yearly,2080,37.0104673067512
908,medium_variant,5yearly,2085,33.7259521860133
908,medium_variant,5yearly,2090,30.7349041237246
908,medium_variant,5yearly,2095,28.0169175778974
908,estimates,5yearly,Regi,EUROPE
908,medium_variant,5yearly,Regi,EUROPE
